opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
KhaZix,3,0,17,26,17,0.0,1.31,5.67,8.67,5.67,2025-05-09 16:08:30
Poppy,1,1,15,4,8,100.0,5.75,15.0,4.0,8.0,2025-05-09 16:08:30
Xin Zhao,8,2,26,51,31,25.0,1.12,3.25,6.38,3.88,2025-05-09 16:08:30
Hecarim,2,1,23,6,20,50.0,7.17,11.5,3.0,10.0,2025-05-09 16:08:30
Rengar,1,0,10,11,8,0.0,1.64,10.0,11.0,8.0,2025-05-09 16:08:30
Viego,6,1,23,37,25,16.67,1.3,3.83,6.17,4.17,2025-05-09 16:08:30
Zed,2,1,5,9,14,50.0,2.11,2.5,4.5,7.0,2025-05-09 16:08:30
Rammus,2,2,12,8,14,100.0,3.25,6.0,4.0,7.0,2025-05-09 16:08:30
Fiddlesticks,5,3,32,39,53,60.0,2.18,6.4,7.8,10.6,2025-05-09 16:08:30
Volibear,2,0,14,14,14,0.0,2.0,7.0,7.0,7.0,2025-05-09 16:08:30
Vi,3,1,9,12,12,33.33,1.75,3.0,4.0,4.0,2025-05-09 16:08:30
Naafiri,5,2,26,17,21,40.0,2.76,5.2,3.4,4.2,2025-05-09 16:08:30
Ivern,3,1,12,10,11,33.33,2.3,4.0,3.33,3.67,2025-05-09 16:08:30
Graves,8,3,59,46,51,37.5,2.39,7.38,5.75,6.38,2025-05-09 16:08:30
Skarner,4,1,29,17,17,25.0,2.71,7.25,4.25,4.25,2025-05-09 16:08:30
Udyr,1,0,9,7,6,0.0,2.14,9.0,7.0,6.0,2025-05-09 16:08:30
Rumble,1,0,3,8,0,0.0,0.38,3.0,8.0,0.0,2025-05-09 16:08:30
Wukong,1,0,9,9,11,0.0,2.22,9.0,9.0,11.0,2025-05-09 16:08:30
Jarvan Iv,3,2,27,26,30,66.67,2.19,9.0,8.67,10.0,2025-05-09 16:08:30
Gragas,1,0,9,9,4,0.0,1.44,9.0,9.0,4.0,2025-05-09 16:08:30
Zyra,2,2,23,9,11,100.0,3.78,11.5,4.5,5.5,2025-05-09 16:08:30
Gwen,4,2,18,19,33,50.0,2.68,4.5,4.75,8.25,2025-05-09 16:08:30
Kayn,5,3,38,17,28,60.0,3.88,7.6,3.4,5.6,2025-05-09 16:08:30
Diana,1,0,4,7,10,0.0,2.0,4.0,7.0,10.0,2025-05-09 16:08:30
Nidalee,1,1,11,3,7,100.0,6.0,11.0,3.0,7.0,2025-05-09 16:08:30
Karthus,3,1,31,13,8,33.33,3.0,10.33,4.33,2.67,2025-05-09 16:08:30
Talon,5,1,31,35,19,20.0,1.43,6.2,7.0,3.8,2025-05-09 16:08:30
Darius,3,0,18,19,12,0.0,1.58,6.0,6.33,4.0,2025-05-09 16:08:30
Lillia,3,3,8,1,2,100.0,10.0,2.67,0.33,0.67,2025-05-09 16:08:30
Elise,2,2,12,10,26,100.0,3.8,6.0,5.0,13.0,2025-05-09 16:08:30
Belveth,2,2,10,8,22,100.0,4.0,5.0,4.0,11.0,2025-05-09 16:08:30
Yorick,1,0,3,10,3,0.0,0.6,3.0,10.0,3.0,2025-05-09 16:08:30
Master Yi,1,1,6,6,9,100.0,2.5,6.0,6.0,9.0,2025-05-09 16:08:30
Yasuo,1,0,3,8,3,0.0,0.75,3.0,8.0,3.0,2025-05-09 16:08:30
Ekko,1,1,11,3,5,100.0,5.33,11.0,3.0,5.0,2025-05-09 16:08:30
Sejuani,1,1,3,5,12,100.0,3.0,3.0,5.0,12.0,2025-05-09 16:08:30
Lee Sin,1,1,11,4,4,100.0,3.75,11.0,4.0,4.0,2025-05-09 16:08:30
Brand,1,0,1,5,1,0.0,0.4,1.0,5.0,1.0,2025-05-09 16:08:30
