opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Kennen,2,0,24,16,32,0.0,3.5,12.0,8.0,16.0,2025-05-09 16:08:30
Jayce,3,2,10,5,13,66.67,4.6,3.33,1.67,4.33,2025-05-09 16:08:30
Yasuo,2,2,6,9,16,100.0,2.44,3.0,4.5,8.0,2025-05-09 16:08:30
Aurora,1,1,4,10,17,100.0,2.1,4.0,10.0,17.0,2025-05-09 16:08:30
Rakan,1,1,3,1,7,100.0,10.0,3.0,1.0,7.0,2025-05-09 16:08:30
Ahri,2,1,3,14,26,50.0,2.07,1.5,7.0,13.0,2025-05-09 16:08:30
Akshan,3,0,4,12,15,0.0,1.58,1.33,4.0,5.0,2025-05-09 16:08:30
Azir,3,3,19,18,40,100.0,3.28,6.33,6.0,13.33,2025-05-09 16:08:30
LeBlanc,5,5,47,34,57,100.0,3.06,9.4,6.8,11.4,2025-05-09 16:08:30
Sion,1,0,3,8,6,0.0,1.12,3.0,8.0,6.0,2025-05-09 16:08:30
Ryze,3,3,10,6,20,100.0,5.0,3.33,2.0,6.67,2025-05-09 16:08:30
Sylas,1,0,1,12,5,0.0,0.5,1.0,12.0,5.0,2025-05-09 16:08:30
Qiyana,5,1,24,32,62,20.0,2.69,4.8,6.4,12.4,2025-05-09 16:08:30
Chogath,1,1,5,2,12,100.0,8.5,5.0,2.0,12.0,2025-05-09 16:08:30
Katarina,2,2,14,6,16,100.0,5.0,7.0,3.0,8.0,2025-05-09 16:08:30
Fizz,1,0,14,11,10,0.0,2.18,14.0,11.0,10.0,2025-05-09 16:08:30
Veigar,1,0,6,9,7,0.0,1.44,6.0,9.0,7.0,2025-05-09 16:08:30
Taliyah,1,0,4,9,7,0.0,1.22,4.0,9.0,7.0,2025-05-09 16:08:30
Syndra,1,1,2,7,14,100.0,2.29,2.0,7.0,14.0,2025-05-09 16:08:30
Lux,1,0,6,10,10,0.0,1.6,6.0,10.0,10.0,2025-05-09 16:08:30
Swain,1,0,1,5,2,0.0,0.6,1.0,5.0,2.0,2025-05-09 16:08:30
Akali,1,0,4,7,3,0.0,1.0,4.0,7.0,3.0,2025-05-09 16:08:30
Gangplank,1,1,8,3,19,100.0,9.0,8.0,3.0,19.0,2025-05-09 16:08:30
Morgana,1,1,6,1,11,100.0,17.0,6.0,1.0,11.0,2025-05-09 16:08:30
Ambessa,2,2,7,11,10,100.0,1.55,3.5,5.5,5.0,2025-05-09 16:08:30
Yone,2,1,14,17,29,50.0,2.53,7.0,8.5,14.5,2025-05-09 16:08:30
Viktor,2,1,8,10,11,50.0,1.9,4.0,5.0,5.5,2025-05-09 16:08:30
Zac,1,1,7,8,11,100.0,2.25,7.0,8.0,11.0,2025-05-09 16:08:30
Zed,1,0,1,7,6,0.0,1.0,1.0,7.0,6.0,2025-05-09 16:08:30
Talon,1,1,3,6,10,100.0,2.17,3.0,6.0,10.0,2025-05-09 16:08:30
Hwei,1,0,2,4,7,0.0,2.25,2.0,4.0,7.0,2025-05-09 16:08:30
