opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Pyke,1,0,6,11,11,0.0,1.55,6.0,11.0,11.0,2025-05-09 16:08:30
Ezreal,6,5,63,23,52,83.33,5.0,10.5,3.83,8.67,2025-05-09 16:08:30
Lucian,3,1,26,19,19,33.33,2.37,8.67,6.33,6.33,2025-05-09 16:08:30
Elise,3,2,35,17,29,66.67,3.76,11.67,5.67,9.67,2025-05-09 16:08:30
Thresh,3,1,25,37,32,33.33,1.54,8.33,12.33,10.67,2025-05-09 16:08:30
Senna,2,0,6,14,16,0.0,1.57,3.0,7.0,8.0,2025-05-09 16:08:30
Nautilus,1,0,0,3,2,0.0,0.67,0.0,3.0,2.0,2025-05-09 16:08:30
Ryze,4,0,37,21,11,0.0,2.29,9.25,5.25,2.75,2025-05-09 16:08:30
Karma,6,3,28,30,41,50.0,2.3,4.67,5.0,6.83,2025-05-09 16:08:30
Azir,7,4,53,29,48,57.14,3.48,7.57,4.14,6.86,2025-05-09 16:08:30
Hwei,1,1,17,5,11,100.0,5.6,17.0,5.0,11.0,2025-05-09 16:08:30
Yone,4,0,35,20,13,0.0,2.4,8.75,5.0,3.25,2025-05-09 16:08:30
Ahri,4,4,46,21,26,100.0,3.43,11.5,5.25,6.5,2025-05-09 16:08:30
LeBlanc,4,2,50,20,13,50.0,3.15,12.5,5.0,3.25,2025-05-09 16:08:30
Aatrox,2,2,12,2,14,100.0,13.0,6.0,1.0,7.0,2025-05-09 16:08:30
Neeko,1,1,11,5,4,100.0,3.0,11.0,5.0,4.0,2025-05-09 16:08:30
Sylas,1,0,7,10,1,0.0,0.8,7.0,10.0,1.0,2025-05-09 16:08:30
Bard,2,1,10,15,10,50.0,1.33,5.0,7.5,5.0,2025-05-09 16:08:30
Miss Fortune,2,1,12,11,6,50.0,1.64,6.0,5.5,3.0,2025-05-09 16:08:30
Veigar,2,2,13,7,19,100.0,4.57,6.5,3.5,9.5,2025-05-09 16:08:30
Syndra,1,0,4,5,3,0.0,1.4,4.0,5.0,3.0,2025-05-09 16:08:30
Zed,4,2,39,26,25,50.0,2.46,9.75,6.5,6.25,2025-05-09 16:08:30
Smolder,5,3,29,25,29,60.0,2.32,5.8,5.0,5.8,2025-05-09 16:08:30
Kayle,2,0,16,13,10,0.0,2.0,8.0,6.5,5.0,2025-05-09 16:08:30
Swain,1,0,7,5,3,0.0,2.0,7.0,5.0,3.0,2025-05-09 16:08:30
