opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Yone,7,2,27,31,36,28.57,2.03,3.86,4.43,5.14,2025-05-09 16:08:30
Tryndamere,1,1,11,5,16,100.0,5.4,11.0,5.0,16.0,2025-05-09 16:08:30
Taliyah,5,4,31,16,60,80.0,5.69,6.2,3.2,12.0,2025-05-09 16:08:30
Akali,2,2,8,2,18,100.0,13.0,4.0,1.0,9.0,2025-05-09 16:08:30
Syndra,13,7,53,49,96,53.85,3.04,4.08,3.77,7.38,2025-05-09 16:08:30
Zed,9,4,38,59,78,44.44,1.97,4.22,6.56,8.67,2025-05-09 16:08:30
Katarina,2,1,10,12,13,50.0,1.92,5.0,6.0,6.5,2025-05-09 16:08:30
Hwei,4,2,35,17,35,50.0,4.12,8.75,4.25,8.75,2025-05-09 16:08:30
Chogath,2,2,6,2,28,100.0,17.0,3.0,1.0,14.0,2025-05-09 16:08:30
Ryze,6,2,33,32,46,33.33,2.47,5.5,5.33,7.67,2025-05-09 16:08:30
Viktor,5,2,11,31,52,40.0,2.03,2.2,6.2,10.4,2025-05-09 16:08:30
Azir,1,1,8,3,10,100.0,6.0,8.0,3.0,10.0,2025-05-09 16:08:30
Ahri,4,4,24,15,52,100.0,5.07,6.0,3.75,13.0,2025-05-09 16:08:30
Ornn,1,0,2,5,2,0.0,0.8,2.0,5.0,2.0,2025-05-09 16:08:30
Lucian,1,1,6,4,10,100.0,4.0,6.0,4.0,10.0,2025-05-09 16:08:30
Xerath,1,1,2,1,5,100.0,7.0,2.0,1.0,5.0,2025-05-09 16:08:30
Nasus,3,3,14,16,50,100.0,4.0,4.67,5.33,16.67,2025-05-09 16:08:30
Kassadin,3,1,17,21,31,33.33,2.29,5.67,7.0,10.33,2025-05-09 16:08:30
Jayce,2,1,9,15,20,50.0,1.93,4.5,7.5,10.0,2025-05-09 16:08:30
Sylas,10,4,30,61,65,40.0,1.56,3.0,6.1,6.5,2025-05-09 16:08:30
Gangplank,2,2,7,4,26,100.0,8.25,3.5,2.0,13.0,2025-05-09 16:08:30
Akshan,2,1,10,17,26,50.0,2.12,5.0,8.5,13.0,2025-05-09 16:08:30
Morgana,1,1,3,3,13,100.0,5.33,3.0,3.0,13.0,2025-05-09 16:08:30
Naafiri,1,1,5,4,20,100.0,6.25,5.0,4.0,20.0,2025-05-09 16:08:30
Vladimir,3,1,9,11,24,33.33,3.0,3.0,3.67,8.0,2025-05-09 16:08:30
Yuumi,1,0,1,3,4,0.0,1.67,1.0,3.0,4.0,2025-05-09 16:08:30
LeBlanc,6,1,20,25,43,16.67,2.52,3.33,4.17,7.17,2025-05-09 16:08:30
Aurora,4,3,7,21,28,75.0,1.67,1.75,5.25,7.0,2025-05-09 16:08:30
Mel,1,1,6,4,14,100.0,5.0,6.0,4.0,14.0,2025-05-09 16:08:30
Irelia,1,1,7,5,10,100.0,3.4,7.0,5.0,10.0,2025-05-09 16:08:30
Gragas,2,0,2,6,6,0.0,1.33,1.0,3.0,3.0,2025-05-09 16:08:30
Talon,3,0,19,21,34,0.0,2.52,6.33,7.0,11.33,2025-05-09 16:08:30
Twitch,1,0,2,5,1,0.0,0.6,2.0,5.0,1.0,2025-05-09 16:08:30
Quinn,1,0,8,8,9,0.0,2.12,8.0,8.0,9.0,2025-05-09 16:08:30
Annie,1,0,1,5,5,0.0,1.2,1.0,5.0,5.0,2025-05-09 16:08:30
Zilean,2,2,0,0,0,100.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Ekko,2,1,13,9,13,50.0,2.89,6.5,4.5,6.5,2025-05-09 16:08:30
Ezreal,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Anivia,2,0,7,10,19,0.0,2.6,3.5,5.0,9.5,2025-05-09 16:08:30
Qiyana,2,0,5,12,13,0.0,1.5,2.5,6.0,6.5,2025-05-09 16:08:30
Brand,1,0,2,3,7,0.0,3.0,2.0,3.0,7.0,2025-05-09 16:08:30
Vayne,1,0,4,4,2,0.0,1.5,4.0,4.0,2.0,2025-05-09 16:08:30
Galio,2,0,7,10,4,0.0,1.1,3.5,5.0,2.0,2025-05-09 16:08:30
