opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Fiddlesticks,3,0,9,18,32,0.0,2.28,3.0,6.0,10.67,2025-05-09 16:08:30
Annie,2,0,4,12,42,0.0,3.83,2.0,6.0,21.0,2025-05-09 16:08:30
Poppy,10,7,21,42,175,70.0,4.67,2.1,4.2,17.5,2025-05-09 16:08:30
Nautilus,35,24,84,205,675,68.57,3.7,2.4,5.86,19.29,2025-05-09 16:08:30
Zilean,7,4,14,51,113,57.14,2.49,2.0,7.29,16.14,2025-05-09 16:08:30
Leona,12,9,22,57,204,75.0,3.96,1.83,4.75,17.0,2025-05-09 16:08:30
Nami,6,4,12,38,105,66.67,3.08,2.0,6.33,17.5,2025-05-09 16:08:30
Braum,10,2,15,70,132,20.0,2.1,1.5,7.0,13.2,2025-05-09 16:08:30
Sett,2,1,6,19,32,50.0,2.0,3.0,9.5,16.0,2025-05-09 16:08:30
Alistar,48,23,92,253,686,47.92,3.08,1.92,5.27,14.29,2025-05-09 16:08:30
Bard,20,11,47,110,341,55.0,3.53,2.35,5.5,17.05,2025-05-09 16:08:30
Senna,11,5,21,48,145,45.45,3.46,1.91,4.36,13.18,2025-05-09 16:08:30
Sona,3,2,1,14,43,66.67,3.14,0.33,4.67,14.33,2025-05-09 16:08:30
Karma,23,9,34,106,319,39.13,3.33,1.48,4.61,13.87,2025-05-09 16:08:30
Janna,18,10,24,92,221,55.56,2.66,1.33,5.11,12.28,2025-05-09 16:08:30
Pantheon,11,4,21,71,188,36.36,2.94,1.91,6.45,17.09,2025-05-09 16:08:30
Neeko,3,2,8,14,57,66.67,4.64,2.67,4.67,19.0,2025-05-09 16:08:30
Elise,3,3,5,15,38,100.0,2.87,1.67,5.0,12.67,2025-05-09 16:08:30
Seraphine,3,3,20,17,61,100.0,4.76,6.67,5.67,20.33,2025-05-09 16:08:30
Rakan,11,9,27,59,218,81.82,4.15,2.45,5.36,19.82,2025-05-09 16:08:30
Zyra,2,0,3,26,37,0.0,1.54,1.5,13.0,18.5,2025-05-09 16:08:30
Thresh,8,4,15,40,104,50.0,2.98,1.88,5.0,13.0,2025-05-09 16:08:30
Pyke,5,5,21,37,112,100.0,3.59,4.2,7.4,22.4,2025-05-09 16:08:30
Malzahar,1,1,3,9,29,100.0,3.56,3.0,9.0,29.0,2025-05-09 16:08:30
Anivia,1,1,5,5,18,100.0,4.6,5.0,5.0,18.0,2025-05-09 16:08:30
Blitzcrank,1,1,2,12,25,100.0,2.25,2.0,12.0,25.0,2025-05-09 16:08:30
Veigar,1,1,2,0,11,100.0,13.0,2.0,0.0,11.0,2025-05-09 16:08:30
Gragas,2,1,7,12,35,50.0,3.5,3.5,6.0,17.5,2025-05-09 16:08:30
Renata,4,3,12,21,90,75.0,4.86,3.0,5.25,22.5,2025-05-09 16:08:30
Galio,1,0,5,10,13,0.0,1.8,5.0,10.0,13.0,2025-05-09 16:08:30
Lulu,14,7,24,103,253,50.0,2.69,1.71,7.36,18.07,2025-05-09 16:08:30
Taric,2,2,4,7,36,100.0,5.71,2.0,3.5,18.0,2025-05-09 16:08:30
VelKoz,1,1,1,4,18,100.0,4.75,1.0,4.0,18.0,2025-05-09 16:08:30
Maokai,4,1,5,30,41,25.0,1.53,1.25,7.5,10.25,2025-05-09 16:08:30
Trundle,1,0,2,3,3,0.0,1.67,2.0,3.0,3.0,2025-05-09 16:08:30
Yuumi,2,1,2,7,22,50.0,3.43,1.0,3.5,11.0,2025-05-09 16:08:30
Tahm Kench,1,1,0,6,29,100.0,4.83,0.0,6.0,29.0,2025-05-09 16:08:30
Soraka,2,1,2,12,42,50.0,3.67,1.0,6.0,21.0,2025-05-09 16:08:30
Milio,3,3,7,14,61,100.0,4.86,2.33,4.67,20.33,2025-05-09 16:08:30
Syndra,1,1,6,1,19,100.0,25.0,6.0,1.0,19.0,2025-05-09 16:08:30
Xerath,1,1,3,2,21,100.0,12.0,3.0,2.0,21.0,2025-05-09 16:08:30
