opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Aatrox,6,4,19,28,34,66.67,1.89,3.17,4.67,5.67,2025-05-09 16:08:30
Gwen,7,3,14,39,76,42.86,2.31,2.0,5.57,10.86,2025-05-09 16:08:30
Ambessa,7,2,25,47,45,28.57,1.49,3.57,6.71,6.43,2025-05-09 16:08:30
Singed,1,1,3,2,15,100.0,9.0,3.0,2.0,15.0,2025-05-09 16:08:30
Jayce,14,9,53,68,106,64.29,2.34,3.79,4.86,7.57,2025-05-09 16:08:30
Vayne,2,2,14,2,10,100.0,12.0,7.0,1.0,5.0,2025-05-09 16:08:30
Sett,3,3,7,16,26,100.0,2.06,2.33,5.33,8.67,2025-05-09 16:08:30
Quinn,7,3,23,45,24,42.86,1.04,3.29,6.43,3.43,2025-05-09 16:08:30
Dr. Mundo,2,2,9,11,34,100.0,3.91,4.5,5.5,17.0,2025-05-09 16:08:30
Irelia,5,1,20,26,23,20.0,1.65,4.0,5.2,4.6,2025-05-09 16:08:30
Gragas,1,0,4,10,10,0.0,1.4,4.0,10.0,10.0,2025-05-09 16:08:30
Urgot,4,3,6,18,37,75.0,2.39,1.5,4.5,9.25,2025-05-09 16:08:30
Kayn,1,1,8,5,19,100.0,5.4,8.0,5.0,19.0,2025-05-09 16:08:30
Aurelion Sol,1,1,4,7,9,100.0,1.86,4.0,7.0,9.0,2025-05-09 16:08:30
Gnar,6,2,47,41,46,33.33,2.27,7.83,6.83,7.67,2025-05-09 16:08:30
Smolder,2,1,2,5,3,50.0,1.0,1.0,2.5,1.5,2025-05-09 16:08:30
Yone,2,2,4,5,16,100.0,4.0,2.0,2.5,8.0,2025-05-09 16:08:30
Heimerdinger,1,0,8,4,3,0.0,2.75,8.0,4.0,3.0,2025-05-09 16:08:30
Vladimir,3,2,10,17,17,66.67,1.59,3.33,5.67,5.67,2025-05-09 16:08:30
Lissandra,1,1,8,2,17,100.0,12.5,8.0,2.0,17.0,2025-05-09 16:08:30
Tristana,1,0,7,7,12,0.0,2.71,7.0,7.0,12.0,2025-05-09 16:08:30
Darius,2,2,3,8,10,100.0,1.62,1.5,4.0,5.0,2025-05-09 16:08:30
Azir,1,0,7,11,11,0.0,1.64,7.0,11.0,11.0,2025-05-09 16:08:30
Yasuo,2,1,9,10,7,50.0,1.6,4.5,5.0,3.5,2025-05-09 16:08:30
Karthus,1,1,11,6,2,100.0,2.17,11.0,6.0,2.0,2025-05-09 16:08:30
Galio,1,1,1,7,12,100.0,1.86,1.0,7.0,12.0,2025-05-09 16:08:30
Kayle,1,0,2,8,1,0.0,0.38,2.0,8.0,1.0,2025-05-09 16:08:30
Gangplank,3,3,21,14,14,100.0,2.5,7.0,4.67,4.67,2025-05-09 16:08:30
Sylas,1,0,2,6,4,0.0,1.0,2.0,6.0,4.0,2025-05-09 16:08:30
Fiora,1,1,2,5,8,100.0,2.0,2.0,5.0,8.0,2025-05-09 16:08:30
Nidalee,1,0,2,3,11,0.0,4.33,2.0,3.0,11.0,2025-05-09 16:08:30
Yorick,2,2,6,6,22,100.0,4.67,3.0,3.0,11.0,2025-05-09 16:08:30
Udyr,2,0,2,6,2,0.0,0.67,1.0,3.0,1.0,2025-05-09 16:08:30
Maokai,1,0,3,4,6,0.0,2.25,3.0,4.0,6.0,2025-05-09 16:08:30
Aurora,2,0,2,12,14,0.0,1.33,1.0,6.0,7.0,2025-05-09 16:08:30
Varus,1,0,4,2,8,0.0,6.0,4.0,2.0,8.0,2025-05-09 16:08:30
Olaf,1,1,4,9,23,100.0,3.0,4.0,9.0,23.0,2025-05-09 16:08:30
Illaoi,1,1,6,6,8,100.0,2.33,6.0,6.0,8.0,2025-05-09 16:08:30
Cassiopeia,1,1,7,4,9,100.0,4.0,7.0,4.0,9.0,2025-05-09 16:08:30
Shen,1,0,0,6,5,0.0,0.83,0.0,6.0,5.0,2025-05-09 16:08:30
Chogath,1,1,0,0,0,100.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Jax,1,0,6,5,11,0.0,3.4,6.0,5.0,11.0,2025-05-09 16:08:30
Tryndamere,1,0,4,8,4,0.0,1.0,4.0,8.0,4.0,2025-05-09 16:08:30
Zoe,1,0,6,4,9,0.0,3.75,6.0,4.0,9.0,2025-05-09 16:08:30
Pantheon,2,1,8,10,15,50.0,2.3,4.0,5.0,7.5,2025-05-09 16:08:30
