opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Alistar,7,3,13,29,71,42.86,2.9,1.86,4.14,10.14,2025-05-09 16:08:30
Nami,14,6,23,81,196,42.86,2.7,1.64,5.79,14.0,2025-05-09 16:08:30
Maokai,3,3,5,9,63,100.0,7.56,1.67,3.0,21.0,2025-05-09 16:08:30
Lulu,12,7,30,55,147,58.33,3.22,2.5,4.58,12.25,2025-05-09 16:08:30
Thresh,7,6,17,27,116,85.71,4.93,2.43,3.86,16.57,2025-05-09 16:08:30
Zilean,5,3,9,26,67,60.0,2.92,1.8,5.2,13.4,2025-05-09 16:08:30
Blitzcrank,2,1,7,12,31,50.0,3.17,3.5,6.0,15.5,2025-05-09 16:08:30
Nautilus,10,7,15,35,119,70.0,3.83,1.5,3.5,11.9,2025-05-09 16:08:30
Poppy,2,0,4,8,12,0.0,2.0,2.0,4.0,6.0,2025-05-09 16:08:30
Pantheon,5,3,11,24,97,60.0,4.5,2.2,4.8,19.4,2025-05-09 16:08:30
Karma,14,8,32,81,233,57.14,3.27,2.29,5.79,16.64,2025-05-09 16:08:30
Gragas,1,0,3,8,13,0.0,2.0,3.0,8.0,13.0,2025-05-09 16:08:30
Bard,10,7,26,61,167,70.0,3.16,2.6,6.1,16.7,2025-05-09 16:08:30
Rell,3,1,7,17,25,33.33,1.88,2.33,5.67,8.33,2025-05-09 16:08:30
Senna,7,4,20,24,79,57.14,4.12,2.86,3.43,11.29,2025-05-09 16:08:30
Soraka,2,1,5,15,31,50.0,2.4,2.5,7.5,15.5,2025-05-09 16:08:30
Sett,2,0,4,6,22,0.0,4.33,2.0,3.0,11.0,2025-05-09 16:08:30
Yuumi,5,3,5,23,59,60.0,2.78,1.0,4.6,11.8,2025-05-09 16:08:30
Rakan,5,3,12,29,66,60.0,2.69,2.4,5.8,13.2,2025-05-09 16:08:30
Anivia,1,1,4,1,9,100.0,13.0,4.0,1.0,9.0,2025-05-09 16:08:30
Nunu & Willump,1,0,7,1,23,0.0,30.0,7.0,1.0,23.0,2025-05-09 16:08:30
Camille,1,1,3,5,7,100.0,2.0,3.0,5.0,7.0,2025-05-09 16:08:30
Leona,5,3,11,26,83,60.0,3.62,2.2,5.2,16.6,2025-05-09 16:08:30
Neeko,4,3,9,13,82,75.0,7.0,2.25,3.25,20.5,2025-05-09 16:08:30
Janna,6,4,14,21,76,66.67,4.29,2.33,3.5,12.67,2025-05-09 16:08:30
Reksai,1,1,5,3,26,100.0,10.33,5.0,3.0,26.0,2025-05-09 16:08:30
Fiddlesticks,2,2,12,5,36,100.0,9.6,6.0,2.5,18.0,2025-05-09 16:08:30
Pyke,2,1,3,10,26,50.0,2.9,1.5,5.0,13.0,2025-05-09 16:08:30
Rengar,1,0,3,8,14,0.0,2.12,3.0,8.0,14.0,2025-05-09 16:08:30
Shaco,1,0,3,4,4,0.0,1.75,3.0,4.0,4.0,2025-05-09 16:08:30
Milio,1,0,0,2,2,0.0,1.0,0.0,2.0,2.0,2025-05-09 16:08:30
Braum,2,0,3,16,30,0.0,2.06,1.5,8.0,15.0,2025-05-09 16:08:30
Taric,1,1,1,2,8,100.0,4.5,1.0,2.0,8.0,2025-05-09 16:08:30
Tahm Kench,1,1,5,5,23,100.0,5.6,5.0,5.0,23.0,2025-05-09 16:08:30
VelKoz,1,1,0,7,22,100.0,3.14,0.0,7.0,22.0,2025-05-09 16:08:30
