opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Aurelion Sol,1,0,4,8,17,0.0,2.62,4.0,8.0,17.0,2025-05-09 16:08:30
Chogath,1,1,5,1,25,100.0,30.0,5.0,1.0,25.0,2025-05-09 16:08:30
Smolder,1,0,1,3,0,0.0,0.33,1.0,3.0,0.0,2025-05-09 16:08:30
Corki,3,1,16,22,23,33.33,1.77,5.33,7.33,7.67,2025-05-09 16:08:30
Ashe,1,1,2,5,11,100.0,2.6,2.0,5.0,11.0,2025-05-09 16:08:30
Miss Fortune,2,0,5,14,13,0.0,1.29,2.5,7.0,6.5,2025-05-09 16:08:30
Lucian,2,0,16,26,6,0.0,0.85,8.0,13.0,3.0,2025-05-09 16:08:30
Azir,3,2,12,14,28,66.67,2.86,4.0,4.67,9.33,2025-05-09 16:08:30
Jayce,4,1,15,20,23,25.0,1.9,3.75,5.0,5.75,2025-05-09 16:08:30
Kaisa,3,2,8,22,33,66.67,1.86,2.67,7.33,11.0,2025-05-09 16:08:30
Tristana,2,2,16,6,32,100.0,8.0,8.0,3.0,16.0,2025-05-09 16:08:30
Ezreal,3,1,15,23,22,33.33,1.61,5.0,7.67,7.33,2025-05-09 16:08:30
Gragas,1,1,9,7,11,100.0,2.86,9.0,7.0,11.0,2025-05-09 16:08:30
Yone,1,1,6,1,6,100.0,12.0,6.0,1.0,6.0,2025-05-09 16:08:30
Galio,1,1,5,10,21,100.0,2.6,5.0,10.0,21.0,2025-05-09 16:08:30
Quinn,1,1,6,4,15,100.0,5.25,6.0,4.0,15.0,2025-05-09 16:08:30
Lissandra,1,1,3,3,11,100.0,4.67,3.0,3.0,11.0,2025-05-09 16:08:30
Sylas,2,2,31,11,27,100.0,5.27,15.5,5.5,13.5,2025-05-09 16:08:30
Mel,1,1,9,6,4,100.0,2.17,9.0,6.0,4.0,2025-05-09 16:08:30
Caitlyn,1,1,12,5,14,100.0,5.2,12.0,5.0,14.0,2025-05-09 16:08:30
Zyra,1,1,1,3,1,100.0,0.67,1.0,3.0,1.0,2025-05-09 16:08:30
Jhin,2,0,8,13,15,0.0,1.77,4.0,6.5,7.5,2025-05-09 16:08:30
Fiora,4,2,14,12,8,50.0,1.83,3.5,3.0,2.0,2025-05-09 16:08:30
Varus,2,0,10,20,10,0.0,1.0,5.0,10.0,5.0,2025-05-09 16:08:30
Vayne,1,1,4,2,13,100.0,8.5,4.0,2.0,13.0,2025-05-09 16:08:30
Aurora,1,1,9,7,19,100.0,4.0,9.0,7.0,19.0,2025-05-09 16:08:30
Ryze,3,3,19,14,50,100.0,4.93,6.33,4.67,16.67,2025-05-09 16:08:30
Tahm Kench,1,1,4,3,22,100.0,8.67,4.0,3.0,22.0,2025-05-09 16:08:30
Trundle,2,2,4,8,34,100.0,4.75,2.0,4.0,17.0,2025-05-09 16:08:30
Elise,1,1,1,7,11,100.0,1.71,1.0,7.0,11.0,2025-05-09 16:08:30
Taliyah,1,0,5,9,8,0.0,1.44,5.0,9.0,8.0,2025-05-09 16:08:30
Pantheon,2,0,6,18,6,0.0,0.67,3.0,9.0,3.0,2025-05-09 16:08:30
Qiyana,1,1,3,5,2,100.0,1.0,3.0,5.0,2.0,2025-05-09 16:08:30
Jinx,1,1,7,8,16,100.0,2.88,7.0,8.0,16.0,2025-05-09 16:08:30
Urgot,2,1,11,10,11,50.0,2.2,5.5,5.0,5.5,2025-05-09 16:08:30
Karthus,1,1,15,6,17,100.0,5.33,15.0,6.0,17.0,2025-05-09 16:08:30
Lux,1,0,0,8,8,0.0,1.0,0.0,8.0,8.0,2025-05-09 16:08:30
Rumble,1,1,5,2,5,100.0,5.0,5.0,2.0,5.0,2025-05-09 16:08:30
Soraka,1,1,5,4,12,100.0,4.25,5.0,4.0,12.0,2025-05-09 16:08:30
Gnar,1,1,6,3,25,100.0,10.33,6.0,3.0,25.0,2025-05-09 16:08:30
Kennen,1,1,7,5,11,100.0,3.6,7.0,5.0,11.0,2025-05-09 16:08:30
