opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Yasuo,6,4,49,20,34,66.67,4.15,8.17,3.33,5.67,2025-05-09 16:08:30
Syndra,13,7,86,47,70,53.85,3.32,6.62,3.62,5.38,2025-05-09 16:08:30
Ahri,50,27,293,226,282,54.0,2.54,5.86,4.52,5.64,2025-05-09 16:08:30
Ryze,18,8,104,97,135,44.44,2.46,5.78,5.39,7.5,2025-05-09 16:08:30
Twisted Fate,10,4,84,47,65,40.0,3.17,8.4,4.7,6.5,2025-05-09 16:08:30
Sejuani,1,1,5,1,12,100.0,17.0,5.0,1.0,12.0,2025-05-09 16:08:30
Naafiri,3,1,20,14,22,33.33,3.0,6.67,4.67,7.33,2025-05-09 16:08:30
Qiyana,12,6,80,69,68,50.0,2.14,6.67,5.75,5.67,2025-05-09 16:08:30
Ambessa,7,5,59,33,71,71.43,3.94,8.43,4.71,10.14,2025-05-09 16:08:30
Aatrox,1,1,2,8,9,100.0,1.38,2.0,8.0,9.0,2025-05-09 16:08:30
Vladimir,5,2,41,28,35,40.0,2.71,8.2,5.6,7.0,2025-05-09 16:08:30
Malphite,2,2,17,4,16,100.0,8.25,8.5,2.0,8.0,2025-05-09 16:08:30
Rumble,3,2,18,6,15,66.67,5.5,6.0,2.0,5.0,2025-05-09 16:08:30
Viktor,9,8,60,37,76,88.89,3.68,6.67,4.11,8.44,2025-05-09 16:08:30
Gangplank,2,0,14,15,6,0.0,1.33,7.0,7.5,3.0,2025-05-09 16:08:30
Yone,22,8,137,128,139,36.36,2.16,6.23,5.82,6.32,2025-05-09 16:08:30
Tristana,9,5,38,50,49,55.56,1.74,4.22,5.56,5.44,2025-05-09 16:08:30
Ekko,7,3,47,39,56,42.86,2.64,6.71,5.57,8.0,2025-05-09 16:08:30
Yorick,1,1,0,2,0,100.0,0.0,0.0,2.0,0.0,2025-05-09 16:08:30
Fiddlesticks,2,0,4,13,12,0.0,1.23,2.0,6.5,6.0,2025-05-09 16:08:30
Aurora,16,10,94,94,111,62.5,2.18,5.88,5.88,6.94,2025-05-09 16:08:30
Galio,10,3,46,62,57,30.0,1.66,4.6,6.2,5.7,2025-05-09 16:08:30
Miss Fortune,1,0,3,7,6,0.0,1.29,3.0,7.0,6.0,2025-05-09 16:08:30
