opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Milio,1,0,1,8,6,0.0,0.88,1.0,8.0,6.0,2025-05-09 16:08:30
Thresh,3,1,2,26,59,33.33,2.35,0.67,8.67,19.67,2025-05-09 16:08:30
Leona,1,1,3,6,11,100.0,2.33,3.0,6.0,11.0,2025-05-09 16:08:30
Pantheon,3,2,3,20,50,66.67,2.65,1.0,6.67,16.67,2025-05-09 16:08:30
Fiddlesticks,1,0,0,7,3,0.0,0.43,0.0,7.0,3.0,2025-05-09 16:08:30
Graves,1,1,2,14,22,100.0,1.71,2.0,14.0,22.0,2025-05-09 16:08:30
Senna,1,0,2,7,11,0.0,1.86,2.0,7.0,11.0,2025-05-09 16:08:30
Janna,1,0,0,5,3,0.0,0.6,0.0,5.0,3.0,2025-05-09 16:08:30
Nautilus,3,0,5,21,40,0.0,2.14,1.67,7.0,13.33,2025-05-09 16:08:30
Jarvan Iv,1,1,6,4,19,100.0,6.25,6.0,4.0,19.0,2025-05-09 16:08:30
Darius,1,0,1,7,7,0.0,1.14,1.0,7.0,7.0,2025-05-09 16:08:30
Ahri,1,0,0,1,0,0.0,0.0,0.0,1.0,0.0,2025-05-09 16:08:30
Bard,2,1,2,3,7,50.0,3.0,1.0,1.5,3.5,2025-05-09 16:08:30
Lulu,3,0,5,21,35,0.0,1.9,1.67,7.0,11.67,2025-05-09 16:08:30
Singed,1,1,4,4,24,100.0,7.0,4.0,4.0,24.0,2025-05-09 16:08:30
Gangplank,1,0,2,2,6,0.0,4.0,2.0,2.0,6.0,2025-05-09 16:08:30
Kayn,1,0,2,6,9,0.0,1.83,2.0,6.0,9.0,2025-05-09 16:08:30
Brand,1,0,0,3,8,0.0,2.67,0.0,3.0,8.0,2025-05-09 16:08:30
Braum,1,0,1,5,16,0.0,3.4,1.0,5.0,16.0,2025-05-09 16:08:30
Rakan,2,1,2,12,31,50.0,2.75,1.0,6.0,15.5,2025-05-09 16:08:30
Neeko,1,1,1,4,18,100.0,4.75,1.0,4.0,18.0,2025-05-09 16:08:30
Rell,2,0,3,12,18,0.0,1.75,1.5,6.0,9.0,2025-05-09 16:08:30
Karma,2,2,2,6,30,100.0,5.33,1.0,3.0,15.0,2025-05-09 16:08:30
Pyke,1,1,0,2,9,100.0,4.5,0.0,2.0,9.0,2025-05-09 16:08:30
Riven,1,1,2,7,16,100.0,2.57,2.0,7.0,16.0,2025-05-09 16:08:30
Twitch,1,1,0,0,16,100.0,16.0,0.0,0.0,16.0,2025-05-09 16:08:30
Annie,1,0,0,5,3,0.0,0.6,0.0,5.0,3.0,2025-05-09 16:08:30
Seraphine,1,1,2,1,23,100.0,25.0,2.0,1.0,23.0,2025-05-09 16:08:30
Sona,1,0,0,3,6,0.0,2.0,0.0,3.0,6.0,2025-05-09 16:08:30
Zoe,1,1,1,6,17,100.0,3.0,1.0,6.0,17.0,2025-05-09 16:08:30
