opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Rammus,3,0,5,19,17,0.0,1.16,1.67,6.33,5.67,2025-05-09 16:08:30
Sejuani,1,1,15,1,5,100.0,20.0,15.0,1.0,5.0,2025-05-09 16:08:30
Tryndamere,1,0,2,8,1,0.0,0.38,2.0,8.0,1.0,2025-05-09 16:08:30
Irelia,1,0,3,6,2,0.0,0.83,3.0,6.0,2.0,2025-05-09 16:08:30
Volibear,2,2,13,14,45,100.0,4.14,6.5,7.0,22.5,2025-05-09 16:08:30
Blitzcrank,2,1,3,5,11,50.0,2.8,1.5,2.5,5.5,2025-05-09 16:08:30
Swain,2,0,2,12,22,0.0,2.0,1.0,6.0,11.0,2025-05-09 16:08:30
Olaf,1,1,7,11,1,100.0,0.73,7.0,11.0,1.0,2025-05-09 16:08:30
Rell,1,1,4,2,2,100.0,3.0,4.0,2.0,2.0,2025-05-09 16:08:30
Alistar,1,1,1,8,33,100.0,4.25,1.0,8.0,33.0,2025-05-09 16:08:30
Leona,1,1,3,7,13,100.0,2.29,3.0,7.0,13.0,2025-05-09 16:08:30
Sett,1,1,2,4,1,100.0,0.75,2.0,4.0,1.0,2025-05-09 16:08:30
Kayle,1,0,5,6,4,0.0,1.5,5.0,6.0,4.0,2025-05-09 16:08:30
Thresh,1,0,6,6,9,0.0,2.5,6.0,6.0,9.0,2025-05-09 16:08:30
Xin Zhao,1,0,3,6,10,0.0,2.17,3.0,6.0,10.0,2025-05-09 16:08:30
Xerath,1,0,6,9,15,0.0,2.33,6.0,9.0,15.0,2025-05-09 16:08:30
Darius,1,1,14,2,5,100.0,9.5,14.0,2.0,5.0,2025-05-09 16:08:30
