opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Gnar,4,2,15,19,23,50.0,2.0,3.75,4.75,5.75,2025-05-09 16:08:30
Ambessa,7,4,30,38,26,57.14,1.47,4.29,5.43,3.71,2025-05-09 16:08:30
Sion,4,1,17,24,11,25.0,1.17,4.25,6.0,2.75,2025-05-09 16:08:30
Aatrox,6,4,52,41,33,66.67,2.07,8.67,6.83,5.5,2025-05-09 16:08:30
Aphelios,2,0,26,12,18,0.0,3.67,13.0,6.0,9.0,2025-05-09 16:08:30
Volibear,2,1,8,12,8,50.0,1.33,4.0,6.0,4.0,2025-05-09 16:08:30
Gangplank,3,2,16,14,24,66.67,2.86,5.33,4.67,8.0,2025-05-09 16:08:30
Vayne,1,1,7,4,4,100.0,2.75,7.0,4.0,4.0,2025-05-09 16:08:30
Nasus,3,1,16,12,3,33.33,1.58,5.33,4.0,1.0,2025-05-09 16:08:30
Gwen,2,0,7,15,5,0.0,0.8,3.5,7.5,2.5,2025-05-09 16:08:30
Xayah,1,0,8,9,5,0.0,1.44,8.0,9.0,5.0,2025-05-09 16:08:30
Lucian,1,1,10,5,6,100.0,3.2,10.0,5.0,6.0,2025-05-09 16:08:30
Irelia,8,3,45,31,14,37.5,1.9,5.62,3.88,1.75,2025-05-09 16:08:30
Varus,4,4,27,24,35,100.0,2.58,6.75,6.0,8.75,2025-05-09 16:08:30
Nocturne,1,0,7,4,3,0.0,2.5,7.0,4.0,3.0,2025-05-09 16:08:30
Kaisa,2,2,14,6,6,100.0,3.33,7.0,3.0,3.0,2025-05-09 16:08:30
Shen,2,1,11,11,4,50.0,1.36,5.5,5.5,2.0,2025-05-09 16:08:30
Camille,2,0,13,11,11,0.0,2.18,6.5,5.5,5.5,2025-05-09 16:08:30
Cassiopeia,3,1,16,21,16,33.33,1.52,5.33,7.0,5.33,2025-05-09 16:08:30
Jayce,2,2,7,11,8,100.0,1.36,3.5,5.5,4.0,2025-05-09 16:08:30
Corki,1,1,13,8,9,100.0,2.75,13.0,8.0,9.0,2025-05-09 16:08:30
Akali,1,0,8,10,11,0.0,1.9,8.0,10.0,11.0,2025-05-09 16:08:30
Jax,3,3,18,18,22,100.0,2.22,6.0,6.0,7.33,2025-05-09 16:08:30
Darius,3,1,17,19,7,33.33,1.26,5.67,6.33,2.33,2025-05-09 16:08:30
Garen,2,1,11,7,8,50.0,2.71,5.5,3.5,4.0,2025-05-09 16:08:30
Quinn,1,0,9,5,6,0.0,3.0,9.0,5.0,6.0,2025-05-09 16:08:30
Gragas,4,3,25,19,17,75.0,2.21,6.25,4.75,4.25,2025-05-09 16:08:30
Malphite,1,1,2,2,5,100.0,3.5,2.0,2.0,5.0,2025-05-09 16:08:30
Fiora,2,2,20,10,11,100.0,3.1,10.0,5.0,5.5,2025-05-09 16:08:30
Yasuo,3,2,9,22,12,66.67,0.95,3.0,7.33,4.0,2025-05-09 16:08:30
Chogath,1,1,3,3,4,100.0,2.33,3.0,3.0,4.0,2025-05-09 16:08:30
Warwick,1,0,5,7,1,0.0,0.86,5.0,7.0,1.0,2025-05-09 16:08:30
Bard,1,1,12,4,6,100.0,4.5,12.0,4.0,6.0,2025-05-09 16:08:30
Vex,1,1,7,3,6,100.0,4.33,7.0,3.0,6.0,2025-05-09 16:08:30
Riven,2,1,12,5,6,50.0,3.6,6.0,2.5,3.0,2025-05-09 16:08:30
Yorick,1,0,2,8,5,0.0,0.88,2.0,8.0,5.0,2025-05-09 16:08:30
Vladimir,1,0,4,7,5,0.0,1.29,4.0,7.0,5.0,2025-05-09 16:08:30
Sett,3,2,24,19,18,66.67,2.21,8.0,6.33,6.0,2025-05-09 16:08:30
Ahri,2,1,9,13,6,50.0,1.15,4.5,6.5,3.0,2025-05-09 16:08:30
Renekton,1,1,7,4,4,100.0,2.75,7.0,4.0,4.0,2025-05-09 16:08:30
Ezreal,1,1,9,3,6,100.0,5.0,9.0,3.0,6.0,2025-05-09 16:08:30
Viego,1,1,5,4,2,100.0,1.75,5.0,4.0,2.0,2025-05-09 16:08:30
KSante,2,1,7,9,6,50.0,1.44,3.5,4.5,3.0,2025-05-09 16:08:30
Naafiri,1,1,10,5,3,100.0,2.6,10.0,5.0,3.0,2025-05-09 16:08:30
Kled,2,1,11,5,9,50.0,4.0,5.5,2.5,4.5,2025-05-09 16:08:30
Fiddlesticks,1,1,6,4,12,100.0,4.5,6.0,4.0,12.0,2025-05-09 16:08:30
Azir,1,1,6,4,4,100.0,2.5,6.0,4.0,4.0,2025-05-09 16:08:30
Kayle,4,3,32,25,28,75.0,2.4,8.0,6.25,7.0,2025-05-09 16:08:30
Soraka,1,1,10,3,5,100.0,5.0,10.0,3.0,5.0,2025-05-09 16:08:30
Neeko,1,1,4,1,2,100.0,6.0,4.0,1.0,2.0,2025-05-09 16:08:30
Swain,2,1,11,8,8,50.0,2.38,5.5,4.0,4.0,2025-05-09 16:08:30
Rumble,2,1,6,10,9,50.0,1.5,3.0,5.0,4.5,2025-05-09 16:08:30
Teemo,1,0,9,5,5,0.0,2.8,9.0,5.0,5.0,2025-05-09 16:08:30
Yone,4,1,15,22,13,25.0,1.27,3.75,5.5,3.25,2025-05-09 16:08:30
Wukong,2,2,4,0,2,100.0,6.0,2.0,0.0,1.0,2025-05-09 16:08:30
Tryndamere,5,4,38,23,19,80.0,2.48,7.6,4.6,3.8,2025-05-09 16:08:30
Dr. Mundo,1,1,5,5,8,100.0,2.6,5.0,5.0,8.0,2025-05-09 16:08:30
Zed,1,1,0,0,0,100.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Ryze,1,1,8,1,8,100.0,16.0,8.0,1.0,8.0,2025-05-09 16:08:30
Mordekaiser,2,2,12,11,7,100.0,1.73,6.0,5.5,3.5,2025-05-09 16:08:30
Maokai,1,0,4,5,3,0.0,1.4,4.0,5.0,3.0,2025-05-09 16:08:30
Qiyana,1,1,12,8,7,100.0,2.38,12.0,8.0,7.0,2025-05-09 16:08:30
Pantheon,1,1,5,5,7,100.0,2.4,5.0,5.0,7.0,2025-05-09 16:08:30
