opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nunu & Willump,3,0,15,18,15,0.0,1.67,5.0,6.0,5.0,2025-05-09 16:08:30
Morgana,2,0,0,10,2,0.0,0.2,0.0,5.0,1.0,2025-05-09 16:08:30
Jarvan Iv,5,2,19,21,34,40.0,2.52,3.8,4.2,6.8,2025-05-09 16:08:30
Nidalee,11,7,85,44,129,63.64,4.86,7.73,4.0,11.73,2025-05-09 16:08:30
Wukong,5,3,37,14,45,60.0,5.86,7.4,2.8,9.0,2025-05-09 16:08:30
Rengar,4,2,19,14,25,50.0,3.14,4.75,3.5,6.25,2025-05-09 16:08:30
Qiyana,4,2,30,20,37,50.0,3.35,7.5,5.0,9.25,2025-05-09 16:08:30
Gwen,12,7,68,60,94,58.33,2.7,5.67,5.0,7.83,2025-05-09 16:08:30
Pantheon,8,5,72,39,70,62.5,3.64,9.0,4.88,8.75,2025-05-09 16:08:30
Vi,13,6,76,60,112,46.15,3.13,5.85,4.62,8.62,2025-05-09 16:08:30
Lillia,2,0,19,15,18,0.0,2.47,9.5,7.5,9.0,2025-05-09 16:08:30
Zed,10,6,83,46,105,60.0,4.09,8.3,4.6,10.5,2025-05-09 16:08:30
Lee Sin,16,13,117,70,198,81.25,4.5,7.31,4.38,12.38,2025-05-09 16:08:30
Naafiri,13,5,68,98,131,38.46,2.03,5.23,7.54,10.08,2025-05-09 16:08:30
Viego,18,9,94,112,188,50.0,2.52,5.22,6.22,10.44,2025-05-09 16:08:30
Zyra,9,6,52,43,81,66.67,3.09,5.78,4.78,9.0,2025-05-09 16:08:30
Graves,6,3,32,37,58,50.0,2.43,5.33,6.17,9.67,2025-05-09 16:08:30
Volibear,6,2,40,28,28,33.33,2.43,6.67,4.67,4.67,2025-05-09 16:08:30
Fiddlesticks,3,1,17,14,21,33.33,2.71,5.67,4.67,7.0,2025-05-09 16:08:30
KhaZix,12,10,85,46,111,83.33,4.26,7.08,3.83,9.25,2025-05-09 16:08:30
Kindred,8,6,50,19,64,75.0,6.0,6.25,2.38,8.0,2025-05-09 16:08:30
Ambessa,2,1,13,11,23,50.0,3.27,6.5,5.5,11.5,2025-05-09 16:08:30
