opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Fiora,5,3,15,35,40,60.0,1.57,3.0,7.0,8.0,2025-05-09 16:08:30
Jayce,14,11,70,59,51,78.57,2.05,5.0,4.21,3.64,2025-05-09 16:08:30
Sett,3,1,19,21,18,33.33,1.76,6.33,7.0,6.0,2025-05-09 16:08:30
Ambessa,5,3,13,16,18,60.0,1.94,2.6,3.2,3.6,2025-05-09 16:08:30
Aurora,2,0,3,9,2,0.0,0.56,1.5,4.5,1.0,2025-05-09 16:08:30
Sejuani,1,1,4,13,7,100.0,0.85,4.0,13.0,7.0,2025-05-09 16:08:30
Chogath,1,1,4,11,8,100.0,1.09,4.0,11.0,8.0,2025-05-09 16:08:30
Jax,4,2,19,16,23,50.0,2.62,4.75,4.0,5.75,2025-05-09 16:08:30
Camille,2,1,7,5,6,50.0,2.6,3.5,2.5,3.0,2025-05-09 16:08:30
Aatrox,1,1,8,4,5,100.0,3.25,8.0,4.0,5.0,2025-05-09 16:08:30
Sylas,1,0,3,1,0,0.0,3.0,3.0,1.0,0.0,2025-05-09 16:08:30
Gwen,3,2,10,15,23,66.67,2.2,3.33,5.0,7.67,2025-05-09 16:08:30
KSante,3,1,17,20,15,33.33,1.6,5.67,6.67,5.0,2025-05-09 16:08:30
Irelia,4,0,11,25,8,0.0,0.76,2.75,6.25,2.0,2025-05-09 16:08:30
Viego,4,2,30,24,31,50.0,2.54,7.5,6.0,7.75,2025-05-09 16:08:30
Shen,3,2,5,7,2,66.67,1.0,1.67,2.33,0.67,2025-05-09 16:08:30
Nidalee,1,1,6,10,4,100.0,1.0,6.0,10.0,4.0,2025-05-09 16:08:30
Vayne,1,1,3,4,3,100.0,1.5,3.0,4.0,3.0,2025-05-09 16:08:30
Singed,2,1,6,7,2,50.0,1.14,3.0,3.5,1.0,2025-05-09 16:08:30
Ahri,1,0,1,8,6,0.0,0.88,1.0,8.0,6.0,2025-05-09 16:08:30
Yone,3,2,10,11,20,66.67,2.73,3.33,3.67,6.67,2025-05-09 16:08:30
Udyr,3,2,12,9,34,66.67,5.11,4.0,3.0,11.33,2025-05-09 16:08:30
Hecarim,1,1,13,2,8,100.0,10.5,13.0,2.0,8.0,2025-05-09 16:08:30
Diana,2,1,8,18,13,50.0,1.17,4.0,9.0,6.5,2025-05-09 16:08:30
Quinn,3,1,9,11,8,33.33,1.55,3.0,3.67,2.67,2025-05-09 16:08:30
Nocturne,3,1,14,19,26,33.33,2.11,4.67,6.33,8.67,2025-05-09 16:08:30
Poppy,1,0,1,5,2,0.0,0.6,1.0,5.0,2.0,2025-05-09 16:08:30
Mordekaiser,2,1,8,12,15,50.0,1.92,4.0,6.0,7.5,2025-05-09 16:08:30
Vex,1,0,12,11,3,0.0,1.36,12.0,11.0,3.0,2025-05-09 16:08:30
Gangplank,1,0,1,5,6,0.0,1.4,1.0,5.0,6.0,2025-05-09 16:08:30
Warwick,1,0,2,5,1,0.0,0.6,2.0,5.0,1.0,2025-05-09 16:08:30
Urgot,1,1,2,6,9,100.0,1.83,2.0,6.0,9.0,2025-05-09 16:08:30
Brand,3,2,14,14,12,66.67,1.86,4.67,4.67,4.0,2025-05-09 16:08:30
Dr. Mundo,1,1,4,6,2,100.0,1.0,4.0,6.0,2.0,2025-05-09 16:08:30
