opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Talon,3,0,5,29,25,0.0,1.03,1.67,9.67,8.33,2025-05-09 16:08:30
Reksai,1,0,3,6,3,0.0,1.0,3.0,6.0,3.0,2025-05-09 16:08:30
Belveth,1,0,2,9,12,0.0,1.56,2.0,9.0,12.0,2025-05-09 16:08:30
Nunu & Willump,2,0,8,15,10,0.0,1.2,4.0,7.5,5.0,2025-05-09 16:08:30
Ambessa,2,1,1,16,8,50.0,0.56,0.5,8.0,4.0,2025-05-09 16:08:30
Alistar,1,1,4,11,9,100.0,1.18,4.0,11.0,9.0,2025-05-09 16:08:30
Viego,2,1,8,11,25,50.0,3.0,4.0,5.5,12.5,2025-05-09 16:08:30
Gwen,1,0,1,13,6,0.0,0.54,1.0,13.0,6.0,2025-05-09 16:08:30
Hecarim,1,1,1,9,16,100.0,1.89,1.0,9.0,16.0,2025-05-09 16:08:30
Rammus,1,0,4,8,13,0.0,2.12,4.0,8.0,13.0,2025-05-09 16:08:30
Nasus,1,1,4,0,8,100.0,12.0,4.0,0.0,8.0,2025-05-09 16:08:30
Dr. Mundo,1,0,0,6,14,0.0,2.33,0.0,6.0,14.0,2025-05-09 16:08:30
Vi,1,0,6,10,10,0.0,1.6,6.0,10.0,10.0,2025-05-09 16:08:30
Rakan,1,0,0,6,14,0.0,2.33,0.0,6.0,14.0,2025-05-09 16:08:30
Skarner,3,0,10,36,25,0.0,0.97,3.33,12.0,8.33,2025-05-09 16:08:30
Pantheon,1,0,0,4,5,0.0,1.25,0.0,4.0,5.0,2025-05-09 16:08:30
Annie,1,0,1,6,1,0.0,0.33,1.0,6.0,1.0,2025-05-09 16:08:30
Braum,1,1,2,3,32,100.0,11.33,2.0,3.0,32.0,2025-05-09 16:08:30
