opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Syndra,2,1,8,11,13,50.0,1.91,4.0,5.5,6.5,2025-05-09 16:08:30
Lucian,1,0,8,2,5,0.0,6.5,8.0,2.0,5.0,2025-05-09 16:08:30
Ezreal,1,1,2,5,6,100.0,1.6,2.0,5.0,6.0,2025-05-09 16:08:30
Aurora,4,2,22,17,27,50.0,2.88,5.5,4.25,6.75,2025-05-09 16:08:30
Ryze,2,0,12,12,12,0.0,2.0,6.0,6.0,6.0,2025-05-09 16:08:30
Galio,3,0,10,21,9,0.0,0.9,3.33,7.0,3.0,2025-05-09 16:08:30
Reksai,1,0,1,5,4,0.0,1.0,1.0,5.0,4.0,2025-05-09 16:08:30
Tristana,1,1,2,3,2,100.0,1.33,2.0,3.0,2.0,2025-05-09 16:08:30
Ahri,6,4,60,23,60,66.67,5.22,10.0,3.83,10.0,2025-05-09 16:08:30
Lee Sin,1,1,17,1,12,100.0,29.0,17.0,1.0,12.0,2025-05-09 16:08:30
Katarina,2,0,2,9,7,0.0,1.0,1.0,4.5,3.5,2025-05-09 16:08:30
Smolder,1,1,10,2,14,100.0,12.0,10.0,2.0,14.0,2025-05-09 16:08:30
Varus,1,1,6,5,6,100.0,2.4,6.0,5.0,6.0,2025-05-09 16:08:30
Samira,1,1,4,0,2,100.0,6.0,4.0,0.0,2.0,2025-05-09 16:08:30
Akali,3,1,22,11,32,33.33,4.91,7.33,3.67,10.67,2025-05-09 16:08:30
Ekko,1,1,10,3,7,100.0,5.67,10.0,3.0,7.0,2025-05-09 16:08:30
Corki,3,3,16,18,32,100.0,2.67,5.33,6.0,10.67,2025-05-09 16:08:30
Jhin,1,0,9,9,14,0.0,2.56,9.0,9.0,14.0,2025-05-09 16:08:30
Twitch,1,1,11,9,17,100.0,3.11,11.0,9.0,17.0,2025-05-09 16:08:30
Jinx,1,1,4,3,13,100.0,5.67,4.0,3.0,13.0,2025-05-09 16:08:30
Zed,1,0,4,12,17,0.0,1.75,4.0,12.0,17.0,2025-05-09 16:08:30
Jarvan Iv,1,0,6,9,7,0.0,1.44,6.0,9.0,7.0,2025-05-09 16:08:30
Hwei,3,1,58,19,59,33.33,6.16,19.33,6.33,19.67,2025-05-09 16:08:30
Taliyah,1,0,1,6,1,0.0,0.33,1.0,6.0,1.0,2025-05-09 16:08:30
Azir,4,2,22,23,39,50.0,2.65,5.5,5.75,9.75,2025-05-09 16:08:30
Miss Fortune,2,2,18,10,34,100.0,5.2,9.0,5.0,17.0,2025-05-09 16:08:30
Sylas,1,1,7,4,8,100.0,3.75,7.0,4.0,8.0,2025-05-09 16:08:30
Draven,1,1,6,12,8,100.0,1.17,6.0,12.0,8.0,2025-05-09 16:08:30
Chogath,1,1,8,1,10,100.0,18.0,8.0,1.0,10.0,2025-05-09 16:08:30
Kaisa,1,1,14,3,10,100.0,8.0,14.0,3.0,10.0,2025-05-09 16:08:30
Zac,2,1,17,10,14,50.0,3.1,8.5,5.0,7.0,2025-05-09 16:08:30
Naafiri,1,0,2,5,9,0.0,2.2,2.0,5.0,9.0,2025-05-09 16:08:30
Irelia,1,1,7,3,7,100.0,4.67,7.0,3.0,7.0,2025-05-09 16:08:30
Gwen,1,0,1,2,3,0.0,2.0,1.0,2.0,3.0,2025-05-09 16:08:30
Nilah,1,0,4,6,9,0.0,2.17,4.0,6.0,9.0,2025-05-09 16:08:30
Lux,2,0,4,16,22,0.0,1.62,2.0,8.0,11.0,2025-05-09 16:08:30
Mel,3,3,9,11,17,100.0,2.36,3.0,3.67,5.67,2025-05-09 16:08:30
Veigar,1,0,5,3,16,0.0,7.0,5.0,3.0,16.0,2025-05-09 16:08:30
