opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Thresh,19,7,36,121,283,36.84,2.64,1.89,6.37,14.89,2025-05-09 16:08:30
Alistar,6,5,7,25,80,83.33,3.48,1.17,4.17,13.33,2025-05-09 16:08:30
Bard,2,2,3,8,38,100.0,5.12,1.5,4.0,19.0,2025-05-09 16:08:30
Rakan,4,1,2,19,45,25.0,2.47,0.5,4.75,11.25,2025-05-09 16:08:30
Milio,8,6,20,33,89,75.0,3.3,2.5,4.12,11.12,2025-05-09 16:08:30
Janna,11,5,19,65,127,45.45,2.25,1.73,5.91,11.55,2025-05-09 16:08:30
Smolder,1,0,1,9,4,0.0,0.56,1.0,9.0,4.0,2025-05-09 16:08:30
Braum,6,4,8,31,68,66.67,2.45,1.33,5.17,11.33,2025-05-09 16:08:30
Lulu,6,4,9,25,77,66.67,3.44,1.5,4.17,12.83,2025-05-09 16:08:30
Karma,8,4,15,32,90,50.0,3.28,1.88,4.0,11.25,2025-05-09 16:08:30
Elise,1,0,3,5,12,0.0,3.0,3.0,5.0,12.0,2025-05-09 16:08:30
Fiddlesticks,4,3,12,34,65,75.0,2.26,3.0,8.5,16.25,2025-05-09 16:08:30
Renata,2,1,4,12,45,50.0,4.08,2.0,6.0,22.5,2025-05-09 16:08:30
Tahm Kench,1,0,2,4,11,0.0,3.25,2.0,4.0,11.0,2025-05-09 16:08:30
Seraphine,6,2,16,34,96,33.33,3.29,2.67,5.67,16.0,2025-05-09 16:08:30
Soraka,3,1,7,15,43,33.33,3.33,2.33,5.0,14.33,2025-05-09 16:08:30
Senna,4,2,5,20,72,50.0,3.85,1.25,5.0,18.0,2025-05-09 16:08:30
Sona,4,0,6,33,30,0.0,1.09,1.5,8.25,7.5,2025-05-09 16:08:30
Nami,13,6,16,78,136,46.15,1.95,1.23,6.0,10.46,2025-05-09 16:08:30
Anivia,1,1,1,2,5,100.0,3.0,1.0,2.0,5.0,2025-05-09 16:08:30
Zyra,1,1,1,10,24,100.0,2.5,1.0,10.0,24.0,2025-05-09 16:08:30
Pantheon,1,1,1,2,3,100.0,2.0,1.0,2.0,3.0,2025-05-09 16:08:30
Nautilus,1,1,1,4,13,100.0,3.5,1.0,4.0,13.0,2025-05-09 16:08:30
Yuumi,2,2,4,7,39,100.0,6.14,2.0,3.5,19.5,2025-05-09 16:08:30
Maokai,1,1,2,6,18,100.0,3.33,2.0,6.0,18.0,2025-05-09 16:08:30
