opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ambessa,21,12,97,100,145,57.14,2.42,4.62,4.76,6.9,2025-05-09 16:08:30
KSante,4,2,14,26,18,50.0,1.23,3.5,6.5,4.5,2025-05-09 16:08:30
Vladimir,4,0,9,17,7,0.0,0.94,2.25,4.25,1.75,2025-05-09 16:08:30
Yorick,3,2,13,16,13,66.67,1.62,4.33,5.33,4.33,2025-05-09 16:08:30
Azir,4,2,11,27,20,50.0,1.15,2.75,6.75,5.0,2025-05-09 16:08:30
Aatrox,10,6,43,55,46,60.0,1.62,4.3,5.5,4.6,2025-05-09 16:08:30
Singed,1,1,5,2,10,100.0,7.5,5.0,2.0,10.0,2025-05-09 16:08:30
Garen,2,1,16,13,14,50.0,2.31,8.0,6.5,7.0,2025-05-09 16:08:30
Lulu,1,0,1,9,6,0.0,0.78,1.0,9.0,6.0,2025-05-09 16:08:30
Bard,1,0,10,6,2,0.0,2.0,10.0,6.0,2.0,2025-05-09 16:08:30
Ornn,4,3,29,15,29,75.0,3.87,7.25,3.75,7.25,2025-05-09 16:08:30
Veigar,1,1,5,4,7,100.0,3.0,5.0,4.0,7.0,2025-05-09 16:08:30
Kayle,3,1,13,16,8,33.33,1.31,4.33,5.33,2.67,2025-05-09 16:08:30
Jax,6,4,22,30,30,66.67,1.73,3.67,5.0,5.0,2025-05-09 16:08:30
Taric,1,0,3,6,3,0.0,1.0,3.0,6.0,3.0,2025-05-09 16:08:30
Wukong,4,2,12,13,8,50.0,1.54,3.0,3.25,2.0,2025-05-09 16:08:30
Nasus,4,2,30,19,20,50.0,2.63,7.5,4.75,5.0,2025-05-09 16:08:30
Seraphine,1,1,3,2,6,100.0,4.5,3.0,2.0,6.0,2025-05-09 16:08:30
Jayce,6,3,34,51,29,50.0,1.24,5.67,8.5,4.83,2025-05-09 16:08:30
Nidalee,3,1,19,30,27,33.33,1.53,6.33,10.0,9.0,2025-05-09 16:08:30
Irelia,4,2,26,27,31,50.0,2.11,6.5,6.75,7.75,2025-05-09 16:08:30
Darius,4,2,28,22,33,50.0,2.77,7.0,5.5,8.25,2025-05-09 16:08:30
Tryndamere,3,1,21,16,10,33.33,1.94,7.0,5.33,3.33,2025-05-09 16:08:30
Ahri,1,0,10,10,10,0.0,2.0,10.0,10.0,10.0,2025-05-09 16:08:30
Gragas,2,0,10,11,14,0.0,2.18,5.0,5.5,7.0,2025-05-09 16:08:30
Gangplank,2,1,9,15,17,50.0,1.73,4.5,7.5,8.5,2025-05-09 16:08:30
Neeko,1,1,5,2,3,100.0,4.0,5.0,2.0,3.0,2025-05-09 16:08:30
Urgot,1,0,0,7,6,0.0,0.86,0.0,7.0,6.0,2025-05-09 16:08:30
Yone,3,2,20,9,16,66.67,4.0,6.67,3.0,5.33,2025-05-09 16:08:30
Yuumi,1,1,2,4,8,100.0,2.5,2.0,4.0,8.0,2025-05-09 16:08:30
Pantheon,1,1,3,1,7,100.0,10.0,3.0,1.0,7.0,2025-05-09 16:08:30
Gwen,3,2,13,16,16,66.67,1.81,4.33,5.33,5.33,2025-05-09 16:08:30
Renekton,5,2,23,21,14,40.0,1.76,4.6,4.2,2.8,2025-05-09 16:08:30
Sion,4,1,24,25,16,25.0,1.6,6.0,6.25,4.0,2025-05-09 16:08:30
Rengar,1,0,8,7,9,0.0,2.43,8.0,7.0,9.0,2025-05-09 16:08:30
Riven,7,1,20,37,31,14.29,1.38,2.86,5.29,4.43,2025-05-09 16:08:30
Quinn,4,3,28,30,25,75.0,1.77,7.0,7.5,6.25,2025-05-09 16:08:30
Rumble,4,3,28,24,24,75.0,2.17,7.0,6.0,6.0,2025-05-09 16:08:30
Zac,1,0,0,4,1,0.0,0.25,0.0,4.0,1.0,2025-05-09 16:08:30
Thresh,1,0,3,8,8,0.0,1.38,3.0,8.0,8.0,2025-05-09 16:08:30
Shen,7,5,49,48,37,71.43,1.79,7.0,6.86,5.29,2025-05-09 16:08:30
Akali,3,3,27,9,14,100.0,4.56,9.0,3.0,4.67,2025-05-09 16:08:30
Fiora,5,3,30,30,28,60.0,1.93,6.0,6.0,5.6,2025-05-09 16:08:30
Yasuo,3,1,34,17,15,33.33,2.88,11.33,5.67,5.0,2025-05-09 16:08:30
Olaf,2,2,10,9,14,100.0,2.67,5.0,4.5,7.0,2025-05-09 16:08:30
Gnar,2,0,8,7,6,0.0,2.0,4.0,3.5,3.0,2025-05-09 16:08:30
Maokai,1,0,16,12,5,0.0,1.75,16.0,12.0,5.0,2025-05-09 16:08:30
Qiyana,1,1,6,3,2,100.0,2.67,6.0,3.0,2.0,2025-05-09 16:08:30
Zed,2,1,11,7,19,50.0,4.29,5.5,3.5,9.5,2025-05-09 16:08:30
Talon,1,0,6,9,3,0.0,1.0,6.0,9.0,3.0,2025-05-09 16:08:30
Poppy,1,0,12,11,6,0.0,1.64,12.0,11.0,6.0,2025-05-09 16:08:30
Sett,2,0,6,9,5,0.0,1.22,3.0,4.5,2.5,2025-05-09 16:08:30
Anivia,2,0,10,12,6,0.0,1.33,5.0,6.0,3.0,2025-05-09 16:08:30
Vayne,1,0,1,2,4,0.0,2.5,1.0,2.0,4.0,2025-05-09 16:08:30
