opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Mordekaiser,1,1,3,0,5,100.0,8.0,3.0,0.0,5.0,2025-05-09 16:08:30
Taliyah,2,1,6,12,15,50.0,1.75,3.0,6.0,7.5,2025-05-09 16:08:30
Gwen,6,3,18,22,18,50.0,1.64,3.0,3.67,3.0,2025-05-09 16:08:30
Viktor,3,0,17,20,15,0.0,1.6,5.67,6.67,5.0,2025-05-09 16:08:30
Viego,3,1,20,16,11,33.33,1.94,6.67,5.33,3.67,2025-05-09 16:08:30
Sylas,3,2,17,19,16,66.67,1.74,5.67,6.33,5.33,2025-05-09 16:08:30
Katarina,2,0,10,18,12,0.0,1.22,5.0,9.0,6.0,2025-05-09 16:08:30
Kassadin,3,2,19,15,17,66.67,2.4,6.33,5.0,5.67,2025-05-09 16:08:30
Annie,1,0,5,6,4,0.0,1.5,5.0,6.0,4.0,2025-05-09 16:08:30
Nunu & Willump,3,1,13,11,12,33.33,2.27,4.33,3.67,4.0,2025-05-09 16:08:30
Jayce,2,2,6,12,6,100.0,1.0,3.0,6.0,3.0,2025-05-09 16:08:30
Pantheon,1,0,5,5,2,0.0,1.4,5.0,5.0,2.0,2025-05-09 16:08:30
Corki,1,1,11,4,5,100.0,4.0,11.0,4.0,5.0,2025-05-09 16:08:30
Ekko,6,2,36,39,45,33.33,2.08,6.0,6.5,7.5,2025-05-09 16:08:30
Vi,1,1,6,0,3,100.0,9.0,6.0,0.0,3.0,2025-05-09 16:08:30
Reksai,1,0,1,12,8,0.0,0.75,1.0,12.0,8.0,2025-05-09 16:08:30
Nidalee,2,2,21,5,16,100.0,7.4,10.5,2.5,8.0,2025-05-09 16:08:30
Ivern,3,2,18,15,16,66.67,2.27,6.0,5.0,5.33,2025-05-09 16:08:30
Yasuo,4,1,31,34,27,25.0,1.71,7.75,8.5,6.75,2025-05-09 16:08:30
Swain,1,1,13,5,6,100.0,3.8,13.0,5.0,6.0,2025-05-09 16:08:30
Hecarim,2,0,3,17,6,0.0,0.53,1.5,8.5,3.0,2025-05-09 16:08:30
Sejuani,1,1,5,2,4,100.0,4.5,5.0,2.0,4.0,2025-05-09 16:08:30
Kennen,2,0,14,30,12,0.0,0.87,7.0,15.0,6.0,2025-05-09 16:08:30
Rumble,1,0,5,9,2,0.0,0.78,5.0,9.0,2.0,2025-05-09 16:08:30
Zyra,3,1,8,13,17,33.33,1.92,2.67,4.33,5.67,2025-05-09 16:08:30
Xin Zhao,2,1,7,8,9,50.0,2.0,3.5,4.0,4.5,2025-05-09 16:08:30
Zed,7,4,55,43,59,57.14,2.65,7.86,6.14,8.43,2025-05-09 16:08:30
Kindred,2,1,9,11,20,50.0,2.64,4.5,5.5,10.0,2025-05-09 16:08:30
Gragas,2,0,8,12,6,0.0,1.17,4.0,6.0,3.0,2025-05-09 16:08:30
Kayn,1,0,0,9,8,0.0,0.89,0.0,9.0,8.0,2025-05-09 16:08:30
Ahri,1,1,5,0,2,100.0,7.0,5.0,0.0,2.0,2025-05-09 16:08:30
Lee Sin,1,1,6,2,3,100.0,4.5,6.0,2.0,3.0,2025-05-09 16:08:30
Syndra,1,1,5,2,8,100.0,6.5,5.0,2.0,8.0,2025-05-09 16:08:30
Orianna,2,0,7,14,7,0.0,1.0,3.5,7.0,3.5,2025-05-09 16:08:30
Vladimir,1,1,3,7,11,100.0,2.0,3.0,7.0,11.0,2025-05-09 16:08:30
Volibear,3,2,27,12,20,66.67,3.92,9.0,4.0,6.67,2025-05-09 16:08:30
Lillia,6,1,29,31,16,16.67,1.45,4.83,5.17,2.67,2025-05-09 16:08:30
Ryze,3,0,4,8,1,0.0,0.62,1.33,2.67,0.33,2025-05-09 16:08:30
Brand,1,1,6,2,8,100.0,7.0,6.0,2.0,8.0,2025-05-09 16:08:30
Ambessa,2,1,15,12,13,50.0,2.33,7.5,6.0,6.5,2025-05-09 16:08:30
Talon,3,0,10,20,15,0.0,1.25,3.33,6.67,5.0,2025-05-09 16:08:30
Aurora,1,1,3,7,10,100.0,1.86,3.0,7.0,10.0,2025-05-09 16:08:30
Galio,1,1,7,1,18,100.0,25.0,7.0,1.0,18.0,2025-05-09 16:08:30
Naafiri,2,2,22,7,18,100.0,5.71,11.0,3.5,9.0,2025-05-09 16:08:30
Lux,1,0,10,9,5,0.0,1.67,10.0,9.0,5.0,2025-05-09 16:08:30
Graves,3,1,19,17,15,33.33,2.0,6.33,5.67,5.0,2025-05-09 16:08:30
Fiora,2,0,7,9,5,0.0,1.33,3.5,4.5,2.5,2025-05-09 16:08:30
Zac,1,0,1,7,3,0.0,0.57,1.0,7.0,3.0,2025-05-09 16:08:30
Riven,1,0,7,9,8,0.0,1.67,7.0,9.0,8.0,2025-05-09 16:08:30
Wukong,3,0,23,22,21,0.0,2.0,7.67,7.33,7.0,2025-05-09 16:08:30
Zoe,3,1,10,11,8,33.33,1.64,3.33,3.67,2.67,2025-05-09 16:08:30
Akali,1,1,10,4,4,100.0,3.5,10.0,4.0,4.0,2025-05-09 16:08:30
Azir,1,1,4,6,4,100.0,1.33,4.0,6.0,4.0,2025-05-09 16:08:30
Skarner,1,0,10,9,5,0.0,1.67,10.0,9.0,5.0,2025-05-09 16:08:30
Nocturne,1,1,19,4,6,100.0,6.25,19.0,4.0,6.0,2025-05-09 16:08:30
