opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Qiyana,6,2,39,32,53,33.33,2.88,6.5,5.33,8.83,2025-05-09 16:08:30
Naafiri,9,6,81,36,72,66.67,4.25,9.0,4.0,8.0,2025-05-09 16:08:30
Zed,12,10,65,49,74,83.33,2.84,5.42,4.08,6.17,2025-05-09 16:08:30
Viego,16,7,111,65,94,43.75,3.15,6.94,4.06,5.88,2025-05-09 16:08:30
Pantheon,2,2,23,9,25,100.0,5.33,11.5,4.5,12.5,2025-05-09 16:08:30
Corki,3,0,25,20,14,0.0,1.95,8.33,6.67,4.67,2025-05-09 16:08:30
Jarvan Iv,9,3,87,53,66,33.33,2.89,9.67,5.89,7.33,2025-05-09 16:08:30
Taliyah,8,5,69,31,49,62.5,3.81,8.62,3.88,6.12,2025-05-09 16:08:30
Neeko,2,0,6,11,4,0.0,0.91,3.0,5.5,2.0,2025-05-09 16:08:30
Azir,9,6,83,35,66,66.67,4.26,9.22,3.89,7.33,2025-05-09 16:08:30
Mordekaiser,2,2,12,0,8,100.0,20.0,6.0,0.0,4.0,2025-05-09 16:08:30
Orianna,3,2,21,4,6,66.67,6.75,7.0,1.33,2.0,2025-05-09 16:08:30
Rammus,6,4,60,28,35,66.67,3.39,10.0,4.67,5.83,2025-05-09 16:08:30
Ryze,7,5,49,18,30,71.43,4.39,7.0,2.57,4.29,2025-05-09 16:08:30
Shaco,2,1,15,4,14,50.0,7.25,7.5,2.0,7.0,2025-05-09 16:08:30
Lillia,6,4,35,7,22,66.67,8.14,5.83,1.17,3.67,2025-05-09 16:08:30
Katarina,2,1,20,4,13,50.0,8.25,10.0,2.0,6.5,2025-05-09 16:08:30
Nunu & Willump,6,2,46,24,42,33.33,3.67,7.67,4.0,7.0,2025-05-09 16:08:30
Sejuani,3,1,28,16,26,33.33,3.38,9.33,5.33,8.67,2025-05-09 16:08:30
Lee Sin,12,7,91,52,79,58.33,3.27,7.58,4.33,6.58,2025-05-09 16:08:30
Akshan,3,1,18,13,19,33.33,2.85,6.0,4.33,6.33,2025-05-09 16:08:30
