opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Yone,10,5,72,54,41,50.0,2.09,7.2,5.4,4.1,2025-05-09 16:08:30
Kayle,10,4,49,60,45,40.0,1.57,4.9,6.0,4.5,2025-05-09 16:08:30
Aatrox,16,12,99,74,54,75.0,2.07,6.19,4.62,3.38,2025-05-09 16:08:30
Sett,6,4,28,36,21,66.67,1.36,4.67,6.0,3.5,2025-05-09 16:08:30
Yorick,15,6,91,71,50,40.0,1.99,6.07,4.73,3.33,2025-05-09 16:08:30
Jayce,30,13,179,170,138,43.33,1.86,5.97,5.67,4.6,2025-05-09 16:08:30
Nidalee,10,4,77,58,41,40.0,2.03,7.7,5.8,4.1,2025-05-09 16:08:30
Jax,20,8,75,109,80,40.0,1.42,3.75,5.45,4.0,2025-05-09 16:08:30
Lee Sin,4,2,54,22,18,50.0,3.27,13.5,5.5,4.5,2025-05-09 16:08:30
Garen,5,3,39,28,15,60.0,1.93,7.8,5.6,3.0,2025-05-09 16:08:30
Ryze,7,4,46,51,21,57.14,1.31,6.57,7.29,3.0,2025-05-09 16:08:30
Cassiopeia,1,1,13,7,4,100.0,2.43,13.0,7.0,4.0,2025-05-09 16:08:30
Renekton,15,8,102,90,68,53.33,1.89,6.8,6.0,4.53,2025-05-09 16:08:30
Heimerdinger,1,1,2,2,3,100.0,2.5,2.0,2.0,3.0,2025-05-09 16:08:30
Kennen,5,2,21,28,29,40.0,1.79,4.2,5.6,5.8,2025-05-09 16:08:30
Azir,3,1,13,14,10,33.33,1.64,4.33,4.67,3.33,2025-05-09 16:08:30
Smolder,1,0,3,4,3,0.0,1.5,3.0,4.0,3.0,2025-05-09 16:08:30
Gnar,10,7,69,44,51,70.0,2.73,6.9,4.4,5.1,2025-05-09 16:08:30
Shen,8,3,36,50,28,37.5,1.28,4.5,6.25,3.5,2025-05-09 16:08:30
Ambessa,13,10,76,61,48,76.92,2.03,5.85,4.69,3.69,2025-05-09 16:08:30
Sylas,2,2,21,5,9,100.0,6.0,10.5,2.5,4.5,2025-05-09 16:08:30
Irelia,5,2,44,34,13,40.0,1.68,8.8,6.8,2.6,2025-05-09 16:08:30
Varus,7,6,42,38,28,85.71,1.84,6.0,5.43,4.0,2025-05-09 16:08:30
Rumble,7,3,30,40,15,42.86,1.12,4.29,5.71,2.14,2025-05-09 16:08:30
Gragas,5,5,39,22,13,100.0,2.36,7.8,4.4,2.6,2025-05-09 16:08:30
KSante,4,2,23,26,21,50.0,1.69,5.75,6.5,5.25,2025-05-09 16:08:30
Nasus,1,0,0,6,0,0.0,0.0,0.0,6.0,0.0,2025-05-09 16:08:30
Riven,18,10,127,99,85,55.56,2.14,7.06,5.5,4.72,2025-05-09 16:08:30
Sion,6,5,48,29,25,83.33,2.52,8.0,4.83,4.17,2025-05-09 16:08:30
Zed,4,3,18,12,9,75.0,2.25,4.5,3.0,2.25,2025-05-09 16:08:30
Malphite,5,3,14,8,19,60.0,4.12,2.8,1.6,3.8,2025-05-09 16:08:30
Anivia,2,0,2,20,4,0.0,0.3,1.0,10.0,2.0,2025-05-09 16:08:30
Sejuani,2,2,14,12,10,100.0,2.0,7.0,6.0,5.0,2025-05-09 16:08:30
Teemo,9,6,37,40,41,66.67,1.95,4.11,4.44,4.56,2025-05-09 16:08:30
Naafiri,3,1,18,16,6,33.33,1.5,6.0,5.33,2.0,2025-05-09 16:08:30
Tryndamere,4,2,21,31,10,50.0,1.0,5.25,7.75,2.5,2025-05-09 16:08:30
Aurora,3,0,7,29,6,0.0,0.45,2.33,9.67,2.0,2025-05-09 16:08:30
Lissandra,2,2,7,6,11,100.0,3.0,3.5,3.0,5.5,2025-05-09 16:08:30
Illaoi,1,1,9,5,7,100.0,3.2,9.0,5.0,7.0,2025-05-09 16:08:30
Taric,1,1,5,2,5,100.0,5.0,5.0,2.0,5.0,2025-05-09 16:08:30
Volibear,3,3,18,16,18,100.0,2.25,6.0,5.33,6.0,2025-05-09 16:08:30
Darius,9,5,49,43,27,55.56,1.77,5.44,4.78,3.0,2025-05-09 16:08:30
Poppy,2,0,7,19,2,0.0,0.47,3.5,9.5,1.0,2025-05-09 16:08:30
Yasuo,5,2,36,34,24,40.0,1.76,7.2,6.8,4.8,2025-05-09 16:08:30
Warwick,1,0,7,7,4,0.0,1.57,7.0,7.0,4.0,2025-05-09 16:08:30
Wukong,7,2,37,54,25,28.57,1.15,5.29,7.71,3.57,2025-05-09 16:08:30
Olaf,3,2,17,15,14,66.67,2.07,5.67,5.0,4.67,2025-05-09 16:08:30
Kassadin,1,0,9,11,6,0.0,1.36,9.0,11.0,6.0,2025-05-09 16:08:30
Chogath,2,1,14,17,4,50.0,1.06,7.0,8.5,2.0,2025-05-09 16:08:30
Gwen,11,6,77,59,21,54.55,1.66,7.0,5.36,1.91,2025-05-09 16:08:30
Gangplank,3,3,30,17,20,100.0,2.94,10.0,5.67,6.67,2025-05-09 16:08:30
Ivern,1,0,3,5,1,0.0,0.8,3.0,5.0,1.0,2025-05-09 16:08:30
Singed,1,1,15,5,10,100.0,5.0,15.0,5.0,10.0,2025-05-09 16:08:30
Ahri,1,0,6,7,2,0.0,1.14,6.0,7.0,2.0,2025-05-09 16:08:30
Ornn,3,2,20,11,10,66.67,2.73,6.67,3.67,3.33,2025-05-09 16:08:30
Bard,1,0,10,9,1,0.0,1.22,10.0,9.0,1.0,2025-05-09 16:08:30
Quinn,8,2,40,43,26,25.0,1.53,5.0,5.38,3.25,2025-05-09 16:08:30
Urgot,3,3,14,28,19,100.0,1.18,4.67,9.33,6.33,2025-05-09 16:08:30
