opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Aurora,6,3,29,36,60,50.0,2.47,4.83,6.0,10.0,2025-05-09 16:08:30
Ambessa,15,4,33,84,73,26.67,1.26,2.2,5.6,4.87,2025-05-09 16:08:30
Jayce,13,9,87,75,95,69.23,2.43,6.69,5.77,7.31,2025-05-09 16:08:30
Shen,6,1,8,23,21,16.67,1.26,1.33,3.83,3.5,2025-05-09 16:08:30
Zoe,2,2,20,16,24,100.0,2.75,10.0,8.0,12.0,2025-05-09 16:08:30
Akali,5,0,20,46,32,0.0,1.13,4.0,9.2,6.4,2025-05-09 16:08:30
Rumble,3,0,2,10,4,0.0,0.6,0.67,3.33,1.33,2025-05-09 16:08:30
Yorick,3,2,13,17,16,66.67,1.71,4.33,5.67,5.33,2025-05-09 16:08:30
Nasus,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Gragas,3,3,14,16,18,100.0,2.0,4.67,5.33,6.0,2025-05-09 16:08:30
Renekton,3,2,3,11,18,66.67,1.91,1.0,3.67,6.0,2025-05-09 16:08:30
Jax,4,3,13,22,17,75.0,1.36,3.25,5.5,4.25,2025-05-09 16:08:30
Sion,3,2,19,16,22,66.67,2.56,6.33,5.33,7.33,2025-05-09 16:08:30
Vladimir,7,5,32,35,57,71.43,2.54,4.57,5.0,8.14,2025-05-09 16:08:30
Sylas,7,3,42,46,39,42.86,1.76,6.0,6.57,5.57,2025-05-09 16:08:30
Pantheon,1,1,6,7,7,100.0,1.86,6.0,7.0,7.0,2025-05-09 16:08:30
Poppy,2,1,11,13,13,50.0,1.85,5.5,6.5,6.5,2025-05-09 16:08:30
Udyr,1,1,2,0,1,100.0,3.0,2.0,0.0,1.0,2025-05-09 16:08:30
Tryndamere,3,2,20,14,15,66.67,2.5,6.67,4.67,5.0,2025-05-09 16:08:30
Volibear,1,1,7,2,11,100.0,9.0,7.0,2.0,11.0,2025-05-09 16:08:30
Kennen,1,1,6,8,10,100.0,2.0,6.0,8.0,10.0,2025-05-09 16:08:30
Riven,7,5,51,56,49,71.43,1.79,7.29,8.0,7.0,2025-05-09 16:08:30
Chogath,3,3,15,11,27,100.0,3.82,5.0,3.67,9.0,2025-05-09 16:08:30
Gwen,2,0,5,8,7,0.0,1.5,2.5,4.0,3.5,2025-05-09 16:08:30
Mel,1,1,2,6,5,100.0,1.17,2.0,6.0,5.0,2025-05-09 16:08:30
Azir,6,1,23,57,51,16.67,1.3,3.83,9.5,8.5,2025-05-09 16:08:30
Yasuo,5,3,15,33,28,60.0,1.3,3.0,6.6,5.6,2025-05-09 16:08:30
Yone,4,3,24,20,19,75.0,2.15,6.0,5.0,4.75,2025-05-09 16:08:30
Fiora,3,0,19,29,19,0.0,1.31,6.33,9.67,6.33,2025-05-09 16:08:30
Vayne,1,0,7,7,1,0.0,1.14,7.0,7.0,1.0,2025-05-09 16:08:30
Irelia,4,3,18,30,26,75.0,1.47,4.5,7.5,6.5,2025-05-09 16:08:30
Cassiopeia,1,1,3,3,3,100.0,2.0,3.0,3.0,3.0,2025-05-09 16:08:30
Xerath,1,1,10,5,9,100.0,3.8,10.0,5.0,9.0,2025-05-09 16:08:30
Camille,2,1,13,12,25,50.0,3.17,6.5,6.0,12.5,2025-05-09 16:08:30
Veigar,1,1,15,3,6,100.0,7.0,15.0,3.0,6.0,2025-05-09 16:08:30
Ryze,3,2,26,20,30,66.67,2.8,8.67,6.67,10.0,2025-05-09 16:08:30
Sivir,1,1,3,2,0,100.0,1.5,3.0,2.0,0.0,2025-05-09 16:08:30
Syndra,2,0,12,14,20,0.0,2.29,6.0,7.0,10.0,2025-05-09 16:08:30
Smolder,1,0,1,6,8,0.0,1.5,1.0,6.0,8.0,2025-05-09 16:08:30
Viktor,2,1,13,7,12,50.0,3.57,6.5,3.5,6.0,2025-05-09 16:08:30
Zed,3,3,17,5,10,100.0,5.4,5.67,1.67,3.33,2025-05-09 16:08:30
Urgot,4,2,21,23,22,50.0,1.87,5.25,5.75,5.5,2025-05-09 16:08:30
Aatrox,6,3,33,40,27,50.0,1.5,5.5,6.67,4.5,2025-05-09 16:08:30
Warwick,3,1,5,5,7,33.33,2.4,1.67,1.67,2.33,2025-05-09 16:08:30
Ornn,2,0,0,8,4,0.0,0.5,0.0,4.0,2.0,2025-05-09 16:08:30
Anivia,1,1,4,5,17,100.0,4.2,4.0,5.0,17.0,2025-05-09 16:08:30
Galio,1,0,9,3,3,0.0,4.0,9.0,3.0,3.0,2025-05-09 16:08:30
Ahri,1,1,3,8,12,100.0,1.88,3.0,8.0,12.0,2025-05-09 16:08:30
Fiddlesticks,1,0,5,3,5,0.0,3.33,5.0,3.0,5.0,2025-05-09 16:08:30
Lucian,2,1,13,10,10,50.0,2.3,6.5,5.0,5.0,2025-05-09 16:08:30
Rengar,1,0,9,5,6,0.0,3.0,9.0,5.0,6.0,2025-05-09 16:08:30
Mordekaiser,2,2,24,8,11,100.0,4.38,12.0,4.0,5.5,2025-05-09 16:08:30
Nidalee,4,0,16,28,13,0.0,1.04,4.0,7.0,3.25,2025-05-09 16:08:30
Darius,2,1,19,20,16,50.0,1.75,9.5,10.0,8.0,2025-05-09 16:08:30
Gnar,1,0,5,4,4,0.0,2.25,5.0,4.0,4.0,2025-05-09 16:08:30
Miss Fortune,1,1,15,3,3,100.0,6.0,15.0,3.0,3.0,2025-05-09 16:08:30
Tristana,1,1,2,0,1,100.0,3.0,2.0,0.0,1.0,2025-05-09 16:08:30
Singed,2,0,6,16,4,0.0,0.62,3.0,8.0,2.0,2025-05-09 16:08:30
KogMaw,1,0,3,2,8,0.0,5.5,3.0,2.0,8.0,2025-05-09 16:08:30
Sett,1,1,5,6,5,100.0,1.67,5.0,6.0,5.0,2025-05-09 16:08:30
