opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Xin Zhao,10,5,78,63,83,50.0,2.56,7.8,6.3,8.3,2025-05-09 16:08:30
Skarner,8,6,57,35,82,75.0,3.97,7.12,4.38,10.25,2025-05-09 16:08:30
Lillia,9,9,63,37,84,100.0,3.97,7.0,4.11,9.33,2025-05-09 16:08:30
Naafiri,17,10,109,62,119,58.82,3.68,6.41,3.65,7.0,2025-05-09 16:08:30
Gwen,5,3,35,30,39,60.0,2.47,7.0,6.0,7.8,2025-05-09 16:08:30
Nidalee,5,3,34,31,54,60.0,2.84,6.8,6.2,10.8,2025-05-09 16:08:30
Karthus,3,0,15,20,28,0.0,2.15,5.0,6.67,9.33,2025-05-09 16:08:30
Sejuani,2,2,24,16,26,100.0,3.12,12.0,8.0,13.0,2025-05-09 16:08:30
Viego,19,10,111,81,138,52.63,3.07,5.84,4.26,7.26,2025-05-09 16:08:30
KhaZix,4,2,14,16,29,50.0,2.69,3.5,4.0,7.25,2025-05-09 16:08:30
Sylas,1,0,2,3,4,0.0,2.0,2.0,3.0,4.0,2025-05-09 16:08:30
Nunu & Willump,7,2,50,40,41,28.57,2.27,7.14,5.71,5.86,2025-05-09 16:08:30
Fiddlesticks,4,3,16,11,15,75.0,2.82,4.0,2.75,3.75,2025-05-09 16:08:30
Zed,6,2,46,37,46,33.33,2.49,7.67,6.17,7.67,2025-05-09 16:08:30
Jarvan Iv,9,4,53,43,77,44.44,3.02,5.89,4.78,8.56,2025-05-09 16:08:30
Kayn,5,3,36,32,61,60.0,3.03,7.2,6.4,12.2,2025-05-09 16:08:30
Reksai,6,3,38,28,53,50.0,3.25,6.33,4.67,8.83,2025-05-09 16:08:30
Lee Sin,9,4,68,38,51,44.44,3.13,7.56,4.22,5.67,2025-05-09 16:08:30
Master Yi,3,1,17,26,25,33.33,1.62,5.67,8.67,8.33,2025-05-09 16:08:30
Brand,3,2,28,20,31,66.67,2.95,9.33,6.67,10.33,2025-05-09 16:08:30
Diana,2,2,19,4,16,100.0,8.75,9.5,2.0,8.0,2025-05-09 16:08:30
Taliyah,4,3,26,17,43,75.0,4.06,6.5,4.25,10.75,2025-05-09 16:08:30
Graves,5,2,49,22,45,40.0,4.27,9.8,4.4,9.0,2025-05-09 16:08:30
Ekko,10,4,65,61,102,40.0,2.74,6.5,6.1,10.2,2025-05-09 16:08:30
Qiyana,4,2,18,19,23,50.0,2.16,4.5,4.75,5.75,2025-05-09 16:08:30
Vi,10,5,60,54,102,50.0,3.0,6.0,5.4,10.2,2025-05-09 16:08:30
Kindred,7,1,33,41,46,14.29,1.93,4.71,5.86,6.57,2025-05-09 16:08:30
Gragas,2,2,7,10,26,100.0,3.3,3.5,5.0,13.0,2025-05-09 16:08:30
Belveth,1,0,4,3,3,0.0,2.33,4.0,3.0,3.0,2025-05-09 16:08:30
Talon,15,7,118,84,126,46.67,2.9,7.87,5.6,8.4,2025-05-09 16:08:30
Rammus,5,1,18,44,45,20.0,1.43,3.6,8.8,9.0,2025-05-09 16:08:30
Wukong,2,1,14,20,24,50.0,1.9,7.0,10.0,12.0,2025-05-09 16:08:30
Amumu,1,0,7,9,14,0.0,2.33,7.0,9.0,14.0,2025-05-09 16:08:30
Elise,2,2,21,7,36,100.0,8.14,10.5,3.5,18.0,2025-05-09 16:08:30
Evelynn,1,1,8,3,10,100.0,6.0,8.0,3.0,10.0,2025-05-09 16:08:30
Ivern,3,0,6,17,13,0.0,1.12,2.0,5.67,4.33,2025-05-09 16:08:30
Warwick,3,2,20,18,28,66.67,2.67,6.67,6.0,9.33,2025-05-09 16:08:30
Udyr,4,1,31,16,32,25.0,3.94,7.75,4.0,8.0,2025-05-09 16:08:30
Volibear,9,6,78,44,96,66.67,3.95,8.67,4.89,10.67,2025-05-09 16:08:30
Dr. Mundo,4,1,14,15,26,25.0,2.67,3.5,3.75,6.5,2025-05-09 16:08:30
Nocturne,1,0,10,6,12,0.0,3.67,10.0,6.0,12.0,2025-05-09 16:08:30
