opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Volibear,2,2,18,8,34,100.0,6.5,9.0,4.0,17.0,2025-05-09 16:08:30
Taliyah,4,2,25,19,68,50.0,4.89,6.25,4.75,17.0,2025-05-09 16:08:30
Rengar,2,2,17,4,25,100.0,10.5,8.5,2.0,12.5,2025-05-09 16:08:30
Skarner,1,0,0,4,7,0.0,1.75,0.0,4.0,7.0,2025-05-09 16:08:30
Teemo,2,0,10,12,14,0.0,2.0,5.0,6.0,7.0,2025-05-09 16:08:30
Lee Sin,6,1,24,26,56,16.67,3.08,4.0,4.33,9.33,2025-05-09 16:08:30
Xin Zhao,3,1,20,22,54,33.33,3.36,6.67,7.33,18.0,2025-05-09 16:08:30
Wukong,3,1,17,21,32,33.33,2.33,5.67,7.0,10.67,2025-05-09 16:08:30
Ambessa,2,2,20,6,42,100.0,10.33,10.0,3.0,21.0,2025-05-09 16:08:30
KhaZix,4,2,19,20,38,50.0,2.85,4.75,5.0,9.5,2025-05-09 16:08:30
Ekko,9,6,53,44,142,66.67,4.43,5.89,4.89,15.78,2025-05-09 16:08:30
Rakan,2,1,7,18,30,50.0,2.06,3.5,9.0,15.0,2025-05-09 16:08:30
Gwen,7,3,43,42,94,42.86,3.26,6.14,6.0,13.43,2025-05-09 16:08:30
Fiddlesticks,2,1,18,11,24,50.0,3.82,9.0,5.5,12.0,2025-05-09 16:08:30
Nocturne,2,1,8,10,35,50.0,4.3,4.0,5.0,17.5,2025-05-09 16:08:30
Nunu & Willump,6,2,37,31,59,33.33,3.1,6.17,5.17,9.83,2025-05-09 16:08:30
Kindred,7,1,21,43,47,14.29,1.58,3.0,6.14,6.71,2025-05-09 16:08:30
Viego,10,2,45,58,100,20.0,2.5,4.5,5.8,10.0,2025-05-09 16:08:30
Talon,6,1,10,28,64,16.67,2.64,1.67,4.67,10.67,2025-05-09 16:08:30
Lillia,3,2,21,12,52,66.67,6.08,7.0,4.0,17.33,2025-05-09 16:08:30
Zyra,3,1,18,16,43,33.33,3.81,6.0,5.33,14.33,2025-05-09 16:08:30
Hecarim,9,5,41,45,95,55.56,3.02,4.56,5.0,10.56,2025-05-09 16:08:30
Dr. Mundo,1,0,4,9,17,0.0,2.33,4.0,9.0,17.0,2025-05-09 16:08:30
Belveth,2,1,4,12,32,50.0,3.0,2.0,6.0,16.0,2025-05-09 16:08:30
Reksai,3,1,10,14,18,33.33,2.0,3.33,4.67,6.0,2025-05-09 16:08:30
Shaco,2,0,11,17,18,0.0,1.71,5.5,8.5,9.0,2025-05-09 16:08:30
Ivern,4,1,11,23,30,25.0,1.78,2.75,5.75,7.5,2025-05-09 16:08:30
Zed,4,3,26,21,65,75.0,4.33,6.5,5.25,16.25,2025-05-09 16:08:30
Rell,2,1,8,13,43,50.0,3.92,4.0,6.5,21.5,2025-05-09 16:08:30
Nautilus,2,2,7,12,41,100.0,4.0,3.5,6.0,20.5,2025-05-09 16:08:30
Poppy,4,1,13,17,34,25.0,2.76,3.25,4.25,8.5,2025-05-09 16:08:30
Graves,3,1,11,19,21,33.33,1.68,3.67,6.33,7.0,2025-05-09 16:08:30
Pantheon,3,2,16,20,53,66.67,3.45,5.33,6.67,17.67,2025-05-09 16:08:30
Morgana,1,1,3,7,19,100.0,3.14,3.0,7.0,19.0,2025-05-09 16:08:30
Master Yi,2,1,4,11,22,50.0,2.36,2.0,5.5,11.0,2025-05-09 16:08:30
Aurelion Sol,1,1,16,3,8,100.0,8.0,16.0,3.0,8.0,2025-05-09 16:08:30
Gragas,1,0,2,6,8,0.0,1.67,2.0,6.0,8.0,2025-05-09 16:08:30
Vi,2,0,12,24,24,0.0,1.5,6.0,12.0,12.0,2025-05-09 16:08:30
Naafiri,2,0,6,12,10,0.0,1.33,3.0,6.0,5.0,2025-05-09 16:08:30
Udyr,3,1,19,24,49,33.33,2.83,6.33,8.0,16.33,2025-05-09 16:08:30
Jax,1,0,0,1,1,0.0,1.0,0.0,1.0,1.0,2025-05-09 16:08:30
Ryze,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Neeko,2,0,2,18,6,0.0,0.44,1.0,9.0,3.0,2025-05-09 16:08:30
Kayn,1,1,3,8,24,100.0,3.38,3.0,8.0,24.0,2025-05-09 16:08:30
VelKoz,1,0,11,9,10,0.0,2.33,11.0,9.0,10.0,2025-05-09 16:08:30
