opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ezreal,119,67,892,644,740,56.3,2.53,7.5,5.41,6.22,2025-05-09 16:08:30
Corki,37,17,254,195,240,45.95,2.53,6.86,5.27,6.49,2025-05-09 16:08:30
Seraphine,9,4,80,41,54,44.44,3.27,8.89,4.56,6.0,2025-05-09 16:08:30
Xayah,54,31,451,288,330,57.41,2.71,8.35,5.33,6.11,2025-05-09 16:08:30
Varus,52,22,430,329,292,42.31,2.19,8.27,6.33,5.62,2025-05-09 16:08:30
Syndra,4,3,23,12,18,75.0,3.42,5.75,3.0,4.5,2025-05-09 16:08:30
Draven,10,4,56,56,67,40.0,2.2,5.6,5.6,6.7,2025-05-09 16:08:30
Zeri,24,12,232,114,201,50.0,3.8,9.67,4.75,8.38,2025-05-09 16:08:30
Ashe,31,13,247,179,213,41.94,2.57,7.97,5.77,6.87,2025-05-09 16:08:30
Tristana,46,15,291,280,237,32.61,1.89,6.33,6.09,5.15,2025-05-09 16:08:30
Aphelios,21,14,228,104,136,66.67,3.5,10.86,4.95,6.48,2025-05-09 16:08:30
Miss Fortune,40,20,318,168,227,50.0,3.24,7.95,4.2,5.67,2025-05-09 16:08:30
Lucian,42,19,267,222,259,45.24,2.37,6.36,5.29,6.17,2025-05-09 16:08:30
Jhin,60,30,462,350,383,50.0,2.41,7.7,5.83,6.38,2025-05-09 16:08:30
Yasuo,9,4,69,46,73,44.44,3.09,7.67,5.11,8.11,2025-05-09 16:08:30
VelKoz,1,1,7,3,5,100.0,4.0,7.0,3.0,5.0,2025-05-09 16:08:30
Jinx,22,7,145,117,108,31.82,2.16,6.59,5.32,4.91,2025-05-09 16:08:30
Mel,16,4,98,102,91,25.0,1.85,6.12,6.38,5.69,2025-05-09 16:08:30
Vayne,5,3,29,23,28,60.0,2.48,5.8,4.6,5.6,2025-05-09 16:08:30
Hwei,8,2,39,48,37,25.0,1.58,4.88,6.0,4.62,2025-05-09 16:08:30
Akshan,2,0,6,16,12,0.0,1.12,3.0,8.0,6.0,2025-05-09 16:08:30
Viktor,2,1,8,7,12,50.0,2.86,4.0,3.5,6.0,2025-05-09 16:08:30
Twisted Fate,1,1,22,4,5,100.0,6.75,22.0,4.0,5.0,2025-05-09 16:08:30
Karthus,4,3,50,28,27,75.0,2.75,12.5,7.0,6.75,2025-05-09 16:08:30
Twitch,6,4,35,26,51,66.67,3.31,5.83,4.33,8.5,2025-05-09 16:08:30
Caitlyn,20,3,102,87,87,15.0,2.17,5.1,4.35,4.35,2025-05-09 16:08:30
Swain,2,0,4,14,22,0.0,1.86,2.0,7.0,11.0,2025-05-09 16:08:30
Sivir,5,2,24,28,22,40.0,1.64,4.8,5.6,4.4,2025-05-09 16:08:30
Smolder,10,4,69,54,57,40.0,2.33,6.9,5.4,5.7,2025-05-09 16:08:30
Chogath,13,4,64,63,74,30.77,2.19,4.92,4.85,5.69,2025-05-09 16:08:30
KogMaw,2,2,17,5,15,100.0,6.4,8.5,2.5,7.5,2025-05-09 16:08:30
Taliyah,1,0,6,9,11,0.0,1.89,6.0,9.0,11.0,2025-05-09 16:08:30
Kalista,8,2,57,42,34,25.0,2.17,7.12,5.25,4.25,2025-05-09 16:08:30
Vladimir,1,0,0,9,3,0.0,0.33,0.0,9.0,3.0,2025-05-09 16:08:30
Samira,4,2,31,30,33,50.0,2.13,7.75,7.5,8.25,2025-05-09 16:08:30
Nilah,9,4,67,68,55,44.44,1.79,7.44,7.56,6.11,2025-05-09 16:08:30
Brand,1,0,7,7,3,0.0,1.43,7.0,7.0,3.0,2025-05-09 16:08:30
Akali,1,0,4,9,3,0.0,0.78,4.0,9.0,3.0,2025-05-09 16:08:30
Nidalee,1,0,10,10,4,0.0,1.4,10.0,10.0,4.0,2025-05-09 16:08:30
Nautilus,1,0,5,6,7,0.0,2.0,5.0,6.0,7.0,2025-05-09 16:08:30
Ziggs,3,3,34,17,24,100.0,3.41,11.33,5.67,8.0,2025-05-09 16:08:30
Neeko,1,0,2,10,4,0.0,0.6,2.0,10.0,4.0,2025-05-09 16:08:30
Aurelion Sol,1,0,8,7,5,0.0,1.86,8.0,7.0,5.0,2025-05-09 16:08:30
Cassiopeia,4,2,48,21,34,50.0,3.9,12.0,5.25,8.5,2025-05-09 16:08:30
Xerath,1,0,4,8,3,0.0,0.88,4.0,8.0,3.0,2025-05-09 16:08:30
Lux,5,5,34,22,39,100.0,3.32,6.8,4.4,7.8,2025-05-09 16:08:30
Anivia,1,1,9,5,9,100.0,3.6,9.0,5.0,9.0,2025-05-09 16:08:30
