opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Poppy,8,4,8,22,100,50.0,4.91,1.0,2.75,12.5,2025-05-09 16:08:30
Neeko,23,6,32,134,287,26.09,2.38,1.39,5.83,12.48,2025-05-09 16:08:30
Elise,3,1,5,18,60,33.33,3.61,1.67,6.0,20.0,2025-05-09 16:08:30
Nidalee,10,3,11,44,133,30.0,3.27,1.1,4.4,13.3,2025-05-09 16:08:30
Rumble,3,1,6,11,47,33.33,4.82,2.0,3.67,15.67,2025-05-09 16:08:30
Pyke,12,8,26,68,182,66.67,3.06,2.17,5.67,15.17,2025-05-09 16:08:30
Alistar,26,14,52,109,341,53.85,3.61,2.0,4.19,13.12,2025-05-09 16:08:30
Nautilus,23,13,48,121,368,56.52,3.44,2.09,5.26,16.0,2025-05-09 16:08:30
Senna,6,4,8,22,122,66.67,5.91,1.33,3.67,20.33,2025-05-09 16:08:30
Renata,6,2,11,27,59,33.33,2.59,1.83,4.5,9.83,2025-05-09 16:08:30
Milio,5,4,7,12,58,80.0,5.42,1.4,2.4,11.6,2025-05-09 16:08:30
Bard,18,14,32,102,260,77.78,2.86,1.78,5.67,14.44,2025-05-09 16:08:30
Fiddlesticks,13,2,23,76,129,15.38,2.0,1.77,5.85,9.92,2025-05-09 16:08:30
Nami,28,14,60,121,336,50.0,3.27,2.14,4.32,12.0,2025-05-09 16:08:30
Sona,20,8,28,95,256,40.0,2.99,1.4,4.75,12.8,2025-05-09 16:08:30
Yuumi,1,0,1,4,14,0.0,3.75,1.0,4.0,14.0,2025-05-09 16:08:30
Akali,5,1,11,19,31,20.0,2.21,2.2,3.8,6.2,2025-05-09 16:08:30
Azir,3,0,14,26,32,0.0,1.77,4.67,8.67,10.67,2025-05-09 16:08:30
Thresh,11,7,18,51,159,63.64,3.47,1.64,4.64,14.45,2025-05-09 16:08:30
Pantheon,4,2,18,17,76,50.0,5.53,4.5,4.25,19.0,2025-05-09 16:08:30
Rell,21,10,35,116,260,47.62,2.54,1.67,5.52,12.38,2025-05-09 16:08:30
Naafiri,1,0,2,3,0,0.0,0.67,2.0,3.0,0.0,2025-05-09 16:08:30
Taliyah,4,2,20,16,40,50.0,3.75,5.0,4.0,10.0,2025-05-09 16:08:30
Yone,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Sylas,1,0,0,2,1,0.0,0.5,0.0,2.0,1.0,2025-05-09 16:08:30
Zyra,3,1,3,16,28,33.33,1.94,1.0,5.33,9.33,2025-05-09 16:08:30
Blitzcrank,8,4,8,36,74,50.0,2.28,1.0,4.5,9.25,2025-05-09 16:08:30
Shen,2,1,2,10,19,50.0,2.1,1.0,5.0,9.5,2025-05-09 16:08:30
Lissandra,1,1,7,6,15,100.0,3.67,7.0,6.0,15.0,2025-05-09 16:08:30
Hwei,1,0,2,7,10,0.0,1.71,2.0,7.0,10.0,2025-05-09 16:08:30
Lucian,2,2,6,6,38,100.0,7.33,3.0,3.0,19.0,2025-05-09 16:08:30
Yorick,1,0,4,3,15,0.0,6.33,4.0,3.0,15.0,2025-05-09 16:08:30
Twisted Fate,1,1,10,6,16,100.0,4.33,10.0,6.0,16.0,2025-05-09 16:08:30
Maokai,4,2,16,18,52,50.0,3.78,4.0,4.5,13.0,2025-05-09 16:08:30
Zilean,2,1,7,8,26,50.0,4.12,3.5,4.0,13.0,2025-05-09 16:08:30
Janna,17,10,21,53,164,58.82,3.49,1.24,3.12,9.65,2025-05-09 16:08:30
Zoe,4,4,6,7,51,100.0,8.14,1.5,1.75,12.75,2025-05-09 16:08:30
Tristana,1,1,1,2,9,100.0,5.0,1.0,2.0,9.0,2025-05-09 16:08:30
Lux,8,3,13,51,92,37.5,2.06,1.62,6.38,11.5,2025-05-09 16:08:30
Gragas,5,1,10,29,83,20.0,3.21,2.0,5.8,16.6,2025-05-09 16:08:30
Rakan,14,9,30,54,222,64.29,4.67,2.14,3.86,15.86,2025-05-09 16:08:30
Leona,7,2,4,44,101,28.57,2.39,0.57,6.29,14.43,2025-05-09 16:08:30
Jax,1,0,7,5,9,0.0,3.2,7.0,5.0,9.0,2025-05-09 16:08:30
Lulu,18,12,37,77,278,66.67,4.09,2.06,4.28,15.44,2025-05-09 16:08:30
Teemo,1,0,1,4,1,0.0,0.5,1.0,4.0,1.0,2025-05-09 16:08:30
Soraka,11,6,18,29,162,54.55,6.21,1.64,2.64,14.73,2025-05-09 16:08:30
Braum,8,6,10,22,127,75.0,6.23,1.25,2.75,15.88,2025-05-09 16:08:30
Galio,1,1,4,4,19,100.0,5.75,4.0,4.0,19.0,2025-05-09 16:08:30
VelKoz,1,1,0,0,8,100.0,8.0,0.0,0.0,8.0,2025-05-09 16:08:30
Mel,3,3,5,3,26,100.0,10.33,1.67,1.0,8.67,2025-05-09 16:08:30
Annie,1,1,1,2,13,100.0,7.0,1.0,2.0,13.0,2025-05-09 16:08:30
Brand,1,0,2,6,8,0.0,1.67,2.0,6.0,8.0,2025-05-09 16:08:30
Seraphine,6,1,8,37,47,16.67,1.49,1.33,6.17,7.83,2025-05-09 16:08:30
Ryze,1,1,3,1,9,100.0,12.0,3.0,1.0,9.0,2025-05-09 16:08:30
Zac,1,1,1,3,14,100.0,5.0,1.0,3.0,14.0,2025-05-09 16:08:30
Vladimir,1,1,6,6,11,100.0,2.83,6.0,6.0,11.0,2025-05-09 16:08:30
Swain,1,1,2,2,29,100.0,15.5,2.0,2.0,29.0,2025-05-09 16:08:30
Sett,1,1,9,0,19,100.0,28.0,9.0,0.0,19.0,2025-05-09 16:08:30
Tahm Kench,1,1,3,5,24,100.0,5.4,3.0,5.0,24.0,2025-05-09 16:08:30
Fiora,1,0,1,7,9,0.0,1.43,1.0,7.0,9.0,2025-05-09 16:08:30
Ambessa,1,0,1,2,0,0.0,0.5,1.0,2.0,0.0,2025-05-09 16:08:30
Taric,2,1,7,7,38,50.0,6.43,3.5,3.5,19.0,2025-05-09 16:08:30
Skarner,1,1,0,3,18,100.0,6.0,0.0,3.0,18.0,2025-05-09 16:08:30
