opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ambessa,5,3,24,28,33,60.0,2.04,4.8,5.6,6.6,2025-05-09 16:08:30
Vladimir,2,1,13,14,12,50.0,1.79,6.5,7.0,6.0,2025-05-09 16:08:30
Sylas,4,2,24,31,30,50.0,1.74,6.0,7.75,7.5,2025-05-09 16:08:30
Aatrox,2,1,8,11,12,50.0,1.82,4.0,5.5,6.0,2025-05-09 16:08:30
Ryze,1,0,3,4,10,0.0,3.25,3.0,4.0,10.0,2025-05-09 16:08:30
Kassadin,1,0,1,5,3,0.0,0.8,1.0,5.0,3.0,2025-05-09 16:08:30
Fiora,5,3,25,26,28,60.0,2.04,5.0,5.2,5.6,2025-05-09 16:08:30
Nasus,2,1,7,5,8,50.0,3.0,3.5,2.5,4.0,2025-05-09 16:08:30
Akshan,4,2,22,20,38,50.0,3.0,5.5,5.0,9.5,2025-05-09 16:08:30
Zilean,1,1,12,2,15,100.0,13.5,12.0,2.0,15.0,2025-05-09 16:08:30
Tristana,1,0,9,10,6,0.0,1.5,9.0,10.0,6.0,2025-05-09 16:08:30
Aurora,1,0,9,8,5,0.0,1.75,9.0,8.0,5.0,2025-05-09 16:08:30
Yasuo,4,2,34,31,39,50.0,2.35,8.5,7.75,9.75,2025-05-09 16:08:30
Diana,2,2,30,12,28,100.0,4.83,15.0,6.0,14.0,2025-05-09 16:08:30
Gangplank,1,0,5,12,3,0.0,0.67,5.0,12.0,3.0,2025-05-09 16:08:30
Jax,2,0,10,11,7,0.0,1.55,5.0,5.5,3.5,2025-05-09 16:08:30
Orianna,1,0,9,9,6,0.0,1.67,9.0,9.0,6.0,2025-05-09 16:08:30
Gragas,3,2,15,9,19,66.67,3.78,5.0,3.0,6.33,2025-05-09 16:08:30
Kled,2,1,7,11,13,50.0,1.82,3.5,5.5,6.5,2025-05-09 16:08:30
Yone,3,2,16,10,11,66.67,2.7,5.33,3.33,3.67,2025-05-09 16:08:30
Viktor,1,1,6,2,6,100.0,6.0,6.0,2.0,6.0,2025-05-09 16:08:30
Azir,2,1,15,14,16,50.0,2.21,7.5,7.0,8.0,2025-05-09 16:08:30
Riven,5,3,32,22,20,60.0,2.36,6.4,4.4,4.0,2025-05-09 16:08:30
Varus,1,0,2,7,8,0.0,1.43,2.0,7.0,8.0,2025-05-09 16:08:30
Zed,1,1,7,12,6,100.0,1.08,7.0,12.0,6.0,2025-05-09 16:08:30
Akali,2,2,15,11,12,100.0,2.45,7.5,5.5,6.0,2025-05-09 16:08:30
Kayle,1,0,1,7,6,0.0,1.0,1.0,7.0,6.0,2025-05-09 16:08:30
Neeko,1,0,8,9,11,0.0,2.11,8.0,9.0,11.0,2025-05-09 16:08:30
Mel,1,1,7,3,5,100.0,4.0,7.0,3.0,5.0,2025-05-09 16:08:30
Taliyah,1,0,5,5,2,0.0,1.4,5.0,5.0,2.0,2025-05-09 16:08:30
Bard,1,0,10,12,19,0.0,2.42,10.0,12.0,19.0,2025-05-09 16:08:30
Ornn,1,0,3,9,7,0.0,1.11,3.0,9.0,7.0,2025-05-09 16:08:30
Zac,1,1,6,4,8,100.0,3.5,6.0,4.0,8.0,2025-05-09 16:08:30
Rumble,2,0,2,16,24,0.0,1.62,1.0,8.0,12.0,2025-05-09 16:08:30
Renekton,1,0,7,10,5,0.0,1.2,7.0,10.0,5.0,2025-05-09 16:08:30
Syndra,1,0,4,5,7,0.0,2.2,4.0,5.0,7.0,2025-05-09 16:08:30
Qiyana,1,0,5,7,0,0.0,0.71,5.0,7.0,0.0,2025-05-09 16:08:30
Yorick,1,1,5,3,7,100.0,4.0,5.0,3.0,7.0,2025-05-09 16:08:30
Quinn,1,1,10,6,14,100.0,4.0,10.0,6.0,14.0,2025-05-09 16:08:30
Shen,2,0,10,12,5,0.0,1.25,5.0,6.0,2.5,2025-05-09 16:08:30
Gwen,2,2,12,13,19,100.0,2.38,6.0,6.5,9.5,2025-05-09 16:08:30
Urgot,1,1,0,6,5,100.0,0.83,0.0,6.0,5.0,2025-05-09 16:08:30
Sion,1,0,0,0,1,0.0,1.0,0.0,0.0,1.0,2025-05-09 16:08:30
Anivia,1,0,0,5,1,0.0,0.2,0.0,5.0,1.0,2025-05-09 16:08:30
