opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nunu & Willump,10,4,85,62,107,40.0,3.1,8.5,6.2,10.7,2025-05-09 16:08:30
Lee Sin,10,8,84,24,96,80.0,7.5,8.4,2.4,9.6,2025-05-09 16:08:30
Zyra,10,5,85,51,104,50.0,3.71,8.5,5.1,10.4,2025-05-09 16:08:30
Master Yi,4,3,29,9,22,75.0,5.67,7.25,2.25,5.5,2025-05-09 16:08:30
Kindred,8,3,49,53,66,37.5,2.17,6.12,6.62,8.25,2025-05-09 16:08:30
Volibear,14,6,64,75,131,42.86,2.6,4.57,5.36,9.36,2025-05-09 16:08:30
Naafiri,22,7,142,112,159,31.82,2.69,6.45,5.09,7.23,2025-05-09 16:08:30
Belveth,5,4,30,15,57,80.0,5.8,6.0,3.0,11.4,2025-05-09 16:08:30
Wukong,3,1,17,15,20,33.33,2.47,5.67,5.0,6.67,2025-05-09 16:08:30
Jax,3,2,27,23,27,66.67,2.35,9.0,7.67,9.0,2025-05-09 16:08:30
Pantheon,10,9,70,33,96,90.0,5.03,7.0,3.3,9.6,2025-05-09 16:08:30
Hecarim,9,0,34,46,54,0.0,1.91,3.78,5.11,6.0,2025-05-09 16:08:30
Morgana,2,2,18,4,14,100.0,8.0,9.0,2.0,7.0,2025-05-09 16:08:30
Udyr,9,3,86,44,100,33.33,4.23,9.56,4.89,11.11,2025-05-09 16:08:30
Gwen,13,7,105,64,84,53.85,2.95,8.08,4.92,6.46,2025-05-09 16:08:30
Vi,15,9,88,68,149,60.0,3.49,5.87,4.53,9.93,2025-05-09 16:08:30
Xin Zhao,8,3,52,48,51,37.5,2.15,6.5,6.0,6.38,2025-05-09 16:08:30
Mordekaiser,2,1,7,2,4,50.0,5.5,3.5,1.0,2.0,2025-05-09 16:08:30
Qiyana,6,1,19,17,24,16.67,2.53,3.17,2.83,4.0,2025-05-09 16:08:30
Ekko,6,2,18,13,20,33.33,2.92,3.0,2.17,3.33,2025-05-09 16:08:30
Viego,13,6,69,58,80,46.15,2.57,5.31,4.46,6.15,2025-05-09 16:08:30
Fiddlesticks,4,1,24,23,25,25.0,2.13,6.0,5.75,6.25,2025-05-09 16:08:30
Zac,2,1,17,8,7,50.0,3.0,8.5,4.0,3.5,2025-05-09 16:08:30
Sejuani,4,3,23,9,25,75.0,5.33,5.75,2.25,6.25,2025-05-09 16:08:30
Brand,3,2,20,16,34,66.67,3.38,6.67,5.33,11.33,2025-05-09 16:08:30
Zed,7,6,61,33,85,85.71,4.42,8.71,4.71,12.14,2025-05-09 16:08:30
Jarvan Iv,3,1,21,20,17,33.33,1.9,7.0,6.67,5.67,2025-05-09 16:08:30
Gragas,3,3,24,18,26,100.0,2.78,8.0,6.0,8.67,2025-05-09 16:08:30
Reksai,1,1,16,3,21,100.0,12.33,16.0,3.0,21.0,2025-05-09 16:08:30
Ivern,10,3,38,57,69,30.0,1.88,3.8,5.7,6.9,2025-05-09 16:08:30
Rammus,5,5,53,19,60,100.0,5.95,10.6,3.8,12.0,2025-05-09 16:08:30
Kayle,1,1,3,3,7,100.0,3.33,3.0,3.0,7.0,2025-05-09 16:08:30
Shaco,4,3,39,17,39,75.0,4.59,9.75,4.25,9.75,2025-05-09 16:08:30
Karthus,4,1,30,27,38,25.0,2.52,7.5,6.75,9.5,2025-05-09 16:08:30
Taliyah,2,1,11,4,14,50.0,6.25,5.5,2.0,7.0,2025-05-09 16:08:30
Skarner,4,3,20,23,42,75.0,2.7,5.0,5.75,10.5,2025-05-09 16:08:30
Talon,9,4,34,45,69,44.44,2.29,3.78,5.0,7.67,2025-05-09 16:08:30
Maokai,1,1,10,2,14,100.0,12.0,10.0,2.0,14.0,2025-05-09 16:08:30
Diana,6,5,56,11,55,83.33,10.09,9.33,1.83,9.17,2025-05-09 16:08:30
Evelynn,3,2,16,15,30,66.67,3.07,5.33,5.0,10.0,2025-05-09 16:08:30
Kayn,6,3,51,36,69,50.0,3.33,8.5,6.0,11.5,2025-05-09 16:08:30
Nocturne,2,2,21,6,16,100.0,6.17,10.5,3.0,8.0,2025-05-09 16:08:30
Nidalee,3,1,12,13,18,33.33,2.31,4.0,4.33,6.0,2025-05-09 16:08:30
Ambessa,1,0,3,7,6,0.0,1.29,3.0,7.0,6.0,2025-05-09 16:08:30
Briar,2,0,14,12,30,0.0,3.67,7.0,6.0,15.0,2025-05-09 16:08:30
Neeko,1,0,3,3,4,0.0,2.33,3.0,3.0,4.0,2025-05-09 16:08:30
Twitch,1,0,8,3,5,0.0,4.33,8.0,3.0,5.0,2025-05-09 16:08:30
Graves,7,3,67,23,74,42.86,6.13,9.57,3.29,10.57,2025-05-09 16:08:30
Yorick,1,0,3,6,4,0.0,1.17,3.0,6.0,4.0,2025-05-09 16:08:30
KhaZix,1,0,2,9,7,0.0,1.0,2.0,9.0,7.0,2025-05-09 16:08:30
Darius,1,0,2,9,13,0.0,1.67,2.0,9.0,13.0,2025-05-09 16:08:30
