opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Syndra,5,4,39,14,35,80.0,5.29,7.8,2.8,7.0,2025-05-09 16:08:30
Mel,7,3,26,43,47,42.86,1.7,3.71,6.14,6.71,2025-05-09 16:08:30
Ashe,3,2,12,6,14,66.67,4.33,4.0,2.0,4.67,2025-05-09 16:08:30
Draven,1,0,10,4,3,0.0,3.25,10.0,4.0,3.0,2025-05-09 16:08:30
Ezreal,10,8,52,39,95,80.0,3.77,5.2,3.9,9.5,2025-05-09 16:08:30
Bard,4,1,8,14,58,25.0,4.71,2.0,3.5,14.5,2025-05-09 16:08:30
Rakan,1,0,0,5,10,0.0,2.0,0.0,5.0,10.0,2025-05-09 16:08:30
Lissandra,2,0,4,12,12,0.0,1.33,2.0,6.0,6.0,2025-05-09 16:08:30
Tristana,2,0,14,18,30,0.0,2.44,7.0,9.0,15.0,2025-05-09 16:08:30
Miss Fortune,5,1,15,26,30,20.0,1.73,3.0,5.2,6.0,2025-05-09 16:08:30
Corki,6,2,31,27,52,33.33,3.07,5.17,4.5,8.67,2025-05-09 16:08:30
Jhin,11,3,74,73,91,27.27,2.26,6.73,6.64,8.27,2025-05-09 16:08:30
Ahri,9,2,41,39,36,22.22,1.97,4.56,4.33,4.0,2025-05-09 16:08:30
Yasuo,5,2,21,27,50,40.0,2.63,4.2,5.4,10.0,2025-05-09 16:08:30
Sylas,10,6,52,64,81,60.0,2.08,5.2,6.4,8.1,2025-05-09 16:08:30
Lulu,5,2,19,28,49,40.0,2.43,3.8,5.6,9.8,2025-05-09 16:08:30
Neeko,4,1,17,30,38,25.0,1.83,4.25,7.5,9.5,2025-05-09 16:08:30
LeBlanc,8,3,25,45,44,37.5,1.53,3.12,5.62,5.5,2025-05-09 16:08:30
Seraphine,2,1,6,13,23,50.0,2.23,3.0,6.5,11.5,2025-05-09 16:08:30
Zed,4,0,15,32,41,0.0,1.75,3.75,8.0,10.25,2025-05-09 16:08:30
Zoe,7,2,47,43,61,28.57,2.51,6.71,6.14,8.71,2025-05-09 16:08:30
Twitch,2,2,13,11,17,100.0,2.73,6.5,5.5,8.5,2025-05-09 16:08:30
Karma,8,5,31,47,124,62.5,3.3,3.88,5.88,15.5,2025-05-09 16:08:30
Caitlyn,4,2,24,24,26,50.0,2.08,6.0,6.0,6.5,2025-05-09 16:08:30
Lucian,6,1,29,40,36,16.67,1.62,4.83,6.67,6.0,2025-05-09 16:08:30
Gragas,1,1,5,5,15,100.0,4.0,5.0,5.0,15.0,2025-05-09 16:08:30
Varus,7,3,24,24,43,42.86,2.79,3.43,3.43,6.14,2025-05-09 16:08:30
Viktor,8,5,35,39,64,62.5,2.54,4.38,4.88,8.0,2025-05-09 16:08:30
Thresh,3,1,13,15,50,33.33,4.2,4.33,5.0,16.67,2025-05-09 16:08:30
Aphelios,2,2,12,6,16,100.0,4.67,6.0,3.0,8.0,2025-05-09 16:08:30
Azir,5,3,36,18,47,60.0,4.61,7.2,3.6,9.4,2025-05-09 16:08:30
Nami,6,1,14,39,42,16.67,1.44,2.33,6.5,7.0,2025-05-09 16:08:30
Hwei,10,7,67,46,130,70.0,4.28,6.7,4.6,13.0,2025-05-09 16:08:30
Galio,2,1,10,13,11,50.0,1.62,5.0,6.5,5.5,2025-05-09 16:08:30
Kassadin,2,1,5,13,11,50.0,1.23,2.5,6.5,5.5,2025-05-09 16:08:30
Ekko,3,1,14,20,33,33.33,2.35,4.67,6.67,11.0,2025-05-09 16:08:30
Ambessa,1,0,7,9,5,0.0,1.33,7.0,9.0,5.0,2025-05-09 16:08:30
Pyke,3,1,12,26,48,33.33,2.31,4.0,8.67,16.0,2025-05-09 16:08:30
Kalista,2,0,9,11,21,0.0,2.73,4.5,5.5,10.5,2025-05-09 16:08:30
Zeri,2,2,15,1,15,100.0,30.0,7.5,0.5,7.5,2025-05-09 16:08:30
Pantheon,1,1,5,3,7,100.0,4.0,5.0,3.0,7.0,2025-05-09 16:08:30
Jayce,3,0,10,15,16,0.0,1.73,3.33,5.0,5.33,2025-05-09 16:08:30
Yone,3,3,21,4,18,100.0,9.75,7.0,1.33,6.0,2025-05-09 16:08:30
Kaisa,5,0,18,35,34,0.0,1.49,3.6,7.0,6.8,2025-05-09 16:08:30
Aurora,1,0,0,1,5,0.0,5.0,0.0,1.0,5.0,2025-05-09 16:08:30
Rell,1,1,2,6,15,100.0,2.83,2.0,6.0,15.0,2025-05-09 16:08:30
Akali,3,2,19,10,29,66.67,4.8,6.33,3.33,9.67,2025-05-09 16:08:30
Annie,2,2,5,11,17,100.0,2.0,2.5,5.5,8.5,2025-05-09 16:08:30
Sona,1,1,6,3,13,100.0,6.33,6.0,3.0,13.0,2025-05-09 16:08:30
KogMaw,1,0,8,6,10,0.0,3.0,8.0,6.0,10.0,2025-05-09 16:08:30
Taliyah,4,1,25,19,35,25.0,3.16,6.25,4.75,8.75,2025-05-09 16:08:30
Diana,1,1,6,5,9,100.0,3.0,6.0,5.0,9.0,2025-05-09 16:08:30
Irelia,2,2,4,14,28,100.0,2.29,2.0,7.0,14.0,2025-05-09 16:08:30
Tryndamere,1,1,6,2,12,100.0,9.0,6.0,2.0,12.0,2025-05-09 16:08:30
Xerath,1,0,2,4,9,0.0,2.75,2.0,4.0,9.0,2025-05-09 16:08:30
Chogath,2,2,5,7,17,100.0,3.14,2.5,3.5,8.5,2025-05-09 16:08:30
Naafiri,1,0,4,9,4,0.0,0.89,4.0,9.0,4.0,2025-05-09 16:08:30
Karthus,1,0,7,7,4,0.0,1.57,7.0,7.0,4.0,2025-05-09 16:08:30
Ryze,2,2,14,14,19,100.0,2.36,7.0,7.0,9.5,2025-05-09 16:08:30
Swain,1,0,3,7,7,0.0,1.43,3.0,7.0,7.0,2025-05-09 16:08:30
Katarina,1,1,9,2,12,100.0,10.5,9.0,2.0,12.0,2025-05-09 16:08:30
Smolder,3,0,13,17,6,0.0,1.12,4.33,5.67,2.0,2025-05-09 16:08:30
Anivia,9,4,60,41,63,44.44,3.0,6.67,4.56,7.0,2025-05-09 16:08:30
Vayne,2,0,0,8,0,0.0,0.0,0.0,4.0,0.0,2025-05-09 16:08:30
Maokai,1,0,2,8,5,0.0,0.88,2.0,8.0,5.0,2025-05-09 16:08:30
Aurelion Sol,2,2,6,12,42,100.0,4.0,3.0,6.0,21.0,2025-05-09 16:08:30
Braum,1,0,0,3,1,0.0,0.33,0.0,3.0,1.0,2025-05-09 16:08:30
Malzahar,2,1,8,8,12,50.0,2.5,4.0,4.0,6.0,2025-05-09 16:08:30
Vex,2,2,19,8,16,100.0,4.38,9.5,4.0,8.0,2025-05-09 16:08:30
Twisted Fate,1,0,5,5,7,0.0,2.4,5.0,5.0,7.0,2025-05-09 16:08:30
Janna,1,0,3,10,4,0.0,0.7,3.0,10.0,4.0,2025-05-09 16:08:30
Taric,1,1,5,2,9,100.0,7.0,5.0,2.0,9.0,2025-05-09 16:08:30
Milio,1,1,6,1,17,100.0,23.0,6.0,1.0,17.0,2025-05-09 16:08:30
Poppy,2,2,8,14,28,100.0,2.57,4.0,7.0,14.0,2025-05-09 16:08:30
VelKoz,1,0,2,12,11,0.0,1.08,2.0,12.0,11.0,2025-05-09 16:08:30
Fiddlesticks,2,0,20,15,11,0.0,2.07,10.0,7.5,5.5,2025-05-09 16:08:30
Talon,1,1,13,3,19,100.0,10.67,13.0,3.0,19.0,2025-05-09 16:08:30
Veigar,1,0,3,7,7,0.0,1.43,3.0,7.0,7.0,2025-05-09 16:08:30
