opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Lee Sin,3,2,29,17,19,66.67,2.82,9.67,5.67,6.33,2025-05-09 16:08:30
Naafiri,4,0,46,32,12,0.0,1.81,11.5,8.0,3.0,2025-05-09 16:08:30
Lillia,4,1,8,19,16,25.0,1.26,2.0,4.75,4.0,2025-05-09 16:08:30
Volibear,7,2,70,52,31,28.57,1.94,10.0,7.43,4.43,2025-05-09 16:08:30
Gragas,4,3,23,14,11,75.0,2.43,5.75,3.5,2.75,2025-05-09 16:08:30
Gwen,4,3,50,19,24,75.0,3.89,12.5,4.75,6.0,2025-05-09 16:08:30
KhaZix,4,0,43,29,15,0.0,2.0,10.75,7.25,3.75,2025-05-09 16:08:30
Vi,7,2,52,45,36,28.57,1.96,7.43,6.43,5.14,2025-05-09 16:08:30
Reksai,3,1,19,10,7,33.33,2.6,6.33,3.33,2.33,2025-05-09 16:08:30
Belveth,1,1,6,1,4,100.0,10.0,6.0,1.0,4.0,2025-05-09 16:08:30
Wukong,3,2,42,27,22,66.67,2.37,14.0,9.0,7.33,2025-05-09 16:08:30
Rammus,2,2,26,10,28,100.0,5.4,13.0,5.0,14.0,2025-05-09 16:08:30
Nasus,2,0,12,14,2,0.0,1.0,6.0,7.0,1.0,2025-05-09 16:08:30
Zyra,1,0,12,6,4,0.0,2.67,12.0,6.0,4.0,2025-05-09 16:08:30
Karthus,3,1,21,26,8,33.33,1.12,7.0,8.67,2.67,2025-05-09 16:08:30
Hecarim,3,2,28,21,18,66.67,2.19,9.33,7.0,6.0,2025-05-09 16:08:30
Sylas,1,0,9,7,2,0.0,1.57,9.0,7.0,2.0,2025-05-09 16:08:30
Viego,4,1,36,27,15,25.0,1.89,9.0,6.75,3.75,2025-05-09 16:08:30
Nocturne,1,0,4,7,1,0.0,0.71,4.0,7.0,1.0,2025-05-09 16:08:30
Yorick,1,1,17,3,2,100.0,6.33,17.0,3.0,2.0,2025-05-09 16:08:30
Corki,1,1,13,5,5,100.0,3.6,13.0,5.0,5.0,2025-05-09 16:08:30
Dr. Mundo,2,1,12,4,6,50.0,4.5,6.0,2.0,3.0,2025-05-09 16:08:30
Jarvan Iv,2,1,11,11,15,50.0,2.36,5.5,5.5,7.5,2025-05-09 16:08:30
Kindred,2,1,11,14,19,50.0,2.14,5.5,7.0,9.5,2025-05-09 16:08:30
Sejuani,1,1,13,3,4,100.0,5.67,13.0,3.0,4.0,2025-05-09 16:08:30
Maokai,1,0,4,4,5,0.0,2.25,4.0,4.0,5.0,2025-05-09 16:08:30
Zed,1,0,7,2,3,0.0,5.0,7.0,2.0,3.0,2025-05-09 16:08:30
Ivern,1,0,12,9,3,0.0,1.67,12.0,9.0,3.0,2025-05-09 16:08:30
Talon,4,2,26,12,14,50.0,3.33,6.5,3.0,3.5,2025-05-09 16:08:30
Xin Zhao,1,0,1,5,1,0.0,0.4,1.0,5.0,1.0,2025-05-09 16:08:30
Yasuo,1,1,18,7,10,100.0,4.0,18.0,7.0,10.0,2025-05-09 16:08:30
Qiyana,1,0,8,9,1,0.0,1.0,8.0,9.0,1.0,2025-05-09 16:08:30
Skarner,1,0,4,6,3,0.0,1.17,4.0,6.0,3.0,2025-05-09 16:08:30
Pantheon,1,0,2,7,2,0.0,0.57,2.0,7.0,2.0,2025-05-09 16:08:30
Briar,1,1,12,1,5,100.0,17.0,12.0,1.0,5.0,2025-05-09 16:08:30
Morgana,1,0,2,7,6,0.0,1.14,2.0,7.0,6.0,2025-05-09 16:08:30
Ambessa,1,1,11,5,11,100.0,4.4,11.0,5.0,11.0,2025-05-09 16:08:30
Poppy,1,0,8,7,3,0.0,1.57,8.0,7.0,3.0,2025-05-09 16:08:30
Ekko,1,1,7,3,11,100.0,6.0,7.0,3.0,11.0,2025-05-09 16:08:30
Kayn,4,1,19,19,18,25.0,1.95,4.75,4.75,4.5,2025-05-09 16:08:30
Graves,1,0,13,15,11,0.0,1.6,13.0,15.0,11.0,2025-05-09 16:08:30
