opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Zac,1,0,7,4,4,0.0,2.75,7.0,4.0,4.0,2025-05-09 16:08:30
Lillia,2,0,8,14,18,0.0,1.86,4.0,7.0,9.0,2025-05-09 16:08:30
Gwen,1,0,5,4,3,0.0,2.0,5.0,4.0,3.0,2025-05-09 16:08:30
Nautilus,6,1,14,52,106,16.67,2.31,2.33,8.67,17.67,2025-05-09 16:08:30
Zoe,2,1,3,6,9,50.0,2.0,1.5,3.0,4.5,2025-05-09 16:08:30
Taliyah,3,0,13,16,22,0.0,2.19,4.33,5.33,7.33,2025-05-09 16:08:30
Syndra,1,1,2,3,13,100.0,5.0,2.0,3.0,13.0,2025-05-09 16:08:30
Yasuo,2,1,12,8,19,50.0,3.88,6.0,4.0,9.5,2025-05-09 16:08:30
Katarina,1,1,3,4,12,100.0,3.75,3.0,4.0,12.0,2025-05-09 16:08:30
Yuumi,1,0,2,4,20,0.0,5.5,2.0,4.0,20.0,2025-05-09 16:08:30
Reksai,2,0,10,6,6,0.0,2.67,5.0,3.0,3.0,2025-05-09 16:08:30
Thresh,3,1,9,20,45,33.33,2.7,3.0,6.67,15.0,2025-05-09 16:08:30
Rakan,1,1,2,4,9,100.0,2.75,2.0,4.0,9.0,2025-05-09 16:08:30
Ivern,2,0,10,13,12,0.0,1.69,5.0,6.5,6.0,2025-05-09 16:08:30
Aurora,2,0,0,6,0,0.0,0.0,0.0,3.0,0.0,2025-05-09 16:08:30
Twisted Fate,1,1,7,1,15,100.0,22.0,7.0,1.0,15.0,2025-05-09 16:08:30
Orianna,2,0,6,12,26,0.0,2.67,3.0,6.0,13.0,2025-05-09 16:08:30
Jarvan Iv,1,0,5,5,11,0.0,3.2,5.0,5.0,11.0,2025-05-09 16:08:30
KhaZix,1,1,6,0,5,100.0,11.0,6.0,0.0,5.0,2025-05-09 16:08:30
Alistar,7,4,9,31,106,57.14,3.71,1.29,4.43,15.14,2025-05-09 16:08:30
Milio,1,1,2,2,13,100.0,7.5,2.0,2.0,13.0,2025-05-09 16:08:30
Senna,1,1,2,3,19,100.0,7.0,2.0,3.0,19.0,2025-05-09 16:08:30
Tristana,1,1,4,6,10,100.0,2.33,4.0,6.0,10.0,2025-05-09 16:08:30
Sylas,1,1,1,4,25,100.0,6.5,1.0,4.0,25.0,2025-05-09 16:08:30
Nidalee,1,1,2,0,1,100.0,3.0,2.0,0.0,1.0,2025-05-09 16:08:30
Jhin,1,1,0,2,13,100.0,6.5,0.0,2.0,13.0,2025-05-09 16:08:30
Vi,1,0,3,4,6,0.0,2.25,3.0,4.0,6.0,2025-05-09 16:08:30
Zeri,1,0,5,6,27,0.0,5.33,5.0,6.0,27.0,2025-05-09 16:08:30
Karthus,1,0,6,12,30,0.0,3.0,6.0,12.0,30.0,2025-05-09 16:08:30
Smolder,1,0,6,5,12,0.0,3.6,6.0,5.0,12.0,2025-05-09 16:08:30
Sona,3,1,4,18,48,33.33,2.89,1.33,6.0,16.0,2025-05-09 16:08:30
Rell,1,0,1,8,7,0.0,1.0,1.0,8.0,7.0,2025-05-09 16:08:30
Ezreal,1,1,2,9,9,100.0,1.22,2.0,9.0,9.0,2025-05-09 16:08:30
Azir,1,1,9,5,17,100.0,5.2,9.0,5.0,17.0,2025-05-09 16:08:30
Ahri,1,1,4,9,15,100.0,2.11,4.0,9.0,15.0,2025-05-09 16:08:30
Nami,1,0,3,10,19,0.0,2.2,3.0,10.0,19.0,2025-05-09 16:08:30
Zilean,2,1,0,5,12,50.0,2.4,0.0,2.5,6.0,2025-05-09 16:08:30
Irelia,1,1,5,6,22,100.0,4.5,5.0,6.0,22.0,2025-05-09 16:08:30
Master Yi,1,1,2,1,8,100.0,10.0,2.0,1.0,8.0,2025-05-09 16:08:30
Hwei,1,1,1,0,12,100.0,13.0,1.0,0.0,12.0,2025-05-09 16:08:30
Maokai,1,1,2,8,17,100.0,2.38,2.0,8.0,17.0,2025-05-09 16:08:30
