opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Wukong,3,0,5,28,8,0.0,0.46,1.67,9.33,2.67,2025-05-09 16:08:30
Azir,2,2,4,2,10,100.0,7.0,2.0,1.0,5.0,2025-05-09 16:08:30
Qiyana,4,4,37,6,20,100.0,9.5,9.25,1.5,5.0,2025-05-09 16:08:30
Irelia,7,4,27,16,23,57.14,3.12,3.86,2.29,3.29,2025-05-09 16:08:30
Renekton,7,5,26,30,44,71.43,2.33,3.71,4.29,6.29,2025-05-09 16:08:30
Jayce,17,6,97,74,90,35.29,2.53,5.71,4.35,5.29,2025-05-09 16:08:30
Naafiri,8,7,91,38,102,87.5,5.08,11.38,4.75,12.75,2025-05-09 16:08:30
Zed,8,7,39,26,54,87.5,3.58,4.88,3.25,6.75,2025-05-09 16:08:30
Lee Sin,10,7,64,43,83,70.0,3.42,6.4,4.3,8.3,2025-05-09 16:08:30
Sion,11,10,53,33,49,90.91,3.09,4.82,3.0,4.45,2025-05-09 16:08:30
Yorick,16,4,62,75,71,25.0,1.77,3.88,4.69,4.44,2025-05-09 16:08:30
Riven,5,4,25,26,28,80.0,2.04,5.0,5.2,5.6,2025-05-09 16:08:30
Leona,5,3,9,30,71,60.0,2.67,1.8,6.0,14.2,2025-05-09 16:08:30
Lulu,10,1,27,51,142,10.0,3.31,2.7,5.1,14.2,2025-05-09 16:08:30
Poppy,8,5,31,31,104,62.5,4.35,3.88,3.88,13.0,2025-05-09 16:08:30
Sona,8,1,21,54,55,12.5,1.41,2.62,6.75,6.88,2025-05-09 16:08:30
Karma,10,7,33,38,147,70.0,4.74,3.3,3.8,14.7,2025-05-09 16:08:30
Cassiopeia,2,0,18,20,14,0.0,1.6,9.0,10.0,7.0,2025-05-09 16:08:30
Elise,5,2,13,30,46,40.0,1.97,2.6,6.0,9.2,2025-05-09 16:08:30
Neeko,10,4,52,48,134,40.0,3.88,5.2,4.8,13.4,2025-05-09 16:08:30
Bard,7,4,22,36,103,57.14,3.47,3.14,5.14,14.71,2025-05-09 16:08:30
Nautilus,10,3,25,61,125,30.0,2.46,2.5,6.1,12.5,2025-05-09 16:08:30
Soraka,4,2,8,18,33,50.0,2.28,2.0,4.5,8.25,2025-05-09 16:08:30
Thresh,1,1,1,4,5,100.0,1.5,1.0,4.0,5.0,2025-05-09 16:08:30
Maokai,1,0,5,5,7,0.0,2.4,5.0,5.0,7.0,2025-05-09 16:08:30
Viego,15,7,78,62,135,46.67,3.44,5.2,4.13,9.0,2025-05-09 16:08:30
Pantheon,9,7,38,23,116,77.78,6.7,4.22,2.56,12.89,2025-05-09 16:08:30
Graves,5,3,29,19,30,60.0,3.11,5.8,3.8,6.0,2025-05-09 16:08:30
Xin Zhao,6,2,32,20,29,33.33,3.05,5.33,3.33,4.83,2025-05-09 16:08:30
Gragas,7,3,37,43,47,42.86,1.95,5.29,6.14,6.71,2025-05-09 16:08:30
Kayn,10,5,51,35,80,50.0,3.74,5.1,3.5,8.0,2025-05-09 16:08:30
Ambessa,13,4,61,41,41,30.77,2.49,4.69,3.15,3.15,2025-05-09 16:08:30
Yasuo,4,1,16,15,29,25.0,3.0,4.0,3.75,7.25,2025-05-09 16:08:30
Tryndamere,3,2,16,10,19,66.67,3.5,5.33,3.33,6.33,2025-05-09 16:08:30
Yone,10,5,74,51,41,50.0,2.25,7.4,5.1,4.1,2025-05-09 16:08:30
Teemo,7,3,27,41,25,42.86,1.27,3.86,5.86,3.57,2025-05-09 16:08:30
Ryze,3,1,16,12,9,33.33,2.08,5.33,4.0,3.0,2025-05-09 16:08:30
Jax,11,7,59,48,80,63.64,2.9,5.36,4.36,7.27,2025-05-09 16:08:30
Varus,6,4,29,35,30,66.67,1.69,4.83,5.83,5.0,2025-05-09 16:08:30
Fiora,10,6,54,53,56,60.0,2.08,5.4,5.3,5.6,2025-05-09 16:08:30
Taliyah,1,1,4,6,9,100.0,2.17,4.0,6.0,9.0,2025-05-09 16:08:30
Reksai,1,1,2,3,20,100.0,7.33,2.0,3.0,20.0,2025-05-09 16:08:30
Rell,12,6,59,72,133,50.0,2.67,4.92,6.0,11.08,2025-05-09 16:08:30
Karthus,3,3,30,6,37,100.0,11.17,10.0,2.0,12.33,2025-05-09 16:08:30
Rumble,5,5,18,12,41,100.0,4.92,3.6,2.4,8.2,2025-05-09 16:08:30
Aatrox,5,3,14,17,35,60.0,2.88,2.8,3.4,7.0,2025-05-09 16:08:30
Olaf,6,5,45,13,25,83.33,5.38,7.5,2.17,4.17,2025-05-09 16:08:30
Ornn,1,0,4,7,3,0.0,1.0,4.0,7.0,3.0,2025-05-09 16:08:30
Hecarim,5,2,29,24,48,40.0,3.21,5.8,4.8,9.6,2025-05-09 16:08:30
Nasus,2,0,4,8,6,0.0,1.25,2.0,4.0,3.0,2025-05-09 16:08:30
Heimerdinger,1,0,9,6,1,0.0,1.67,9.0,6.0,1.0,2025-05-09 16:08:30
Kalista,1,1,9,4,13,100.0,5.5,9.0,4.0,13.0,2025-05-09 16:08:30
Fiddlesticks,7,6,44,22,104,85.71,6.73,6.29,3.14,14.86,2025-05-09 16:08:30
Zyra,2,2,15,7,20,100.0,5.0,7.5,3.5,10.0,2025-05-09 16:08:30
Volibear,3,1,14,12,35,33.33,4.08,4.67,4.0,11.67,2025-05-09 16:08:30
KhaZix,1,0,3,3,3,0.0,2.0,3.0,3.0,3.0,2025-05-09 16:08:30
Braum,1,0,2,4,13,0.0,3.75,2.0,4.0,13.0,2025-05-09 16:08:30
Talon,12,7,113,40,81,58.33,4.85,9.42,3.33,6.75,2025-05-09 16:08:30
Shen,5,4,34,18,28,80.0,3.44,6.8,3.6,5.6,2025-05-09 16:08:30
Quinn,5,2,33,26,23,40.0,2.15,6.6,5.2,4.6,2025-05-09 16:08:30
Janna,8,3,21,36,90,37.5,3.08,2.62,4.5,11.25,2025-05-09 16:08:30
Pyke,2,1,3,13,26,50.0,2.23,1.5,6.5,13.0,2025-05-09 16:08:30
Rakan,9,7,25,44,109,77.78,3.05,2.78,4.89,12.11,2025-05-09 16:08:30
Diana,2,0,6,9,10,0.0,1.78,3.0,4.5,5.0,2025-05-09 16:08:30
Ivern,3,0,12,14,20,0.0,2.29,4.0,4.67,6.67,2025-05-09 16:08:30
Camille,3,2,12,12,58,66.67,5.83,4.0,4.0,19.33,2025-05-09 16:08:30
Nami,3,2,8,12,26,66.67,2.83,2.67,4.0,8.67,2025-05-09 16:08:30
Ahri,2,1,13,20,18,50.0,1.55,6.5,10.0,9.0,2025-05-09 16:08:30
Ekko,4,1,14,10,6,25.0,2.0,3.5,2.5,1.5,2025-05-09 16:08:30
Shaco,5,2,44,37,53,40.0,2.62,8.8,7.4,10.6,2025-05-09 16:08:30
Singed,2,1,23,8,11,50.0,4.25,11.5,4.0,5.5,2025-05-09 16:08:30
Sett,1,1,7,4,7,100.0,3.5,7.0,4.0,7.0,2025-05-09 16:08:30
Gnar,2,1,19,12,16,50.0,2.92,9.5,6.0,8.0,2025-05-09 16:08:30
Tahm Kench,1,1,5,7,25,100.0,4.29,5.0,7.0,25.0,2025-05-09 16:08:30
Alistar,12,2,18,81,115,16.67,1.64,1.5,6.75,9.58,2025-05-09 16:08:30
Seraphine,4,3,20,9,57,75.0,8.56,5.0,2.25,14.25,2025-05-09 16:08:30
Mel,2,0,20,20,28,0.0,2.4,10.0,10.0,14.0,2025-05-09 16:08:30
Anivia,1,1,4,2,6,100.0,5.0,4.0,2.0,6.0,2025-05-09 16:08:30
Kaisa,1,1,4,7,23,100.0,3.86,4.0,7.0,23.0,2025-05-09 16:08:30
Zac,2,2,16,12,18,100.0,2.83,8.0,6.0,9.0,2025-05-09 16:08:30
KSante,1,1,9,8,11,100.0,2.5,9.0,8.0,11.0,2025-05-09 16:08:30
Morgana,1,0,3,2,1,0.0,2.0,3.0,2.0,1.0,2025-05-09 16:08:30
Vi,1,1,7,2,8,100.0,7.5,7.0,2.0,8.0,2025-05-09 16:08:30
Katarina,1,1,7,5,12,100.0,3.8,7.0,5.0,12.0,2025-05-09 16:08:30
Viktor,1,1,11,5,2,100.0,2.6,11.0,5.0,2.0,2025-05-09 16:08:30
Orianna,1,1,10,3,10,100.0,6.67,10.0,3.0,10.0,2025-05-09 16:08:30
Hwei,1,1,7,3,8,100.0,5.0,7.0,3.0,8.0,2025-05-09 16:08:30
Gangplank,4,4,33,14,14,100.0,3.36,8.25,3.5,3.5,2025-05-09 16:08:30
Kayle,2,0,14,14,2,0.0,1.14,7.0,7.0,1.0,2025-05-09 16:08:30
Mordekaiser,2,1,11,20,26,50.0,1.85,5.5,10.0,13.0,2025-05-09 16:08:30
Darius,2,2,10,4,9,100.0,4.75,5.0,2.0,4.5,2025-05-09 16:08:30
LeBlanc,1,0,1,9,8,0.0,1.0,1.0,9.0,8.0,2025-05-09 16:08:30
Lillia,3,2,28,7,26,66.67,7.71,9.33,2.33,8.67,2025-05-09 16:08:30
Gwen,3,0,5,15,17,0.0,1.47,1.67,5.0,5.67,2025-05-09 16:08:30
Aurora,2,1,9,6,9,50.0,3.0,4.5,3.0,4.5,2025-05-09 16:08:30
Rammus,3,2,22,14,21,66.67,3.07,7.33,4.67,7.0,2025-05-09 16:08:30
VelKoz,1,0,0,0,1,0.0,1.0,0.0,0.0,1.0,2025-05-09 16:08:30
Kindred,2,1,12,4,13,50.0,6.25,6.0,2.0,6.5,2025-05-09 16:08:30
Udyr,2,1,19,9,26,50.0,5.0,9.5,4.5,13.0,2025-05-09 16:08:30
Skarner,2,1,12,7,9,50.0,3.0,6.0,3.5,4.5,2025-05-09 16:08:30
Dr. Mundo,2,1,9,15,8,50.0,1.13,4.5,7.5,4.0,2025-05-09 16:08:30
Zilean,1,0,6,10,15,0.0,2.1,6.0,10.0,15.0,2025-05-09 16:08:30
Rengar,1,0,4,2,1,0.0,2.5,4.0,2.0,1.0,2025-05-09 16:08:30
