opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Smolder,1,0,9,6,2,0.0,1.83,9.0,6.0,2.0,2025-05-09 16:08:30
Jayce,8,6,60,60,56,75.0,1.93,7.5,7.5,7.0,2025-05-09 16:08:30
LeBlanc,3,0,20,25,24,0.0,1.76,6.67,8.33,8.0,2025-05-09 16:08:30
Nidalee,5,3,29,27,29,60.0,2.15,5.8,5.4,5.8,2025-05-09 16:08:30
Mordekaiser,3,3,20,11,25,100.0,4.09,6.67,3.67,8.33,2025-05-09 16:08:30
Taliyah,4,3,35,21,20,75.0,2.62,8.75,5.25,5.0,2025-05-09 16:08:30
Gragas,3,0,5,27,11,0.0,0.59,1.67,9.0,3.67,2025-05-09 16:08:30
Singed,1,0,4,5,5,0.0,1.8,4.0,5.0,5.0,2025-05-09 16:08:30
Riven,8,3,51,70,45,37.5,1.37,6.38,8.75,5.62,2025-05-09 16:08:30
Zac,3,1,21,25,14,33.33,1.4,7.0,8.33,4.67,2025-05-09 16:08:30
Mel,1,1,8,6,4,100.0,2.0,8.0,6.0,4.0,2025-05-09 16:08:30
Renekton,7,7,40,24,34,100.0,3.08,5.71,3.43,4.86,2025-05-09 16:08:30
Zoe,2,2,20,12,13,100.0,2.75,10.0,6.0,6.5,2025-05-09 16:08:30
Sett,2,2,25,16,22,100.0,2.94,12.5,8.0,11.0,2025-05-09 16:08:30
Tahm Kench,1,1,10,5,8,100.0,3.6,10.0,5.0,8.0,2025-05-09 16:08:30
Shen,6,2,37,42,23,33.33,1.43,6.17,7.0,3.83,2025-05-09 16:08:30
Ambessa,3,3,13,11,30,100.0,3.91,4.33,3.67,10.0,2025-05-09 16:08:30
Irelia,8,4,67,58,46,50.0,1.95,8.38,7.25,5.75,2025-05-09 16:08:30
Poppy,2,2,14,6,20,100.0,5.67,7.0,3.0,10.0,2025-05-09 16:08:30
Ezreal,1,1,0,3,7,100.0,2.33,0.0,3.0,7.0,2025-05-09 16:08:30
Jax,3,1,22,16,13,33.33,2.19,7.33,5.33,4.33,2025-05-09 16:08:30
Rengar,3,2,36,18,22,66.67,3.22,12.0,6.0,7.33,2025-05-09 16:08:30
Gwen,3,0,15,16,12,0.0,1.69,5.0,5.33,4.0,2025-05-09 16:08:30
Fiora,8,6,56,49,41,75.0,1.98,7.0,6.12,5.12,2025-05-09 16:08:30
