opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
VelKoz,3,3,0,25,66,100.0,2.64,0.0,8.33,22.0,2025-05-09 16:08:30
Elise,2,1,4,10,26,50.0,3.0,2.0,5.0,13.0,2025-05-09 16:08:30
Karma,6,4,12,22,78,66.67,4.09,2.0,3.67,13.0,2025-05-09 16:08:30
Senna,1,0,2,4,20,0.0,5.5,2.0,4.0,20.0,2025-05-09 16:08:30
Nami,2,2,2,7,48,100.0,7.14,1.0,3.5,24.0,2025-05-09 16:08:30
Zac,1,1,4,10,42,100.0,4.6,4.0,10.0,42.0,2025-05-09 16:08:30
Thresh,3,2,0,15,29,66.67,1.93,0.0,5.0,9.67,2025-05-09 16:08:30
Braum,4,0,10,21,49,0.0,2.81,2.5,5.25,12.25,2025-05-09 16:08:30
Neeko,7,0,14,36,32,0.0,1.28,2.0,5.14,4.57,2025-05-09 16:08:30
Blitzcrank,2,1,4,15,24,50.0,1.87,2.0,7.5,12.0,2025-05-09 16:08:30
Rakan,4,1,6,19,63,25.0,3.63,1.5,4.75,15.75,2025-05-09 16:08:30
Alistar,5,2,6,28,83,40.0,3.18,1.2,5.6,16.6,2025-05-09 16:08:30
Rell,6,1,8,39,74,16.67,2.1,1.33,6.5,12.33,2025-05-09 16:08:30
Ahri,1,0,0,6,13,0.0,2.17,0.0,6.0,13.0,2025-05-09 16:08:30
Janna,1,1,2,6,16,100.0,3.0,2.0,6.0,16.0,2025-05-09 16:08:30
Fiddlesticks,1,0,3,9,18,0.0,2.33,3.0,9.0,18.0,2025-05-09 16:08:30
Poppy,3,0,3,16,32,0.0,2.19,1.0,5.33,10.67,2025-05-09 16:08:30
Lulu,3,2,5,9,54,66.67,6.56,1.67,3.0,18.0,2025-05-09 16:08:30
Nautilus,2,2,0,0,0,100.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Ivern,2,0,0,10,28,0.0,2.8,0.0,5.0,14.0,2025-05-09 16:08:30
Milio,2,0,3,10,10,0.0,1.3,1.5,5.0,5.0,2025-05-09 16:08:30
Taric,1,0,4,7,10,0.0,2.0,4.0,7.0,10.0,2025-05-09 16:08:30
Sona,1,0,2,10,31,0.0,3.3,2.0,10.0,31.0,2025-05-09 16:08:30
Soraka,1,0,4,4,18,0.0,5.5,4.0,4.0,18.0,2025-05-09 16:08:30
Varus,1,1,1,10,28,100.0,2.9,1.0,10.0,28.0,2025-05-09 16:08:30
