opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Aurora,16,5,86,86,61,31.25,1.71,5.38,5.38,3.81,2025-05-09 16:08:30
Renekton,7,2,9,32,27,28.57,1.12,1.29,4.57,3.86,2025-05-09 16:08:30
Corki,10,6,35,41,62,60.0,2.37,3.5,4.1,6.2,2025-05-09 16:08:30
Irelia,9,1,43,58,51,11.11,1.62,4.78,6.44,5.67,2025-05-09 16:08:30
Zed,15,6,55,102,147,40.0,1.98,3.67,6.8,9.8,2025-05-09 16:08:30
Sylas,26,7,126,131,150,26.92,2.11,4.85,5.04,5.77,2025-05-09 16:08:30
Jayce,16,3,68,91,91,18.75,1.75,4.25,5.69,5.69,2025-05-09 16:08:30
Taliyah,20,10,89,132,130,50.0,1.66,4.45,6.6,6.5,2025-05-09 16:08:30
Syndra,6,4,30,23,32,66.67,2.7,5.0,3.83,5.33,2025-05-09 16:08:30
Twisted Fate,4,2,18,11,24,50.0,3.82,4.5,2.75,6.0,2025-05-09 16:08:30
Kayle,6,2,26,19,15,33.33,2.16,4.33,3.17,2.5,2025-05-09 16:08:30
Azir,14,8,76,51,75,57.14,2.96,5.43,3.64,5.36,2025-05-09 16:08:30
Nidalee,3,2,6,10,9,66.67,1.5,2.0,3.33,3.0,2025-05-09 16:08:30
Ahri,18,13,99,72,152,72.22,3.49,5.5,4.0,8.44,2025-05-09 16:08:30
Gwen,5,4,21,23,32,80.0,2.3,4.2,4.6,6.4,2025-05-09 16:08:30
Riven,4,0,23,36,23,0.0,1.28,5.75,9.0,5.75,2025-05-09 16:08:30
Fiora,7,3,36,45,33,42.86,1.53,5.14,6.43,4.71,2025-05-09 16:08:30
Fizz,3,2,8,23,15,66.67,1.0,2.67,7.67,5.0,2025-05-09 16:08:30
Anivia,8,4,26,23,44,50.0,3.04,3.25,2.88,5.5,2025-05-09 16:08:30
Kennen,1,1,5,4,9,100.0,3.5,5.0,4.0,9.0,2025-05-09 16:08:30
Akshan,9,7,62,61,71,77.78,2.18,6.89,6.78,7.89,2025-05-09 16:08:30
Rumble,8,3,36,38,56,37.5,2.42,4.5,4.75,7.0,2025-05-09 16:08:30
Teemo,4,2,13,13,18,50.0,2.38,3.25,3.25,4.5,2025-05-09 16:08:30
Orianna,6,6,33,30,28,100.0,2.03,5.5,5.0,4.67,2025-05-09 16:08:30
Ekko,7,2,18,29,38,28.57,1.93,2.57,4.14,5.43,2025-05-09 16:08:30
Lissandra,2,1,8,9,10,50.0,2.0,4.0,4.5,5.0,2025-05-09 16:08:30
Wukong,2,2,18,10,12,100.0,3.0,9.0,5.0,6.0,2025-05-09 16:08:30
Jax,3,0,3,13,9,0.0,0.92,1.0,4.33,3.0,2025-05-09 16:08:30
Aurelion Sol,2,2,16,6,15,100.0,5.17,8.0,3.0,7.5,2025-05-09 16:08:30
Urgot,4,2,11,14,11,50.0,1.57,2.75,3.5,2.75,2025-05-09 16:08:30
Yasuo,15,8,81,71,99,53.33,2.54,5.4,4.73,6.6,2025-05-09 16:08:30
Zoe,13,6,74,71,48,46.15,1.72,5.69,5.46,3.69,2025-05-09 16:08:30
Illaoi,1,1,5,7,11,100.0,2.29,5.0,7.0,11.0,2025-05-09 16:08:30
Viktor,8,1,41,57,47,12.5,1.54,5.12,7.12,5.88,2025-05-09 16:08:30
Yone,15,6,91,75,115,40.0,2.75,6.07,5.0,7.67,2025-05-09 16:08:30
Qiyana,3,3,19,27,45,100.0,2.37,6.33,9.0,15.0,2025-05-09 16:08:30
Katarina,3,2,23,14,21,66.67,3.14,7.67,4.67,7.0,2025-05-09 16:08:30
Vladimir,12,8,66,44,95,66.67,3.66,5.5,3.67,7.92,2025-05-09 16:08:30
