opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Vayne,2,1,16,10,16,50.0,3.2,8.0,5.0,8.0,2025-05-09 16:08:30
Mel,1,0,1,7,5,0.0,0.86,1.0,7.0,5.0,2025-05-09 16:08:30
Tristana,3,1,40,33,26,33.33,2.0,13.33,11.0,8.67,2025-05-09 16:08:30
Miss Fortune,2,0,12,20,5,0.0,0.85,6.0,10.0,2.5,2025-05-09 16:08:30
KogMaw,1,1,6,7,8,100.0,2.0,6.0,7.0,8.0,2025-05-09 16:08:30
Heimerdinger,1,0,0,3,2,0.0,0.67,0.0,3.0,2.0,2025-05-09 16:08:30
Jhin,2,2,16,14,16,100.0,2.29,8.0,7.0,8.0,2025-05-09 16:08:30
Kaisa,4,2,49,31,29,50.0,2.52,12.25,7.75,7.25,2025-05-09 16:08:30
Seraphine,2,1,22,11,19,50.0,3.73,11.0,5.5,9.5,2025-05-09 16:08:30
Aurelion Sol,1,0,0,2,0,0.0,0.0,0.0,2.0,0.0,2025-05-09 16:08:30
Aphelios,1,0,4,11,4,0.0,0.73,4.0,11.0,4.0,2025-05-09 16:08:30
Twitch,1,0,1,7,2,0.0,0.43,1.0,7.0,2.0,2025-05-09 16:08:30
Ezreal,1,0,0,6,1,0.0,0.17,0.0,6.0,1.0,2025-05-09 16:08:30
Corki,1,1,7,2,5,100.0,6.0,7.0,2.0,5.0,2025-05-09 16:08:30
Varus,1,0,4,9,7,0.0,1.22,4.0,9.0,7.0,2025-05-09 16:08:30
Lucian,1,0,10,13,10,0.0,1.54,10.0,13.0,10.0,2025-05-09 16:08:30
Sivir,1,0,4,3,3,0.0,2.33,4.0,3.0,3.0,2025-05-09 16:08:30
Sylas,1,1,12,9,2,100.0,1.56,12.0,9.0,2.0,2025-05-09 16:08:30
Zeri,1,1,11,9,2,100.0,1.44,11.0,9.0,2.0,2025-05-09 16:08:30
Yasuo,1,0,4,8,0,0.0,0.5,4.0,8.0,0.0,2025-05-09 16:08:30
