opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Kaisa,9,5,25,43,122,55.56,3.42,2.78,4.78,13.56,2025-05-09 16:08:30
Fiddlesticks,7,2,17,41,62,28.57,1.93,2.43,5.86,8.86,2025-05-09 16:08:30
Sylas,3,2,6,10,34,66.67,4.0,2.0,3.33,11.33,2025-05-09 16:08:30
Ashe,8,4,26,19,63,50.0,4.68,3.25,2.38,7.88,2025-05-09 16:08:30
Bard,4,3,15,20,38,75.0,2.65,3.75,5.0,9.5,2025-05-09 16:08:30
Lucian,5,3,15,23,49,60.0,2.78,3.0,4.6,9.8,2025-05-09 16:08:30
Alistar,6,3,7,35,83,50.0,2.57,1.17,5.83,13.83,2025-05-09 16:08:30
Rakan,9,4,24,39,103,44.44,3.26,2.67,4.33,11.44,2025-05-09 16:08:30
Thresh,7,4,13,44,139,57.14,3.45,1.86,6.29,19.86,2025-05-09 16:08:30
Yuumi,3,1,16,19,54,33.33,3.68,5.33,6.33,18.0,2025-05-09 16:08:30
Leona,3,0,2,15,37,0.0,2.6,0.67,5.0,12.33,2025-05-09 16:08:30
Neeko,7,0,17,40,62,0.0,1.98,2.43,5.71,8.86,2025-05-09 16:08:30
Miss Fortune,7,4,9,40,75,57.14,2.1,1.29,5.71,10.71,2025-05-09 16:08:30
Senna,4,1,11,19,59,25.0,3.68,2.75,4.75,14.75,2025-05-09 16:08:30
Rell,4,3,16,19,65,75.0,4.26,4.0,4.75,16.25,2025-05-09 16:08:30
Caitlyn,3,3,16,8,39,100.0,6.88,5.33,2.67,13.0,2025-05-09 16:08:30
Jhin,2,2,5,5,28,100.0,6.6,2.5,2.5,14.0,2025-05-09 16:08:30
KogMaw,3,2,26,19,42,66.67,3.58,8.67,6.33,14.0,2025-05-09 16:08:30
Blitzcrank,6,4,10,32,92,66.67,3.19,1.67,5.33,15.33,2025-05-09 16:08:30
Syndra,1,1,6,5,10,100.0,3.2,6.0,5.0,10.0,2025-05-09 16:08:30
Lux,2,1,2,14,21,50.0,1.64,1.0,7.0,10.5,2025-05-09 16:08:30
Camille,1,0,3,4,3,0.0,1.5,3.0,4.0,3.0,2025-05-09 16:08:30
Sona,6,3,11,25,85,50.0,3.84,1.83,4.17,14.17,2025-05-09 16:08:30
Varus,7,4,24,30,95,57.14,3.97,3.43,4.29,13.57,2025-05-09 16:08:30
Ezreal,5,4,27,27,72,80.0,3.67,5.4,5.4,14.4,2025-05-09 16:08:30
Nautilus,7,3,9,39,74,42.86,2.13,1.29,5.57,10.57,2025-05-09 16:08:30
Pyke,6,3,3,40,88,50.0,2.27,0.5,6.67,14.67,2025-05-09 16:08:30
Corki,4,2,30,20,43,50.0,3.65,7.5,5.0,10.75,2025-05-09 16:08:30
Lulu,3,3,5,7,35,100.0,5.71,1.67,2.33,11.67,2025-05-09 16:08:30
Zeri,2,2,8,4,24,100.0,8.0,4.0,2.0,12.0,2025-05-09 16:08:30
Samira,2,1,10,10,30,50.0,4.0,5.0,5.0,15.0,2025-05-09 16:08:30
Smolder,2,2,0,6,16,100.0,2.67,0.0,3.0,8.0,2025-05-09 16:08:30
Mel,4,1,10,24,24,25.0,1.42,2.5,6.0,6.0,2025-05-09 16:08:30
Nami,8,5,12,36,103,62.5,3.19,1.5,4.5,12.88,2025-05-09 16:08:30
Janna,4,2,5,24,39,50.0,1.83,1.25,6.0,9.75,2025-05-09 16:08:30
Zoe,3,1,10,15,31,33.33,2.73,3.33,5.0,10.33,2025-05-09 16:08:30
Nidalee,4,1,2,22,49,25.0,2.32,0.5,5.5,12.25,2025-05-09 16:08:30
Karma,6,5,16,19,108,83.33,6.53,2.67,3.17,18.0,2025-05-09 16:08:30
Pantheon,2,1,3,8,28,50.0,3.88,1.5,4.0,14.0,2025-05-09 16:08:30
Kalista,1,0,3,6,9,0.0,2.0,3.0,6.0,9.0,2025-05-09 16:08:30
Braum,2,1,9,11,26,50.0,3.18,4.5,5.5,13.0,2025-05-09 16:08:30
Soraka,1,0,2,10,18,0.0,2.0,2.0,10.0,18.0,2025-05-09 16:08:30
Sivir,1,0,3,4,14,0.0,4.25,3.0,4.0,14.0,2025-05-09 16:08:30
Jinx,1,1,13,6,12,100.0,4.17,13.0,6.0,12.0,2025-05-09 16:08:30
Sion,1,0,2,3,3,0.0,1.67,2.0,3.0,3.0,2025-05-09 16:08:30
Anivia,2,1,2,6,16,50.0,3.0,1.0,3.0,8.0,2025-05-09 16:08:30
Hwei,1,1,11,5,11,100.0,4.4,11.0,5.0,11.0,2025-05-09 16:08:30
Draven,1,1,4,5,11,100.0,3.0,4.0,5.0,11.0,2025-05-09 16:08:30
Vayne,1,1,5,5,17,100.0,4.4,5.0,5.0,17.0,2025-05-09 16:08:30
Xayah,1,0,2,3,5,0.0,2.33,2.0,3.0,5.0,2025-05-09 16:08:30
Xerath,1,0,0,3,1,0.0,0.33,0.0,3.0,1.0,2025-05-09 16:08:30
Dr. Mundo,1,1,2,3,16,100.0,6.0,2.0,3.0,16.0,2025-05-09 16:08:30
Akali,1,0,3,2,1,0.0,2.0,3.0,2.0,1.0,2025-05-09 16:08:30
Ziggs,1,1,5,5,22,100.0,5.4,5.0,5.0,22.0,2025-05-09 16:08:30
