opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Jayce,4,2,10,31,37,50.0,1.52,2.5,7.75,9.25,2025-05-09 16:08:30
Aatrox,3,0,4,13,5,0.0,0.69,1.33,4.33,1.67,2025-05-09 16:08:30
Camille,1,0,1,6,4,0.0,0.83,1.0,6.0,4.0,2025-05-09 16:08:30
Yorick,1,0,1,5,0,0.0,0.2,1.0,5.0,0.0,2025-05-09 16:08:30
Aurora,1,0,5,7,7,0.0,1.71,5.0,7.0,7.0,2025-05-09 16:08:30
Lissandra,1,1,2,3,10,100.0,4.0,2.0,3.0,10.0,2025-05-09 16:08:30
Gnar,1,0,2,7,12,0.0,2.0,2.0,7.0,12.0,2025-05-09 16:08:30
Tristana,2,1,5,19,30,50.0,1.84,2.5,9.5,15.0,2025-05-09 16:08:30
Jhin,1,1,3,2,11,100.0,7.0,3.0,2.0,11.0,2025-05-09 16:08:30
Gwen,1,0,4,4,6,0.0,2.5,4.0,4.0,6.0,2025-05-09 16:08:30
Yone,5,1,18,35,37,20.0,1.57,3.6,7.0,7.4,2025-05-09 16:08:30
Gragas,4,0,13,28,17,0.0,1.07,3.25,7.0,4.25,2025-05-09 16:08:30
Miss Fortune,1,0,7,9,9,0.0,1.78,7.0,9.0,9.0,2025-05-09 16:08:30
Riven,3,1,6,12,19,33.33,2.08,2.0,4.0,6.33,2025-05-09 16:08:30
Quinn,1,1,3,2,12,100.0,7.5,3.0,2.0,12.0,2025-05-09 16:08:30
Syndra,1,0,3,11,13,0.0,1.45,3.0,11.0,13.0,2025-05-09 16:08:30
Sylas,2,0,8,9,6,0.0,1.56,4.0,4.5,3.0,2025-05-09 16:08:30
Fiora,1,0,3,13,11,0.0,1.08,3.0,13.0,11.0,2025-05-09 16:08:30
Yasuo,2,2,12,8,19,100.0,3.88,6.0,4.0,9.5,2025-05-09 16:08:30
Darius,5,1,10,24,27,20.0,1.54,2.0,4.8,5.4,2025-05-09 16:08:30
Ambessa,2,1,6,8,7,50.0,1.62,3.0,4.0,3.5,2025-05-09 16:08:30
Sion,1,0,6,7,8,0.0,2.0,6.0,7.0,8.0,2025-05-09 16:08:30
Sett,1,0,0,8,5,0.0,0.62,0.0,8.0,5.0,2025-05-09 16:08:30
Rumble,2,1,3,18,4,50.0,0.39,1.5,9.0,2.0,2025-05-09 16:08:30
Teemo,2,1,7,10,23,50.0,3.0,3.5,5.0,11.5,2025-05-09 16:08:30
Wukong,1,0,0,2,0,0.0,0.0,0.0,2.0,0.0,2025-05-09 16:08:30
Lucian,1,0,3,6,5,0.0,1.33,3.0,6.0,5.0,2025-05-09 16:08:30
Nami,1,0,1,7,11,0.0,1.71,1.0,7.0,11.0,2025-05-09 16:08:30
Nidalee,2,1,7,12,18,50.0,2.08,3.5,6.0,9.0,2025-05-09 16:08:30
Ahri,1,0,2,6,5,0.0,1.17,2.0,6.0,5.0,2025-05-09 16:08:30
Viktor,2,1,16,10,28,50.0,4.4,8.0,5.0,14.0,2025-05-09 16:08:30
Kayle,2,2,9,1,16,100.0,25.0,4.5,0.5,8.0,2025-05-09 16:08:30
Ryze,2,1,3,9,10,50.0,1.44,1.5,4.5,5.0,2025-05-09 16:08:30
Qiyana,1,1,5,4,3,100.0,2.0,5.0,4.0,3.0,2025-05-09 16:08:30
Zed,3,1,10,24,24,33.33,1.42,3.33,8.0,8.0,2025-05-09 16:08:30
Kassadin,1,1,4,4,14,100.0,4.5,4.0,4.0,14.0,2025-05-09 16:08:30
Akali,2,2,10,0,18,100.0,28.0,5.0,0.0,9.0,2025-05-09 16:08:30
Gangplank,2,2,14,6,12,100.0,4.33,7.0,3.0,6.0,2025-05-09 16:08:30
Ekko,1,0,2,6,3,0.0,0.83,2.0,6.0,3.0,2025-05-09 16:08:30
Tryndamere,1,1,1,2,6,100.0,3.5,1.0,2.0,6.0,2025-05-09 16:08:30
Dr. Mundo,1,1,5,4,11,100.0,4.0,5.0,4.0,11.0,2025-05-09 16:08:30
Ornn,1,1,4,3,9,100.0,4.33,4.0,3.0,9.0,2025-05-09 16:08:30
Warwick,1,1,8,5,24,100.0,6.4,8.0,5.0,24.0,2025-05-09 16:08:30
Irelia,1,1,4,3,14,100.0,6.0,4.0,3.0,14.0,2025-05-09 16:08:30
Garen,1,1,1,1,5,100.0,6.0,1.0,1.0,5.0,2025-05-09 16:08:30
Taliyah,2,1,10,15,20,50.0,2.0,5.0,7.5,10.0,2025-05-09 16:08:30
Zilean,1,0,5,7,6,0.0,1.57,5.0,7.0,6.0,2025-05-09 16:08:30
KSante,1,1,19,6,16,100.0,5.83,19.0,6.0,16.0,2025-05-09 16:08:30
Shen,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
