opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Alistar,10,5,7,58,146,50.0,2.64,0.7,5.8,14.6,2025-05-09 16:08:30
Katarina,2,1,3,6,25,50.0,4.67,1.5,3.0,12.5,2025-05-09 16:08:30
Lucian,2,2,6,6,18,100.0,4.0,3.0,3.0,9.0,2025-05-09 16:08:30
Thresh,12,3,15,81,182,25.0,2.43,1.25,6.75,15.17,2025-05-09 16:08:30
Nidalee,4,2,1,12,66,50.0,5.58,0.25,3.0,16.5,2025-05-09 16:08:30
Galio,2,2,0,4,30,100.0,7.5,0.0,2.0,15.0,2025-05-09 16:08:30
Pyke,1,1,1,6,19,100.0,3.33,1.0,6.0,19.0,2025-05-09 16:08:30
Bard,6,2,5,30,53,33.33,1.93,0.83,5.0,8.83,2025-05-09 16:08:30
Senna,4,2,5,21,50,50.0,2.62,1.25,5.25,12.5,2025-05-09 16:08:30
Pantheon,2,0,1,15,23,0.0,1.6,0.5,7.5,11.5,2025-05-09 16:08:30
Janna,5,3,5,27,85,60.0,3.33,1.0,5.4,17.0,2025-05-09 16:08:30
Rell,8,2,10,34,58,25.0,2.0,1.25,4.25,7.25,2025-05-09 16:08:30
Zyra,1,0,2,5,16,0.0,3.6,2.0,5.0,16.0,2025-05-09 16:08:30
Taric,3,1,2,15,37,33.33,2.6,0.67,5.0,12.33,2025-05-09 16:08:30
Blitzcrank,3,2,2,26,54,66.67,2.15,0.67,8.67,18.0,2025-05-09 16:08:30
Neeko,2,1,3,14,36,50.0,2.79,1.5,7.0,18.0,2025-05-09 16:08:30
Rakan,2,1,3,15,55,50.0,3.87,1.5,7.5,27.5,2025-05-09 16:08:30
Poppy,3,2,2,19,60,66.67,3.26,0.67,6.33,20.0,2025-05-09 16:08:30
Karma,11,5,8,62,134,45.45,2.29,0.73,5.64,12.18,2025-05-09 16:08:30
Nami,6,1,4,23,48,16.67,2.26,0.67,3.83,8.0,2025-05-09 16:08:30
Milio,2,1,2,10,24,50.0,2.6,1.0,5.0,12.0,2025-05-09 16:08:30
Nautilus,5,2,5,35,91,40.0,2.74,1.0,7.0,18.2,2025-05-09 16:08:30
Braum,2,2,3,13,47,100.0,3.85,1.5,6.5,23.5,2025-05-09 16:08:30
Leona,3,2,4,12,70,66.67,6.17,1.33,4.0,23.33,2025-05-09 16:08:30
Fiddlesticks,4,1,3,20,65,25.0,3.4,0.75,5.0,16.25,2025-05-09 16:08:30
Sona,4,3,3,15,40,75.0,2.87,0.75,3.75,10.0,2025-05-09 16:08:30
Zoe,1,1,0,0,9,100.0,9.0,0.0,0.0,9.0,2025-05-09 16:08:30
Seraphine,1,1,1,4,23,100.0,6.0,1.0,4.0,23.0,2025-05-09 16:08:30
Renata,1,1,1,5,20,100.0,4.2,1.0,5.0,20.0,2025-05-09 16:08:30
Annie,1,0,3,1,9,0.0,12.0,3.0,1.0,9.0,2025-05-09 16:08:30
Lulu,2,1,2,15,33,50.0,2.33,1.0,7.5,16.5,2025-05-09 16:08:30
