opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Viktor,9,7,46,38,60,77.78,2.79,5.11,4.22,6.67,2025-05-09 16:08:30
Kaisa,4,1,18,21,21,25.0,1.86,4.5,5.25,5.25,2025-05-09 16:08:30
Lissandra,9,4,60,34,45,44.44,3.09,6.67,3.78,5.0,2025-05-09 16:08:30
Lux,5,1,29,31,9,20.0,1.23,5.8,6.2,1.8,2025-05-09 16:08:30
Mordekaiser,2,2,13,8,23,100.0,4.5,6.5,4.0,11.5,2025-05-09 16:08:30
Ryze,6,2,30,27,43,33.33,2.7,5.0,4.5,7.17,2025-05-09 16:08:30
Galio,12,10,56,28,91,83.33,5.25,4.67,2.33,7.58,2025-05-09 16:08:30
Lucian,3,3,18,28,22,100.0,1.43,6.0,9.33,7.33,2025-05-09 16:08:30
Aurelion Sol,2,1,8,9,17,50.0,2.78,4.0,4.5,8.5,2025-05-09 16:08:30
Ahri,10,5,52,46,52,50.0,2.26,5.2,4.6,5.2,2025-05-09 16:08:30
Taliyah,11,7,72,77,92,63.64,2.13,6.55,7.0,8.36,2025-05-09 16:08:30
Katarina,5,3,34,22,23,60.0,2.59,6.8,4.4,4.6,2025-05-09 16:08:30
Yone,11,8,53,74,50,72.73,1.39,4.82,6.73,4.55,2025-05-09 16:08:30
Rumble,1,0,7,8,6,0.0,1.62,7.0,8.0,6.0,2025-05-09 16:08:30
Neeko,1,0,2,4,0,0.0,0.5,2.0,4.0,0.0,2025-05-09 16:08:30
Jayce,4,4,29,17,30,100.0,3.47,7.25,4.25,7.5,2025-05-09 16:08:30
Aurora,9,2,36,59,57,22.22,1.58,4.0,6.56,6.33,2025-05-09 16:08:30
Yasuo,8,2,43,36,63,25.0,2.94,5.38,4.5,7.88,2025-05-09 16:08:30
Fizz,6,2,28,34,36,33.33,1.88,4.67,5.67,6.0,2025-05-09 16:08:30
Sylas,12,9,32,58,68,75.0,1.72,2.67,4.83,5.67,2025-05-09 16:08:30
Azir,14,7,72,67,78,50.0,2.24,5.14,4.79,5.57,2025-05-09 16:08:30
Vayne,2,2,18,12,30,100.0,4.0,9.0,6.0,15.0,2025-05-09 16:08:30
Irelia,6,2,29,21,32,33.33,2.9,4.83,3.5,5.33,2025-05-09 16:08:30
Akali,4,2,28,27,46,50.0,2.74,7.0,6.75,11.5,2025-05-09 16:08:30
Corki,8,3,49,38,41,37.5,2.37,6.12,4.75,5.12,2025-05-09 16:08:30
Orianna,10,4,41,44,64,40.0,2.39,4.1,4.4,6.4,2025-05-09 16:08:30
Vex,3,2,16,12,20,66.67,3.0,5.33,4.0,6.67,2025-05-09 16:08:30
Morgana,1,0,4,8,2,0.0,0.75,4.0,8.0,2.0,2025-05-09 16:08:30
Zed,8,2,26,65,33,25.0,0.91,3.25,8.12,4.12,2025-05-09 16:08:30
Akshan,2,0,6,11,9,0.0,1.36,3.0,5.5,4.5,2025-05-09 16:08:30
Zoe,11,4,51,55,44,36.36,1.73,4.64,5.0,4.0,2025-05-09 16:08:30
Zilean,1,0,5,8,13,0.0,2.25,5.0,8.0,13.0,2025-05-09 16:08:30
Seraphine,1,0,4,5,7,0.0,2.2,4.0,5.0,7.0,2025-05-09 16:08:30
Smolder,1,1,9,3,13,100.0,7.33,9.0,3.0,13.0,2025-05-09 16:08:30
