opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ahri,22,5,62,100,108,22.73,1.7,2.82,4.55,4.91,2025-05-09 16:08:30
Vex,3,2,28,16,40,66.67,4.25,9.33,5.33,13.33,2025-05-09 16:08:30
Aurora,9,8,38,39,70,88.89,2.77,4.22,4.33,7.78,2025-05-09 16:08:30
Tristana,14,5,70,66,68,35.71,2.09,5.0,4.71,4.86,2025-05-09 16:08:30
Sylas,33,22,173,157,321,66.67,3.15,5.24,4.76,9.73,2025-05-09 16:08:30
Vladimir,5,3,21,16,17,60.0,2.38,4.2,3.2,3.4,2025-05-09 16:08:30
Yasuo,17,12,78,78,156,70.59,3.0,4.59,4.59,9.18,2025-05-09 16:08:30
Yone,24,12,117,103,215,50.0,3.22,4.88,4.29,8.96,2025-05-09 16:08:30
Jarvan Iv,4,2,31,24,34,50.0,2.71,7.75,6.0,8.5,2025-05-09 16:08:30
Ryze,20,10,143,95,183,50.0,3.43,7.15,4.75,9.15,2025-05-09 16:08:30
Lucian,1,0,7,5,10,0.0,3.4,7.0,5.0,10.0,2025-05-09 16:08:30
Zoe,13,10,84,62,114,76.92,3.19,6.46,4.77,8.77,2025-05-09 16:08:30
Azir,24,13,133,128,275,54.17,3.19,5.54,5.33,11.46,2025-05-09 16:08:30
Mel,9,7,76,56,91,77.78,2.98,8.44,6.22,10.11,2025-05-09 16:08:30
Jayce,4,1,15,27,30,25.0,1.67,3.75,6.75,7.5,2025-05-09 16:08:30
Zac,3,2,12,11,24,66.67,3.27,4.0,3.67,8.0,2025-05-09 16:08:30
Diana,2,1,17,9,11,50.0,3.11,8.5,4.5,5.5,2025-05-09 16:08:30
Skarner,1,1,3,1,9,100.0,12.0,3.0,1.0,9.0,2025-05-09 16:08:30
Vi,6,3,39,32,67,50.0,3.31,6.5,5.33,11.17,2025-05-09 16:08:30
Anivia,3,2,7,13,32,66.67,3.0,2.33,4.33,10.67,2025-05-09 16:08:30
Naafiri,10,8,58,31,69,80.0,4.1,5.8,3.1,6.9,2025-05-09 16:08:30
Ekko,8,3,58,24,80,37.5,5.75,7.25,3.0,10.0,2025-05-09 16:08:30
Fiddlesticks,4,2,24,6,28,50.0,8.67,6.0,1.5,7.0,2025-05-09 16:08:30
Pantheon,4,1,20,23,16,25.0,1.57,5.0,5.75,4.0,2025-05-09 16:08:30
Nidalee,1,0,8,5,10,0.0,3.6,8.0,5.0,10.0,2025-05-09 16:08:30
Neeko,4,2,26,20,22,50.0,2.4,6.5,5.0,5.5,2025-05-09 16:08:30
Malphite,2,0,16,12,8,0.0,2.0,8.0,6.0,4.0,2025-05-09 16:08:30
Xerath,4,1,16,22,20,25.0,1.64,4.0,5.5,5.0,2025-05-09 16:08:30
Syndra,11,4,62,74,123,36.36,2.5,5.64,6.73,11.18,2025-05-09 16:08:30
Irelia,1,1,6,6,19,100.0,4.17,6.0,6.0,19.0,2025-05-09 16:08:30
Twisted Fate,7,5,37,24,46,71.43,3.46,5.29,3.43,6.57,2025-05-09 16:08:30
Orianna,16,9,116,97,170,56.25,2.95,7.25,6.06,10.62,2025-05-09 16:08:30
Corki,5,2,25,25,31,40.0,2.24,5.0,5.0,6.2,2025-05-09 16:08:30
Katarina,3,1,7,24,27,33.33,1.42,2.33,8.0,9.0,2025-05-09 16:08:30
Morgana,3,3,15,17,32,100.0,2.76,5.0,5.67,10.67,2025-05-09 16:08:30
Zed,11,8,56,73,99,72.73,2.12,5.09,6.64,9.0,2025-05-09 16:08:30
Akali,12,7,60,52,105,58.33,3.17,5.0,4.33,8.75,2025-05-09 16:08:30
Galio,9,4,34,39,33,44.44,1.72,3.78,4.33,3.67,2025-05-09 16:08:30
Viktor,13,9,70,48,124,69.23,4.04,5.38,3.69,9.54,2025-05-09 16:08:30
Kassadin,4,3,20,16,39,75.0,3.69,5.0,4.0,9.75,2025-05-09 16:08:30
Volibear,3,3,33,21,38,100.0,3.38,11.0,7.0,12.67,2025-05-09 16:08:30
Karma,4,2,12,20,38,50.0,2.5,3.0,5.0,9.5,2025-05-09 16:08:30
Akshan,8,4,51,44,111,50.0,3.68,6.38,5.5,13.88,2025-05-09 16:08:30
Nasus,3,0,4,16,1,0.0,0.31,1.33,5.33,0.33,2025-05-09 16:08:30
Lissandra,4,3,34,14,15,75.0,3.5,8.5,3.5,3.75,2025-05-09 16:08:30
Xin Zhao,4,2,36,20,41,50.0,3.85,9.0,5.0,10.25,2025-05-09 16:08:30
Reksai,6,4,36,23,51,66.67,3.78,6.0,3.83,8.5,2025-05-09 16:08:30
Sion,2,0,0,12,2,0.0,0.17,0.0,6.0,1.0,2025-05-09 16:08:30
Ashe,3,1,13,15,23,33.33,2.4,4.33,5.0,7.67,2025-05-09 16:08:30
Quinn,4,1,15,21,26,25.0,1.95,3.75,5.25,6.5,2025-05-09 16:08:30
Hwei,11,5,63,58,89,45.45,2.62,5.73,5.27,8.09,2025-05-09 16:08:30
Sejuani,1,0,7,6,8,0.0,2.5,7.0,6.0,8.0,2025-05-09 16:08:30
Veigar,4,3,28,18,30,75.0,3.22,7.0,4.5,7.5,2025-05-09 16:08:30
Chogath,4,0,20,34,31,0.0,1.5,5.0,8.5,7.75,2025-05-09 16:08:30
Hecarim,4,1,23,28,50,25.0,2.61,5.75,7.0,12.5,2025-05-09 16:08:30
Kayle,4,0,14,25,20,0.0,1.36,3.5,6.25,5.0,2025-05-09 16:08:30
LeBlanc,4,3,31,26,25,75.0,2.15,7.75,6.5,6.25,2025-05-09 16:08:30
Jhin,1,1,2,4,8,100.0,2.5,2.0,4.0,8.0,2025-05-09 16:08:30
Viego,9,7,86,39,94,77.78,4.62,9.56,4.33,10.44,2025-05-09 16:08:30
Varus,3,3,20,8,27,100.0,5.88,6.67,2.67,9.0,2025-05-09 16:08:30
Karthus,4,3,32,13,36,75.0,5.23,8.0,3.25,9.0,2025-05-09 16:08:30
Gragas,3,1,17,19,26,33.33,2.26,5.67,6.33,8.67,2025-05-09 16:08:30
Poppy,4,2,26,14,22,50.0,3.43,6.5,3.5,5.5,2025-05-09 16:08:30
Tryndamere,1,0,1,7,10,0.0,1.57,1.0,7.0,10.0,2025-05-09 16:08:30
Gwen,1,1,6,2,8,100.0,7.0,6.0,2.0,8.0,2025-05-09 16:08:30
Kaisa,1,1,9,4,9,100.0,4.5,9.0,4.0,9.0,2025-05-09 16:08:30
KhaZix,4,2,42,25,39,50.0,3.24,10.5,6.25,9.75,2025-05-09 16:08:30
Kayn,1,1,2,1,5,100.0,7.0,2.0,1.0,5.0,2025-05-09 16:08:30
Kindred,3,1,32,19,34,33.33,3.47,10.67,6.33,11.33,2025-05-09 16:08:30
Warwick,1,1,18,6,12,100.0,5.0,18.0,6.0,12.0,2025-05-09 16:08:30
Lillia,2,1,17,10,15,50.0,3.2,8.5,5.0,7.5,2025-05-09 16:08:30
Twitch,1,0,5,2,6,0.0,5.5,5.0,2.0,6.0,2025-05-09 16:08:30
Qiyana,2,1,15,3,14,50.0,9.67,7.5,1.5,7.0,2025-05-09 16:08:30
Alistar,1,0,0,11,6,0.0,0.55,0.0,11.0,6.0,2025-05-09 16:08:30
Kennen,1,1,9,2,9,100.0,9.0,9.0,2.0,9.0,2025-05-09 16:08:30
Ambessa,6,4,25,13,30,66.67,4.23,4.17,2.17,5.0,2025-05-09 16:08:30
Ivern,1,1,11,8,10,100.0,2.62,11.0,8.0,10.0,2025-05-09 16:08:30
Brand,1,1,5,4,17,100.0,5.5,5.0,4.0,17.0,2025-05-09 16:08:30
Aurelion Sol,1,1,2,1,11,100.0,13.0,2.0,1.0,11.0,2025-05-09 16:08:30
Cassiopeia,1,0,2,5,4,0.0,1.2,2.0,5.0,4.0,2025-05-09 16:08:30
Lee Sin,1,1,10,7,14,100.0,3.43,10.0,7.0,14.0,2025-05-09 16:08:30
Miss Fortune,1,0,5,7,6,0.0,1.57,5.0,7.0,6.0,2025-05-09 16:08:30
Annie,3,0,19,19,22,0.0,2.16,6.33,6.33,7.33,2025-05-09 16:08:30
Zilean,3,2,9,11,16,66.67,2.27,3.0,3.67,5.33,2025-05-09 16:08:30
Ornn,1,0,1,4,5,0.0,1.5,1.0,4.0,5.0,2025-05-09 16:08:30
Lux,4,3,21,24,26,75.0,1.96,5.25,6.0,6.5,2025-05-09 16:08:30
Swain,1,0,10,4,15,0.0,6.25,10.0,4.0,15.0,2025-05-09 16:08:30
Rumble,1,0,7,8,20,0.0,3.38,7.0,8.0,20.0,2025-05-09 16:08:30
Talon,1,0,1,6,6,0.0,1.17,1.0,6.0,6.0,2025-05-09 16:08:30
Singed,2,1,9,10,21,50.0,3.0,4.5,5.0,10.5,2025-05-09 16:08:30
Nocturne,1,0,6,9,3,0.0,1.0,6.0,9.0,3.0,2025-05-09 16:08:30
