opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Sylas,7,2,52,44,38,28.57,2.05,7.43,6.29,5.43,2025-05-09 16:08:30
Fiddlesticks,7,2,74,38,52,28.57,3.32,10.57,5.43,7.43,2025-05-09 16:08:30
Viktor,4,4,31,15,18,100.0,3.27,7.75,3.75,4.5,2025-05-09 16:08:30
Vi,34,13,291,184,187,38.24,2.6,8.56,5.41,5.5,2025-05-09 16:08:30
Jayce,3,3,53,16,27,100.0,5.0,17.67,5.33,9.0,2025-05-09 16:08:30
Kayle,2,2,12,10,14,100.0,2.6,6.0,5.0,7.0,2025-05-09 16:08:30
Qiyana,6,1,22,46,39,16.67,1.33,3.67,7.67,6.5,2025-05-09 16:08:30
Poppy,11,7,115,48,63,63.64,3.71,10.45,4.36,5.73,2025-05-09 16:08:30
Naafiri,38,22,338,179,299,57.89,3.56,8.89,4.71,7.87,2025-05-09 16:08:30
Neeko,5,2,30,21,18,40.0,2.29,6.0,4.2,3.6,2025-05-09 16:08:30
Gwen,17,5,102,103,79,29.41,1.76,6.0,6.06,4.65,2025-05-09 16:08:30
Rengar,7,2,46,43,44,28.57,2.09,6.57,6.14,6.29,2025-05-09 16:08:30
Sejuani,13,6,101,76,85,46.15,2.45,7.77,5.85,6.54,2025-05-09 16:08:30
Twisted Fate,4,1,47,29,17,25.0,2.21,11.75,7.25,4.25,2025-05-09 16:08:30
Rammus,6,4,53,12,26,66.67,6.58,8.83,2.0,4.33,2025-05-09 16:08:30
Lee Sin,22,10,194,118,153,45.45,2.94,8.82,5.36,6.95,2025-05-09 16:08:30
Ambessa,1,0,6,8,1,0.0,0.88,6.0,8.0,1.0,2025-05-09 16:08:30
Nidalee,12,5,87,56,76,41.67,2.91,7.25,4.67,6.33,2025-05-09 16:08:30
Zed,34,17,301,185,218,50.0,2.81,8.85,5.44,6.41,2025-05-09 16:08:30
Yone,3,3,38,8,28,100.0,8.25,12.67,2.67,9.33,2025-05-09 16:08:30
Akshan,3,1,17,23,21,33.33,1.65,5.67,7.67,7.0,2025-05-09 16:08:30
Nunu & Willump,3,0,10,14,6,0.0,1.14,3.33,4.67,2.0,2025-05-09 16:08:30
Azir,5,3,42,31,17,60.0,1.9,8.4,6.2,3.4,2025-05-09 16:08:30
Renekton,1,1,16,3,5,100.0,7.0,16.0,3.0,5.0,2025-05-09 16:08:30
Ivern,18,3,109,97,77,16.67,1.92,6.06,5.39,4.28,2025-05-09 16:08:30
Amumu,3,3,25,12,27,100.0,4.33,8.33,4.0,9.0,2025-05-09 16:08:30
Lissandra,1,1,10,5,11,100.0,4.2,10.0,5.0,11.0,2025-05-09 16:08:30
Pantheon,11,8,95,36,79,72.73,4.83,8.64,3.27,7.18,2025-05-09 16:08:30
Viego,28,13,233,148,174,46.43,2.75,8.32,5.29,6.21,2025-05-09 16:08:30
Xin Zhao,24,15,208,106,154,62.5,3.42,8.67,4.42,6.42,2025-05-09 16:08:30
Jarvan Iv,6,5,48,17,29,83.33,4.53,8.0,2.83,4.83,2025-05-09 16:08:30
Ekko,13,8,125,70,83,61.54,2.97,9.62,5.38,6.38,2025-05-09 16:08:30
Wukong,2,1,17,7,12,50.0,4.14,8.5,3.5,6.0,2025-05-09 16:08:30
Reksai,6,3,70,27,46,50.0,4.3,11.67,4.5,7.67,2025-05-09 16:08:30
Belveth,3,2,34,17,16,66.67,2.94,11.33,5.67,5.33,2025-05-09 16:08:30
Orianna,3,0,16,27,12,0.0,1.04,5.33,9.0,4.0,2025-05-09 16:08:30
Udyr,7,3,61,52,53,42.86,2.19,8.71,7.43,7.57,2025-05-09 16:08:30
Smolder,1,0,7,9,5,0.0,1.33,7.0,9.0,5.0,2025-05-09 16:08:30
Nocturne,6,3,45,28,38,50.0,2.96,7.5,4.67,6.33,2025-05-09 16:08:30
Jax,3,0,20,18,9,0.0,1.61,6.67,6.0,3.0,2025-05-09 16:08:30
Gragas,6,3,50,24,40,50.0,3.75,8.33,4.0,6.67,2025-05-09 16:08:30
Zoe,3,1,9,26,14,33.33,0.88,3.0,8.67,4.67,2025-05-09 16:08:30
Shaco,8,6,76,37,64,75.0,3.78,9.5,4.62,8.0,2025-05-09 16:08:30
Kindred,3,2,36,20,26,66.67,3.1,12.0,6.67,8.67,2025-05-09 16:08:30
Syndra,4,1,41,39,28,25.0,1.77,10.25,9.75,7.0,2025-05-09 16:08:30
Zac,6,4,56,31,37,66.67,3.0,9.33,5.17,6.17,2025-05-09 16:08:30
Hecarim,15,8,147,79,107,53.33,3.22,9.8,5.27,7.13,2025-05-09 16:08:30
Graves,8,8,95,45,63,100.0,3.51,11.88,5.62,7.88,2025-05-09 16:08:30
Aurora,2,2,17,5,9,100.0,5.2,8.5,2.5,4.5,2025-05-09 16:08:30
Irelia,1,0,5,9,0,0.0,0.56,5.0,9.0,0.0,2025-05-09 16:08:30
Elise,4,3,41,13,25,75.0,5.08,10.25,3.25,6.25,2025-05-09 16:08:30
Warwick,2,1,23,12,17,50.0,3.33,11.5,6.0,8.5,2025-05-09 16:08:30
Volibear,10,7,85,36,74,70.0,4.42,8.5,3.6,7.4,2025-05-09 16:08:30
Lillia,9,5,74,43,55,55.56,3.0,8.22,4.78,6.11,2025-05-09 16:08:30
Zyra,4,1,35,28,30,25.0,2.32,8.75,7.0,7.5,2025-05-09 16:08:30
Skarner,4,1,44,26,31,25.0,2.88,11.0,6.5,7.75,2025-05-09 16:08:30
Karthus,5,3,53,30,26,60.0,2.63,10.6,6.0,5.2,2025-05-09 16:08:30
Mel,2,2,32,19,11,100.0,2.26,16.0,9.5,5.5,2025-05-09 16:08:30
KhaZix,11,5,109,76,81,45.45,2.5,9.91,6.91,7.36,2025-05-09 16:08:30
Brand,8,4,70,46,56,50.0,2.74,8.75,5.75,7.0,2025-05-09 16:08:30
Maokai,4,2,18,8,26,50.0,5.5,4.5,2.0,6.5,2025-05-09 16:08:30
Mordekaiser,4,2,39,18,20,50.0,3.28,9.75,4.5,5.0,2025-05-09 16:08:30
Briar,1,1,9,3,7,100.0,5.33,9.0,3.0,7.0,2025-05-09 16:08:30
Evelynn,3,3,36,8,24,100.0,7.5,12.0,2.67,8.0,2025-05-09 16:08:30
Dr. Mundo,2,1,11,10,8,50.0,1.9,5.5,5.0,4.0,2025-05-09 16:08:30
Corki,1,0,4,5,5,0.0,1.8,4.0,5.0,5.0,2025-05-09 16:08:30
Diana,3,3,34,5,20,100.0,10.8,11.33,1.67,6.67,2025-05-09 16:08:30
Akali,2,2,8,2,6,100.0,7.0,4.0,1.0,3.0,2025-05-09 16:08:30
Master Yi,4,2,23,12,22,50.0,3.75,5.75,3.0,5.5,2025-05-09 16:08:30
Rumble,3,0,37,24,24,0.0,2.54,12.33,8.0,8.0,2025-05-09 16:08:30
Kayn,10,9,89,19,56,90.0,7.63,8.9,1.9,5.6,2025-05-09 16:08:30
Annie,1,0,5,6,1,0.0,1.0,5.0,6.0,1.0,2025-05-09 16:08:30
Taliyah,1,1,6,3,12,100.0,6.0,6.0,3.0,12.0,2025-05-09 16:08:30
Camille,1,1,15,1,10,100.0,25.0,15.0,1.0,10.0,2025-05-09 16:08:30
Zilean,1,0,8,11,9,0.0,1.55,8.0,11.0,9.0,2025-05-09 16:08:30
Nasus,1,1,8,1,9,100.0,17.0,8.0,1.0,9.0,2025-05-09 16:08:30
Katarina,1,1,18,2,8,100.0,13.0,18.0,2.0,8.0,2025-05-09 16:08:30
Anivia,3,2,22,7,9,66.67,4.43,7.33,2.33,3.0,2025-05-09 16:08:30
Galio,1,0,23,10,5,0.0,2.8,23.0,10.0,5.0,2025-05-09 16:08:30
Ezreal,1,1,8,8,11,100.0,2.38,8.0,8.0,11.0,2025-05-09 16:08:30
Yasuo,1,0,6,7,4,0.0,1.43,6.0,7.0,4.0,2025-05-09 16:08:30
Lux,1,0,9,13,3,0.0,0.92,9.0,13.0,3.0,2025-05-09 16:08:30
Hwei,1,1,6,5,5,100.0,2.2,6.0,5.0,5.0,2025-05-09 16:08:30
