opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Gragas,2,0,16,22,6,0.0,1.0,8.0,11.0,3.0,2025-05-09 16:08:30
Jarvan Iv,2,2,12,12,18,100.0,2.5,6.0,6.0,9.0,2025-05-09 16:08:30
Jayce,11,7,54,49,58,63.64,2.29,4.91,4.45,5.27,2025-05-09 16:08:30
Nidalee,7,4,28,30,48,57.14,2.53,4.0,4.29,6.86,2025-05-09 16:08:30
Urgot,4,1,20,33,10,25.0,0.91,5.0,8.25,2.5,2025-05-09 16:08:30
Akali,4,0,25,25,16,0.0,1.64,6.25,6.25,4.0,2025-05-09 16:08:30
Ryze,4,2,12,17,27,50.0,2.29,3.0,4.25,6.75,2025-05-09 16:08:30
Yone,1,0,3,4,4,0.0,1.75,3.0,4.0,4.0,2025-05-09 16:08:30
Jax,2,1,11,5,15,50.0,5.2,5.5,2.5,7.5,2025-05-09 16:08:30
Cassiopeia,1,0,4,6,2,0.0,1.0,4.0,6.0,2.0,2025-05-09 16:08:30
Pantheon,1,0,4,3,1,0.0,1.67,4.0,3.0,1.0,2025-05-09 16:08:30
Malphite,2,1,4,7,7,50.0,1.57,2.0,3.5,3.5,2025-05-09 16:08:30
Fiora,9,3,49,41,43,33.33,2.24,5.44,4.56,4.78,2025-05-09 16:08:30
Yasuo,5,1,15,27,11,20.0,0.96,3.0,5.4,2.2,2025-05-09 16:08:30
Kled,1,1,8,3,6,100.0,4.67,8.0,3.0,6.0,2025-05-09 16:08:30
Renekton,1,0,4,10,11,0.0,1.5,4.0,10.0,11.0,2025-05-09 16:08:30
Illaoi,1,1,13,3,6,100.0,6.33,13.0,3.0,6.0,2025-05-09 16:08:30
Irelia,6,4,30,26,23,66.67,2.04,5.0,4.33,3.83,2025-05-09 16:08:30
Rumble,4,2,18,9,9,50.0,3.0,4.5,2.25,2.25,2025-05-09 16:08:30
Shen,1,0,3,5,4,0.0,1.4,3.0,5.0,4.0,2025-05-09 16:08:30
Ornn,3,2,18,14,23,66.67,2.93,6.0,4.67,7.67,2025-05-09 16:08:30
Singed,2,1,17,14,9,50.0,1.86,8.5,7.0,4.5,2025-05-09 16:08:30
Aatrox,5,4,22,17,23,80.0,2.65,4.4,3.4,4.6,2025-05-09 16:08:30
Gwen,1,0,11,9,9,0.0,2.22,11.0,9.0,9.0,2025-05-09 16:08:30
Dr. Mundo,1,1,7,4,3,100.0,2.5,7.0,4.0,3.0,2025-05-09 16:08:30
Yorick,5,4,34,25,47,80.0,3.24,6.8,5.0,9.4,2025-05-09 16:08:30
Karma,1,1,4,2,7,100.0,5.5,4.0,2.0,7.0,2025-05-09 16:08:30
Vayne,1,0,1,1,0,0.0,1.0,1.0,1.0,0.0,2025-05-09 16:08:30
Riven,4,1,22,21,23,25.0,2.14,5.5,5.25,5.75,2025-05-09 16:08:30
Sett,1,1,6,7,10,100.0,2.29,6.0,7.0,10.0,2025-05-09 16:08:30
Ahri,3,1,25,17,21,33.33,2.71,8.33,5.67,7.0,2025-05-09 16:08:30
Wukong,2,2,5,3,4,100.0,3.0,2.5,1.5,2.0,2025-05-09 16:08:30
Chogath,3,0,10,16,9,0.0,1.19,3.33,5.33,3.0,2025-05-09 16:08:30
Sion,2,1,5,6,10,50.0,2.5,2.5,3.0,5.0,2025-05-09 16:08:30
Zac,3,1,15,8,12,33.33,3.38,5.0,2.67,4.0,2025-05-09 16:08:30
Mordekaiser,2,2,8,0,0,100.0,8.0,4.0,0.0,0.0,2025-05-09 16:08:30
Anivia,3,2,14,7,20,66.67,4.86,4.67,2.33,6.67,2025-05-09 16:08:30
Ambessa,5,5,27,6,30,100.0,9.5,5.4,1.2,6.0,2025-05-09 16:08:30
Quinn,2,0,7,10,8,0.0,1.5,3.5,5.0,4.0,2025-05-09 16:08:30
Aurora,4,2,4,8,6,50.0,1.25,1.0,2.0,1.5,2025-05-09 16:08:30
Rengar,2,0,6,14,0,0.0,0.43,3.0,7.0,0.0,2025-05-09 16:08:30
Vladimir,2,0,14,6,6,0.0,3.33,7.0,3.0,3.0,2025-05-09 16:08:30
Qiyana,1,1,3,2,5,100.0,4.0,3.0,2.0,5.0,2025-05-09 16:08:30
Orianna,1,1,7,1,10,100.0,17.0,7.0,1.0,10.0,2025-05-09 16:08:30
Zed,3,1,21,30,43,33.33,2.13,7.0,10.0,14.33,2025-05-09 16:08:30
Fiddlesticks,1,0,2,6,11,0.0,2.17,2.0,6.0,11.0,2025-05-09 16:08:30
KSante,2,2,16,6,14,100.0,5.0,8.0,3.0,7.0,2025-05-09 16:08:30
Ekko,1,1,13,0,5,100.0,18.0,13.0,0.0,5.0,2025-05-09 16:08:30
Olaf,2,0,10,6,14,0.0,4.0,5.0,3.0,7.0,2025-05-09 16:08:30
Garen,1,0,7,2,6,0.0,6.5,7.0,2.0,6.0,2025-05-09 16:08:30
Tryndamere,1,0,5,11,4,0.0,0.82,5.0,11.0,4.0,2025-05-09 16:08:30
Smolder,1,0,1,4,0,0.0,0.25,1.0,4.0,0.0,2025-05-09 16:08:30
Darius,1,1,5,4,10,100.0,3.75,5.0,4.0,10.0,2025-05-09 16:08:30
