opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Lucian,3,1,11,11,20,33.33,2.82,3.67,3.67,6.67,2025-05-09 16:08:30
Yone,3,2,10,13,23,66.67,2.54,3.33,4.33,7.67,2025-05-09 16:08:30
Hwei,7,2,31,26,36,28.57,2.58,4.43,3.71,5.14,2025-05-09 16:08:30
Ahri,3,1,16,13,21,33.33,2.85,5.33,4.33,7.0,2025-05-09 16:08:30
Mel,7,5,45,34,70,71.43,3.38,6.43,4.86,10.0,2025-05-09 16:08:30
Malphite,2,0,14,18,20,0.0,1.89,7.0,9.0,10.0,2025-05-09 16:08:30
Yasuo,1,1,7,6,13,100.0,3.33,7.0,6.0,13.0,2025-05-09 16:08:30
Taliyah,4,3,23,8,21,75.0,5.5,5.75,2.0,5.25,2025-05-09 16:08:30
Twisted Fate,3,0,8,8,10,0.0,2.25,2.67,2.67,3.33,2025-05-09 16:08:30
Aurora,7,4,37,33,50,57.14,2.64,5.29,4.71,7.14,2025-05-09 16:08:30
Ezreal,3,1,33,13,30,33.33,4.85,11.0,4.33,10.0,2025-05-09 16:08:30
Viktor,3,3,13,10,31,100.0,4.4,4.33,3.33,10.33,2025-05-09 16:08:30
Bard,5,2,21,20,53,40.0,3.7,4.2,4.0,10.6,2025-05-09 16:08:30
Nautilus,1,1,10,4,20,100.0,7.5,10.0,4.0,20.0,2025-05-09 16:08:30
Ziggs,1,0,1,4,4,0.0,1.25,1.0,4.0,4.0,2025-05-09 16:08:30
Azir,7,6,39,18,39,85.71,4.33,5.57,2.57,5.57,2025-05-09 16:08:30
Heimerdinger,1,0,9,4,7,0.0,4.0,9.0,4.0,7.0,2025-05-09 16:08:30
Syndra,4,1,21,17,22,25.0,2.53,5.25,4.25,5.5,2025-05-09 16:08:30
Gangplank,1,0,7,6,6,0.0,2.17,7.0,6.0,6.0,2025-05-09 16:08:30
Gragas,1,0,4,6,3,0.0,1.17,4.0,6.0,3.0,2025-05-09 16:08:30
Sona,3,3,20,14,40,100.0,4.29,6.67,4.67,13.33,2025-05-09 16:08:30
Miss Fortune,1,1,7,0,5,100.0,12.0,7.0,0.0,5.0,2025-05-09 16:08:30
Zed,1,1,3,3,5,100.0,2.67,3.0,3.0,5.0,2025-05-09 16:08:30
Alistar,1,1,11,1,9,100.0,20.0,11.0,1.0,9.0,2025-05-09 16:08:30
Rell,1,1,1,10,15,100.0,1.6,1.0,10.0,15.0,2025-05-09 16:08:30
Ryze,3,3,16,10,42,100.0,5.8,5.33,3.33,14.0,2025-05-09 16:08:30
Jayce,2,1,6,6,1,50.0,1.17,3.0,3.0,0.5,2025-05-09 16:08:30
Cassiopeia,1,1,16,2,9,100.0,12.5,16.0,2.0,9.0,2025-05-09 16:08:30
Kaisa,1,1,6,5,7,100.0,2.6,6.0,5.0,7.0,2025-05-09 16:08:30
Thresh,1,0,9,9,15,0.0,2.67,9.0,9.0,15.0,2025-05-09 16:08:30
Lee Sin,1,0,5,6,4,0.0,1.5,5.0,6.0,4.0,2025-05-09 16:08:30
Lux,1,1,4,3,8,100.0,4.0,4.0,3.0,8.0,2025-05-09 16:08:30
Taric,1,0,7,6,13,0.0,3.33,7.0,6.0,13.0,2025-05-09 16:08:30
Senna,1,1,0,12,11,100.0,0.92,0.0,12.0,11.0,2025-05-09 16:08:30
Karthus,1,1,7,5,15,100.0,4.4,7.0,5.0,15.0,2025-05-09 16:08:30
Pyke,1,1,1,0,3,100.0,4.0,1.0,0.0,3.0,2025-05-09 16:08:30
LeBlanc,1,0,3,5,9,0.0,2.4,3.0,5.0,9.0,2025-05-09 16:08:30
Anivia,1,1,12,4,12,100.0,6.0,12.0,4.0,12.0,2025-05-09 16:08:30
Irelia,1,1,1,3,7,100.0,2.67,1.0,3.0,7.0,2025-05-09 16:08:30
Seraphine,1,1,5,1,1,100.0,6.0,5.0,1.0,1.0,2025-05-09 16:08:30
Malzahar,1,0,4,4,9,0.0,3.25,4.0,4.0,9.0,2025-05-09 16:08:30
Ashe,1,1,9,9,14,100.0,2.56,9.0,9.0,14.0,2025-05-09 16:08:30
Milio,2,1,7,9,26,50.0,3.67,3.5,4.5,13.0,2025-05-09 16:08:30
Zyra,1,1,5,7,18,100.0,3.29,5.0,7.0,18.0,2025-05-09 16:08:30
Nami,1,1,0,8,8,100.0,1.0,0.0,8.0,8.0,2025-05-09 16:08:30
Orianna,1,0,5,3,8,0.0,4.33,5.0,3.0,8.0,2025-05-09 16:08:30
Nasus,1,0,4,5,7,0.0,2.2,4.0,5.0,7.0,2025-05-09 16:08:30
Ekko,1,0,1,2,1,0.0,1.0,1.0,2.0,1.0,2025-05-09 16:08:30
