opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nunu & Willump,9,2,59,69,112,22.22,2.48,6.56,7.67,12.44,2025-05-09 16:08:30
Lillia,10,5,48,65,128,50.0,2.71,4.8,6.5,12.8,2025-05-09 16:08:30
Skarner,2,0,6,14,20,0.0,1.86,3.0,7.0,10.0,2025-05-09 16:08:30
Xin Zhao,7,5,35,26,73,71.43,4.15,5.0,3.71,10.43,2025-05-09 16:08:30
Volibear,4,1,7,21,28,25.0,1.67,1.75,5.25,7.0,2025-05-09 16:08:30
Vi,5,3,29,27,57,60.0,3.19,5.8,5.4,11.4,2025-05-09 16:08:30
Corki,2,2,8,6,16,100.0,4.0,4.0,3.0,8.0,2025-05-09 16:08:30
Rengar,3,2,16,11,35,66.67,4.64,5.33,3.67,11.67,2025-05-09 16:08:30
Varus,1,1,4,2,13,100.0,8.5,4.0,2.0,13.0,2025-05-09 16:08:30
Tristana,2,2,4,14,30,100.0,2.43,2.0,7.0,15.0,2025-05-09 16:08:30
Caitlyn,5,4,24,18,53,80.0,4.28,4.8,3.6,10.6,2025-05-09 16:08:30
Aphelios,1,0,1,6,7,0.0,1.33,1.0,6.0,7.0,2025-05-09 16:08:30
Nidalee,2,0,11,10,19,0.0,3.0,5.5,5.0,9.5,2025-05-09 16:08:30
Zac,1,1,4,3,12,100.0,5.33,4.0,3.0,12.0,2025-05-09 16:08:30
Elise,1,1,4,0,13,100.0,17.0,4.0,0.0,13.0,2025-05-09 16:08:30
Dr. Mundo,5,0,24,36,30,0.0,1.5,4.8,7.2,6.0,2025-05-09 16:08:30
Karma,3,2,7,10,24,66.67,3.1,2.33,3.33,8.0,2025-05-09 16:08:30
Zed,8,6,47,23,92,75.0,6.04,5.88,2.88,11.5,2025-05-09 16:08:30
Leona,1,0,2,9,10,0.0,1.33,2.0,9.0,10.0,2025-05-09 16:08:30
Jarvan Iv,3,2,16,19,45,66.67,3.21,5.33,6.33,15.0,2025-05-09 16:08:30
Ekko,2,2,18,8,28,100.0,5.75,9.0,4.0,14.0,2025-05-09 16:08:30
Lissandra,1,0,3,9,6,0.0,1.0,3.0,9.0,6.0,2025-05-09 16:08:30
Belveth,3,2,3,10,21,66.67,2.4,1.0,3.33,7.0,2025-05-09 16:08:30
Viego,8,3,30,38,53,37.5,2.18,3.75,4.75,6.62,2025-05-09 16:08:30
Taric,2,0,4,20,10,0.0,0.7,2.0,10.0,5.0,2025-05-09 16:08:30
Zeri,2,2,2,8,24,100.0,3.25,1.0,4.0,12.0,2025-05-09 16:08:30
Lucian,1,1,0,5,10,100.0,2.0,0.0,5.0,10.0,2025-05-09 16:08:30
Braum,2,2,6,4,22,100.0,7.0,3.0,2.0,11.0,2025-05-09 16:08:30
Soraka,1,1,4,3,15,100.0,6.33,4.0,3.0,15.0,2025-05-09 16:08:30
Lee Sin,4,2,16,16,28,50.0,2.75,4.0,4.0,7.0,2025-05-09 16:08:30
Poppy,6,1,20,45,38,16.67,1.29,3.33,7.5,6.33,2025-05-09 16:08:30
Ivern,4,1,20,25,35,25.0,2.2,5.0,6.25,8.75,2025-05-09 16:08:30
Master Yi,1,1,4,5,11,100.0,3.0,4.0,5.0,11.0,2025-05-09 16:08:30
Gwen,2,0,6,8,12,0.0,2.25,3.0,4.0,6.0,2025-05-09 16:08:30
Diana,3,2,14,10,22,66.67,3.6,4.67,3.33,7.33,2025-05-09 16:08:30
Miss Fortune,1,0,2,3,2,0.0,1.33,2.0,3.0,2.0,2025-05-09 16:08:30
Ezreal,1,0,7,6,4,0.0,1.83,7.0,6.0,4.0,2025-05-09 16:08:30
Pyke,1,1,5,5,16,100.0,4.2,5.0,5.0,16.0,2025-05-09 16:08:30
Kindred,3,2,35,18,38,66.67,4.06,11.67,6.0,12.67,2025-05-09 16:08:30
Rumble,1,1,6,1,14,100.0,20.0,6.0,1.0,14.0,2025-05-09 16:08:30
Bard,2,1,9,15,21,50.0,2.0,4.5,7.5,10.5,2025-05-09 16:08:30
Orianna,1,0,4,4,6,0.0,2.5,4.0,4.0,6.0,2025-05-09 16:08:30
Qiyana,1,0,4,5,3,0.0,1.4,4.0,5.0,3.0,2025-05-09 16:08:30
Udyr,1,1,4,1,5,100.0,9.0,4.0,1.0,5.0,2025-05-09 16:08:30
Shaco,2,0,12,15,29,0.0,2.73,6.0,7.5,14.5,2025-05-09 16:08:30
Evelynn,1,1,14,4,12,100.0,6.5,14.0,4.0,12.0,2025-05-09 16:08:30
Sivir,3,2,8,9,12,66.67,2.22,2.67,3.0,4.0,2025-05-09 16:08:30
Draven,1,1,3,5,10,100.0,2.6,3.0,5.0,10.0,2025-05-09 16:08:30
Talon,4,3,10,16,53,75.0,3.94,2.5,4.0,13.25,2025-05-09 16:08:30
Hwei,2,2,12,4,10,100.0,5.5,6.0,2.0,5.0,2025-05-09 16:08:30
Senna,1,0,3,8,4,0.0,0.88,3.0,8.0,4.0,2025-05-09 16:08:30
Nilah,1,0,2,3,3,0.0,1.67,2.0,3.0,3.0,2025-05-09 16:08:30
Brand,4,1,34,25,42,25.0,3.04,8.5,6.25,10.5,2025-05-09 16:08:30
Ambessa,1,1,9,1,12,100.0,21.0,9.0,1.0,12.0,2025-05-09 16:08:30
Naafiri,1,1,5,4,19,100.0,6.0,5.0,4.0,19.0,2025-05-09 16:08:30
Thresh,3,2,13,16,47,66.67,3.75,4.33,5.33,15.67,2025-05-09 16:08:30
Nami,2,1,2,4,4,50.0,1.5,1.0,2.0,2.0,2025-05-09 16:08:30
Kayn,1,0,11,6,20,0.0,5.17,11.0,6.0,20.0,2025-05-09 16:08:30
Jhin,1,0,6,6,7,0.0,2.17,6.0,6.0,7.0,2025-05-09 16:08:30
Alistar,1,0,0,2,0,0.0,0.0,0.0,2.0,0.0,2025-05-09 16:08:30
Sona,1,1,3,4,20,100.0,5.75,3.0,4.0,20.0,2025-05-09 16:08:30
Blitzcrank,1,0,2,11,17,0.0,1.73,2.0,11.0,17.0,2025-05-09 16:08:30
Xerath,1,0,3,6,12,0.0,2.5,3.0,6.0,12.0,2025-05-09 16:08:30
Lulu,1,0,3,6,6,0.0,1.5,3.0,6.0,6.0,2025-05-09 16:08:30
