opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ambessa,11,7,68,55,94,63.64,2.95,6.18,5.0,8.55,2025-05-09 16:08:30
Sion,3,2,9,4,10,66.67,4.75,3.0,1.33,3.33,2025-05-09 16:08:30
Shen,6,6,34,9,43,100.0,8.56,5.67,1.5,7.17,2025-05-09 16:08:30
Riven,5,1,25,29,25,20.0,1.72,5.0,5.8,5.0,2025-05-09 16:08:30
Gnar,3,1,12,21,12,33.33,1.14,4.0,7.0,4.0,2025-05-09 16:08:30
Jayce,5,4,38,22,28,80.0,3.0,7.6,4.4,5.6,2025-05-09 16:08:30
Azir,1,0,2,4,1,0.0,0.75,2.0,4.0,1.0,2025-05-09 16:08:30
Darius,3,2,15,11,11,66.67,2.36,5.0,3.67,3.67,2025-05-09 16:08:30
Ornn,2,1,10,8,12,50.0,2.75,5.0,4.0,6.0,2025-05-09 16:08:30
Yone,4,4,27,8,8,100.0,4.38,6.75,2.0,2.0,2025-05-09 16:08:30
Gragas,3,2,7,12,10,66.67,1.42,2.33,4.0,3.33,2025-05-09 16:08:30
Taliyah,4,0,20,28,18,0.0,1.36,5.0,7.0,4.5,2025-05-09 16:08:30
Nidalee,4,1,19,23,15,25.0,1.48,4.75,5.75,3.75,2025-05-09 16:08:30
Xin Zhao,1,1,6,7,13,100.0,2.71,6.0,7.0,13.0,2025-05-09 16:08:30
Jax,3,2,17,22,23,66.67,1.82,5.67,7.33,7.67,2025-05-09 16:08:30
Camille,1,0,2,6,2,0.0,0.67,2.0,6.0,2.0,2025-05-09 16:08:30
Mel,2,0,16,12,14,0.0,2.5,8.0,6.0,7.0,2025-05-09 16:08:30
Olaf,1,1,5,5,17,100.0,4.4,5.0,5.0,17.0,2025-05-09 16:08:30
Urgot,8,3,24,46,41,37.5,1.41,3.0,5.75,5.12,2025-05-09 16:08:30
Yorick,2,1,2,4,14,50.0,4.0,1.0,2.0,7.0,2025-05-09 16:08:30
Nasus,1,0,1,6,11,0.0,2.0,1.0,6.0,11.0,2025-05-09 16:08:30
Renekton,4,3,18,18,16,75.0,1.89,4.5,4.5,4.0,2025-05-09 16:08:30
Vladimir,1,1,14,3,15,100.0,9.67,14.0,3.0,15.0,2025-05-09 16:08:30
Fiora,3,0,14,23,20,0.0,1.48,4.67,7.67,6.67,2025-05-09 16:08:30
Singed,2,0,4,12,6,0.0,0.83,2.0,6.0,3.0,2025-05-09 16:08:30
Irelia,4,2,19,30,15,50.0,1.13,4.75,7.5,3.75,2025-05-09 16:08:30
Garen,1,0,2,8,2,0.0,0.5,2.0,8.0,2.0,2025-05-09 16:08:30
Rumble,4,1,13,23,7,25.0,0.87,3.25,5.75,1.75,2025-05-09 16:08:30
Teemo,3,2,12,9,15,66.67,3.0,4.0,3.0,5.0,2025-05-09 16:08:30
Yasuo,5,0,19,49,14,0.0,0.67,3.8,9.8,2.8,2025-05-09 16:08:30
Akshan,2,0,4,8,4,0.0,1.0,2.0,4.0,2.0,2025-05-09 16:08:30
Vayne,1,0,12,10,7,0.0,1.9,12.0,10.0,7.0,2025-05-09 16:08:30
Zed,5,3,35,33,13,60.0,1.45,7.0,6.6,2.6,2025-05-09 16:08:30
Quinn,1,0,7,7,7,0.0,2.0,7.0,7.0,7.0,2025-05-09 16:08:30
Hwei,1,0,2,10,1,0.0,0.3,2.0,10.0,1.0,2025-05-09 16:08:30
Karthus,1,0,5,9,5,0.0,1.11,5.0,9.0,5.0,2025-05-09 16:08:30
Neeko,1,0,1,5,2,0.0,0.6,1.0,5.0,2.0,2025-05-09 16:08:30
Tryndamere,1,0,4,5,2,0.0,1.2,4.0,5.0,2.0,2025-05-09 16:08:30
Kayle,1,1,0,0,0,100.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Aurora,1,1,4,5,9,100.0,2.6,4.0,5.0,9.0,2025-05-09 16:08:30
