opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Taliyah,27,12,138,133,214,44.44,2.65,5.11,4.93,7.93,2025-05-09 16:08:30
Azir,3,0,8,14,22,0.0,2.14,2.67,4.67,7.33,2025-05-09 16:08:30
Twisted Fate,3,3,30,6,31,100.0,10.17,10.0,2.0,10.33,2025-05-09 16:08:30
Sion,2,2,12,6,10,100.0,3.67,6.0,3.0,5.0,2025-05-09 16:08:30
Malphite,2,2,26,8,12,100.0,4.75,13.0,4.0,6.0,2025-05-09 16:08:30
Annie,8,6,54,33,56,75.0,3.33,6.75,4.12,7.0,2025-05-09 16:08:30
Lucian,4,4,14,18,42,100.0,3.11,3.5,4.5,10.5,2025-05-09 16:08:30
Vayne,3,3,11,11,21,100.0,2.91,3.67,3.67,7.0,2025-05-09 16:08:30
Sivir,2,0,6,12,22,0.0,2.33,3.0,6.0,11.0,2025-05-09 16:08:30
Sylas,17,5,89,79,108,29.41,2.49,5.24,4.65,6.35,2025-05-09 16:08:30
Aurelion Sol,4,4,20,2,32,100.0,26.0,5.0,0.5,8.0,2025-05-09 16:08:30
Zac,1,0,1,6,7,0.0,1.33,1.0,6.0,7.0,2025-05-09 16:08:30
Ezreal,1,0,0,9,3,0.0,0.33,0.0,9.0,3.0,2025-05-09 16:08:30
Mel,5,2,27,17,45,40.0,4.24,5.4,3.4,9.0,2025-05-09 16:08:30
Talon,2,2,8,7,16,100.0,3.43,4.0,3.5,8.0,2025-05-09 16:08:30
Yone,12,2,52,63,84,16.67,2.16,4.33,5.25,7.0,2025-05-09 16:08:30
Yasuo,3,2,9,8,21,66.67,3.75,3.0,2.67,7.0,2025-05-09 16:08:30
Akali,5,3,20,16,39,60.0,3.69,4.0,3.2,7.8,2025-05-09 16:08:30
LeBlanc,3,0,8,7,12,0.0,2.86,2.67,2.33,4.0,2025-05-09 16:08:30
Tristana,4,0,22,26,24,0.0,1.77,5.5,6.5,6.0,2025-05-09 16:08:30
Lissandra,4,4,25,8,32,100.0,7.12,6.25,2.0,8.0,2025-05-09 16:08:30
Viktor,5,4,45,15,46,80.0,6.07,9.0,3.0,9.2,2025-05-09 16:08:30
Karma,5,2,28,18,40,40.0,3.78,5.6,3.6,8.0,2025-05-09 16:08:30
Jinx,1,1,2,7,11,100.0,1.86,2.0,7.0,11.0,2025-05-09 16:08:30
Kayle,1,1,4,2,2,100.0,3.0,4.0,2.0,2.0,2025-05-09 16:08:30
Chogath,2,2,10,8,18,100.0,3.5,5.0,4.0,9.0,2025-05-09 16:08:30
Gangplank,1,1,3,6,11,100.0,2.33,3.0,6.0,11.0,2025-05-09 16:08:30
Kennen,4,1,13,30,27,25.0,1.33,3.25,7.5,6.75,2025-05-09 16:08:30
Zed,10,4,51,63,73,40.0,1.97,5.1,6.3,7.3,2025-05-09 16:08:30
Aurora,8,6,81,34,71,75.0,4.47,10.12,4.25,8.88,2025-05-09 16:08:30
Urgot,1,1,2,5,16,100.0,3.6,2.0,5.0,16.0,2025-05-09 16:08:30
Vex,1,0,4,6,1,0.0,0.83,4.0,6.0,1.0,2025-05-09 16:08:30
Syndra,2,1,0,6,4,50.0,0.67,0.0,3.0,2.0,2025-05-09 16:08:30
Hwei,4,2,8,8,18,50.0,3.25,2.0,2.0,4.5,2025-05-09 16:08:30
Ryze,5,3,52,22,47,60.0,4.5,10.4,4.4,9.4,2025-05-09 16:08:30
Kassadin,4,4,28,2,26,100.0,27.0,7.0,0.5,6.5,2025-05-09 16:08:30
Katarina,2,1,12,8,18,50.0,3.75,6.0,4.0,9.0,2025-05-09 16:08:30
VelKoz,2,2,10,10,20,100.0,3.0,5.0,5.0,10.0,2025-05-09 16:08:30
Veigar,6,3,26,34,56,50.0,2.41,4.33,5.67,9.33,2025-05-09 16:08:30
Zilean,4,0,23,30,28,0.0,1.7,5.75,7.5,7.0,2025-05-09 16:08:30
Zoe,2,1,13,12,21,50.0,2.83,6.5,6.0,10.5,2025-05-09 16:08:30
Maokai,1,1,6,0,6,100.0,12.0,6.0,0.0,6.0,2025-05-09 16:08:30
Vladimir,2,2,5,0,7,100.0,12.0,2.5,0.0,3.5,2025-05-09 16:08:30
Ambessa,1,1,11,3,7,100.0,6.0,11.0,3.0,7.0,2025-05-09 16:08:30
Xerath,2,2,10,11,8,100.0,1.64,5.0,5.5,4.0,2025-05-09 16:08:30
Gragas,1,1,2,4,15,100.0,4.25,2.0,4.0,15.0,2025-05-09 16:08:30
Pantheon,1,1,11,7,14,100.0,3.57,11.0,7.0,14.0,2025-05-09 16:08:30
Corki,1,1,12,1,9,100.0,21.0,12.0,1.0,9.0,2025-05-09 16:08:30
Akshan,1,1,11,5,8,100.0,3.8,11.0,5.0,8.0,2025-05-09 16:08:30
Lux,3,1,10,9,14,33.33,2.67,3.33,3.0,4.67,2025-05-09 16:08:30
Qiyana,1,1,6,4,3,100.0,2.25,6.0,4.0,3.0,2025-05-09 16:08:30
Galio,3,3,17,10,35,100.0,5.2,5.67,3.33,11.67,2025-05-09 16:08:30
Ekko,1,1,8,5,17,100.0,5.0,8.0,5.0,17.0,2025-05-09 16:08:30
Irelia,1,0,8,7,13,0.0,3.0,8.0,7.0,13.0,2025-05-09 16:08:30
Anivia,1,0,2,5,1,0.0,0.6,2.0,5.0,1.0,2025-05-09 16:08:30
