opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Sylas,16,3,75,66,58,18.75,2.02,4.69,4.12,3.62,2025-05-09 16:08:30
Vex,1,1,6,3,8,100.0,4.67,6.0,3.0,8.0,2025-05-09 16:08:30
Orianna,2,1,13,11,17,50.0,2.73,6.5,5.5,8.5,2025-05-09 16:08:30
Azir,4,4,33,16,33,100.0,4.12,8.25,4.0,8.25,2025-05-09 16:08:30
Kaisa,1,0,2,5,2,0.0,0.8,2.0,5.0,2.0,2025-05-09 16:08:30
Heimerdinger,1,1,13,10,12,100.0,2.5,13.0,10.0,12.0,2025-05-09 16:08:30
Ambessa,5,2,37,40,48,40.0,2.12,7.4,8.0,9.6,2025-05-09 16:08:30
Rumble,3,1,39,19,17,33.33,2.95,13.0,6.33,5.67,2025-05-09 16:08:30
Riven,5,3,26,31,40,60.0,2.13,5.2,6.2,8.0,2025-05-09 16:08:30
Taliyah,8,5,34,40,53,62.5,2.17,4.25,5.0,6.62,2025-05-09 16:08:30
Galio,5,1,38,18,28,20.0,3.67,7.6,3.6,5.6,2025-05-09 16:08:30
Syndra,2,1,8,11,15,50.0,2.09,4.0,5.5,7.5,2025-05-09 16:08:30
Neeko,2,1,18,20,9,50.0,1.35,9.0,10.0,4.5,2025-05-09 16:08:30
Lucian,5,0,25,33,14,0.0,1.18,5.0,6.6,2.8,2025-05-09 16:08:30
Veigar,4,0,16,18,8,0.0,1.33,4.0,4.5,2.0,2025-05-09 16:08:30
Jhin,2,0,24,10,6,0.0,3.0,12.0,5.0,3.0,2025-05-09 16:08:30
Corki,2,2,13,13,23,100.0,2.77,6.5,6.5,11.5,2025-05-09 16:08:30
Zoe,8,4,95,37,60,50.0,4.19,11.88,4.62,7.5,2025-05-09 16:08:30
Hwei,4,3,17,14,22,75.0,2.79,4.25,3.5,5.5,2025-05-09 16:08:30
Qiyana,2,1,16,12,10,50.0,2.17,8.0,6.0,5.0,2025-05-09 16:08:30
Naafiri,1,1,7,8,7,100.0,1.75,7.0,8.0,7.0,2025-05-09 16:08:30
Ivern,2,2,26,12,18,100.0,3.67,13.0,6.0,9.0,2025-05-09 16:08:30
Katarina,3,0,5,12,10,0.0,1.25,1.67,4.0,3.33,2025-05-09 16:08:30
Malzahar,1,1,12,5,11,100.0,4.6,12.0,5.0,11.0,2025-05-09 16:08:30
Annie,3,1,13,15,45,33.33,3.87,4.33,5.0,15.0,2025-05-09 16:08:30
Ryze,3,2,18,11,12,66.67,2.73,6.0,3.67,4.0,2025-05-09 16:08:30
Akshan,1,0,9,7,4,0.0,1.86,9.0,7.0,4.0,2025-05-09 16:08:30
Shen,2,0,5,11,8,0.0,1.18,2.5,5.5,4.0,2025-05-09 16:08:30
Sett,3,2,16,21,31,66.67,2.24,5.33,7.0,10.33,2025-05-09 16:08:30
Vladimir,6,4,39,38,57,66.67,2.53,6.5,6.33,9.5,2025-05-09 16:08:30
Yasuo,5,3,50,28,40,60.0,3.21,10.0,5.6,8.0,2025-05-09 16:08:30
Kennen,1,0,6,5,8,0.0,2.8,6.0,5.0,8.0,2025-05-09 16:08:30
Yone,12,10,98,58,103,83.33,3.47,8.17,4.83,8.58,2025-05-09 16:08:30
Yorick,1,1,11,1,11,100.0,22.0,11.0,1.0,11.0,2025-05-09 16:08:30
Fizz,1,1,12,7,7,100.0,2.71,12.0,7.0,7.0,2025-05-09 16:08:30
Gangplank,1,0,5,8,7,0.0,1.5,5.0,8.0,7.0,2025-05-09 16:08:30
Ahri,8,2,55,44,66,25.0,2.75,6.88,5.5,8.25,2025-05-09 16:08:30
Zed,5,5,24,32,42,100.0,2.06,4.8,6.4,8.4,2025-05-09 16:08:30
Zeri,1,0,3,5,6,0.0,1.8,3.0,5.0,6.0,2025-05-09 16:08:30
Fiora,2,1,11,6,17,50.0,4.67,5.5,3.0,8.5,2025-05-09 16:08:30
Varus,1,0,1,10,3,0.0,0.4,1.0,10.0,3.0,2025-05-09 16:08:30
Urgot,1,0,12,9,7,0.0,2.11,12.0,9.0,7.0,2025-05-09 16:08:30
Zac,4,4,30,6,26,100.0,9.33,7.5,1.5,6.5,2025-05-09 16:08:30
Teemo,2,2,36,6,10,100.0,7.67,18.0,3.0,5.0,2025-05-09 16:08:30
Mel,2,0,18,14,12,0.0,2.14,9.0,7.0,6.0,2025-05-09 16:08:30
Nidalee,4,2,25,14,25,50.0,3.57,6.25,3.5,6.25,2025-05-09 16:08:30
Darius,1,1,3,3,6,100.0,3.0,3.0,3.0,6.0,2025-05-09 16:08:30
Chogath,2,2,18,12,20,100.0,3.17,9.0,6.0,10.0,2025-05-09 16:08:30
Jayce,1,1,8,5,8,100.0,3.2,8.0,5.0,8.0,2025-05-09 16:08:30
Zilean,2,2,14,4,18,100.0,8.0,7.0,2.0,9.0,2025-05-09 16:08:30
Graves,1,1,19,3,8,100.0,9.0,19.0,3.0,8.0,2025-05-09 16:08:30
Viktor,2,2,16,14,28,100.0,3.14,8.0,7.0,14.0,2025-05-09 16:08:30
