opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Qiyana,1,0,1,4,0,0.0,0.25,1.0,4.0,0.0,2025-05-09 16:08:30
Ambessa,2,0,30,8,20,0.0,6.25,15.0,4.0,10.0,2025-05-09 16:08:30
Sejuani,1,1,4,3,11,100.0,5.0,4.0,3.0,11.0,2025-05-09 16:08:30
Viego,4,0,28,24,26,0.0,2.25,7.0,6.0,6.5,2025-05-09 16:08:30
Nunu & Willump,3,0,11,11,4,0.0,1.36,3.67,3.67,1.33,2025-05-09 16:08:30
Pantheon,1,0,7,10,6,0.0,1.3,7.0,10.0,6.0,2025-05-09 16:08:30
Vi,2,1,28,4,12,50.0,10.0,14.0,2.0,6.0,2025-05-09 16:08:30
Naafiri,1,0,7,4,6,0.0,3.25,7.0,4.0,6.0,2025-05-09 16:08:30
Karthus,3,3,31,5,25,100.0,11.2,10.33,1.67,8.33,2025-05-09 16:08:30
Ivern,1,0,7,3,6,0.0,4.33,7.0,3.0,6.0,2025-05-09 16:08:30
Udyr,2,0,6,5,5,0.0,2.2,3.0,2.5,2.5,2025-05-09 16:08:30
Lee Sin,2,2,17,3,9,100.0,8.67,8.5,1.5,4.5,2025-05-09 16:08:30
Xin Zhao,2,1,8,14,19,50.0,1.93,4.0,7.0,9.5,2025-05-09 16:08:30
Poppy,1,1,3,7,10,100.0,1.86,3.0,7.0,10.0,2025-05-09 16:08:30
Fiddlesticks,1,1,6,8,10,100.0,2.0,6.0,8.0,10.0,2025-05-09 16:08:30
Morgana,3,0,21,10,16,0.0,3.7,7.0,3.33,5.33,2025-05-09 16:08:30
Gragas,1,0,2,1,3,0.0,5.0,2.0,1.0,3.0,2025-05-09 16:08:30
Lillia,3,0,18,18,14,0.0,1.78,6.0,6.0,4.67,2025-05-09 16:08:30
Shaco,2,1,14,6,14,50.0,4.67,7.0,3.0,7.0,2025-05-09 16:08:30
Hecarim,1,1,19,4,9,100.0,7.0,19.0,4.0,9.0,2025-05-09 16:08:30
Talon,3,3,34,11,24,100.0,5.27,11.33,3.67,8.0,2025-05-09 16:08:30
Volibear,2,0,12,10,10,0.0,2.2,6.0,5.0,5.0,2025-05-09 16:08:30
Ekko,1,0,9,7,3,0.0,1.71,9.0,7.0,3.0,2025-05-09 16:08:30
Evelynn,1,1,12,10,16,100.0,2.8,12.0,10.0,16.0,2025-05-09 16:08:30
KhaZix,1,1,17,6,13,100.0,5.0,17.0,6.0,13.0,2025-05-09 16:08:30
Jarvan Iv,1,1,9,4,10,100.0,4.75,9.0,4.0,10.0,2025-05-09 16:08:30
