opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Lillia,6,2,23,41,40,33.33,1.54,3.83,6.83,6.67,2025-05-09 16:08:30
Naafiri,2,0,12,18,2,0.0,0.78,6.0,9.0,1.0,2025-05-09 16:08:30
Pyke,3,0,6,27,26,0.0,1.19,2.0,9.0,8.67,2025-05-09 16:08:30
Reksai,1,0,3,8,4,0.0,0.88,3.0,8.0,4.0,2025-05-09 16:08:30
Katarina,1,0,10,8,12,0.0,2.75,10.0,8.0,12.0,2025-05-09 16:08:30
Zoe,1,0,1,5,4,0.0,1.0,1.0,5.0,4.0,2025-05-09 16:08:30
Karthus,1,0,5,11,8,0.0,1.18,5.0,11.0,8.0,2025-05-09 16:08:30
Lissandra,1,0,6,8,6,0.0,1.5,6.0,8.0,6.0,2025-05-09 16:08:30
Zed,3,2,13,18,21,66.67,1.89,4.33,6.0,7.0,2025-05-09 16:08:30
Viego,3,3,38,8,30,100.0,8.5,12.67,2.67,10.0,2025-05-09 16:08:30
Ivern,2,0,17,15,17,0.0,2.27,8.5,7.5,8.5,2025-05-09 16:08:30
Annie,1,0,2,6,0,0.0,0.33,2.0,6.0,0.0,2025-05-09 16:08:30
Ezreal,2,2,18,0,22,100.0,40.0,9.0,0.0,11.0,2025-05-09 16:08:30
Varus,1,0,3,8,3,0.0,0.75,3.0,8.0,3.0,2025-05-09 16:08:30
Shaco,1,0,6,11,9,0.0,1.36,6.0,11.0,9.0,2025-05-09 16:08:30
Jhin,1,0,5,6,8,0.0,2.17,5.0,6.0,8.0,2025-05-09 16:08:30
Kindred,1,1,4,0,4,100.0,8.0,4.0,0.0,4.0,2025-05-09 16:08:30
Ashe,1,0,2,3,4,0.0,2.0,2.0,3.0,4.0,2025-05-09 16:08:30
Xin Zhao,1,1,4,10,14,100.0,1.8,4.0,10.0,14.0,2025-05-09 16:08:30
Rell,1,1,1,12,6,100.0,0.58,1.0,12.0,6.0,2025-05-09 16:08:30
Nilah,1,0,5,13,7,0.0,0.92,5.0,13.0,7.0,2025-05-09 16:08:30
Kayn,1,1,5,6,12,100.0,2.83,5.0,6.0,12.0,2025-05-09 16:08:30
Nocturne,1,0,5,10,3,0.0,0.8,5.0,10.0,3.0,2025-05-09 16:08:30
Hecarim,1,0,11,9,1,0.0,1.33,11.0,9.0,1.0,2025-05-09 16:08:30
Taliyah,1,0,5,9,8,0.0,1.44,5.0,9.0,8.0,2025-05-09 16:08:30
Jarvan Iv,1,1,4,6,12,100.0,2.67,4.0,6.0,12.0,2025-05-09 16:08:30
