opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Viktor,2,1,12,12,15,50.0,2.25,6.0,6.0,7.5,2025-05-09 16:08:30
Galio,1,0,8,8,2,0.0,1.25,8.0,8.0,2.0,2025-05-09 16:08:30
Corki,1,1,6,3,3,100.0,3.0,6.0,3.0,3.0,2025-05-09 16:08:30
Aurora,1,0,9,9,2,0.0,1.22,9.0,9.0,2.0,2025-05-09 16:08:30
Veigar,1,0,7,5,1,0.0,1.6,7.0,5.0,1.0,2025-05-09 16:08:30
LeBlanc,1,1,14,3,7,100.0,7.0,14.0,3.0,7.0,2025-05-09 16:08:30
Yasuo,1,0,10,8,10,0.0,2.5,10.0,8.0,10.0,2025-05-09 16:08:30
Tristana,1,1,4,6,7,100.0,1.83,4.0,6.0,7.0,2025-05-09 16:08:30
Garen,1,0,5,13,1,0.0,0.46,5.0,13.0,1.0,2025-05-09 16:08:30
Zoe,1,0,13,10,11,0.0,2.4,13.0,10.0,11.0,2025-05-09 16:08:30
Syndra,1,0,10,5,3,0.0,2.6,10.0,5.0,3.0,2025-05-09 16:08:30
Irelia,1,0,2,6,4,0.0,1.0,2.0,6.0,4.0,2025-05-09 16:08:30
Zed,1,0,9,11,7,0.0,1.45,9.0,11.0,7.0,2025-05-09 16:08:30
