opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nasus,3,2,12,19,6,66.67,0.95,4.0,6.33,2.0,2025-05-09 16:08:30
Sett,3,1,17,13,11,33.33,2.15,5.67,4.33,3.67,2025-05-09 16:08:30
Renekton,3,1,2,11,1,33.33,0.27,0.67,3.67,0.33,2025-05-09 16:08:30
Yone,2,0,3,14,3,0.0,0.43,1.5,7.0,1.5,2025-05-09 16:08:30
Kayle,3,0,8,15,10,0.0,1.2,2.67,5.0,3.33,2025-05-09 16:08:30
Urgot,3,0,5,15,9,0.0,0.93,1.67,5.0,3.0,2025-05-09 16:08:30
Camille,2,0,6,16,3,0.0,0.56,3.0,8.0,1.5,2025-05-09 16:08:30
Sion,1,0,3,7,3,0.0,0.86,3.0,7.0,3.0,2025-05-09 16:08:30
Yorick,2,1,11,9,13,50.0,2.67,5.5,4.5,6.5,2025-05-09 16:08:30
Shen,15,9,60,90,43,60.0,1.14,4.0,6.0,2.87,2025-05-09 16:08:30
Ambessa,4,3,33,14,20,75.0,3.79,8.25,3.5,5.0,2025-05-09 16:08:30
Jax,2,2,21,9,9,100.0,3.33,10.5,4.5,4.5,2025-05-09 16:08:30
Yasuo,4,0,31,27,16,0.0,1.74,7.75,6.75,4.0,2025-05-09 16:08:30
Zed,1,0,2,6,1,0.0,0.5,2.0,6.0,1.0,2025-05-09 16:08:30
Jayce,3,1,10,11,7,33.33,1.55,3.33,3.67,2.33,2025-05-09 16:08:30
Vayne,2,0,0,14,0,0.0,0.0,0.0,7.0,0.0,2025-05-09 16:08:30
Taliyah,1,1,2,3,8,100.0,3.33,2.0,3.0,8.0,2025-05-09 16:08:30
Rumble,2,2,2,4,4,100.0,1.5,1.0,2.0,2.0,2025-05-09 16:08:30
Aatrox,1,1,7,2,3,100.0,5.0,7.0,2.0,3.0,2025-05-09 16:08:30
Sylas,2,2,6,6,10,100.0,2.67,3.0,3.0,5.0,2025-05-09 16:08:30
Riven,5,4,29,23,20,80.0,2.13,5.8,4.6,4.0,2025-05-09 16:08:30
Dr. Mundo,1,1,11,1,6,100.0,17.0,11.0,1.0,6.0,2025-05-09 16:08:30
Fizz,1,1,20,1,5,100.0,25.0,20.0,1.0,5.0,2025-05-09 16:08:30
Fiora,2,0,24,10,16,0.0,4.0,12.0,5.0,8.0,2025-05-09 16:08:30
VelKoz,1,0,3,6,2,0.0,0.83,3.0,6.0,2.0,2025-05-09 16:08:30
Darius,2,0,9,11,10,0.0,1.73,4.5,5.5,5.0,2025-05-09 16:08:30
Ryze,1,0,4,3,2,0.0,2.0,4.0,3.0,2.0,2025-05-09 16:08:30
Kennen,1,1,11,7,4,100.0,2.14,11.0,7.0,4.0,2025-05-09 16:08:30
Gnar,1,1,3,1,0,100.0,3.0,3.0,1.0,0.0,2025-05-09 16:08:30
Gragas,1,0,5,5,1,0.0,1.2,5.0,5.0,1.0,2025-05-09 16:08:30
Trundle,1,1,4,8,6,100.0,1.25,4.0,8.0,6.0,2025-05-09 16:08:30
Irelia,2,0,6,17,1,0.0,0.41,3.0,8.5,0.5,2025-05-09 16:08:30
KSante,1,0,3,7,2,0.0,0.71,3.0,7.0,2.0,2025-05-09 16:08:30
