opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Annie,2,2,6,16,20,100.0,1.62,3.0,8.0,10.0,2025-05-09 16:08:30
Volibear,1,1,3,5,12,100.0,3.0,3.0,5.0,12.0,2025-05-09 16:08:30
Sett,3,3,31,24,49,100.0,3.33,10.33,8.0,16.33,2025-05-09 16:08:30
Riven,5,1,9,44,14,20.0,0.52,1.8,8.8,2.8,2025-05-09 16:08:30
Urgot,1,1,3,6,5,100.0,1.33,3.0,6.0,5.0,2025-05-09 16:08:30
Aatrox,3,2,9,11,16,66.67,2.27,3.0,3.67,5.33,2025-05-09 16:08:30
Ryze,3,3,21,15,35,100.0,3.73,7.0,5.0,11.67,2025-05-09 16:08:30
Gragas,1,1,4,7,5,100.0,1.29,4.0,7.0,5.0,2025-05-09 16:08:30
Renekton,5,1,12,32,9,20.0,0.66,2.4,6.4,1.8,2025-05-09 16:08:30
Shen,2,1,5,4,7,50.0,3.0,2.5,2.0,3.5,2025-05-09 16:08:30
Nasus,1,0,1,5,6,0.0,1.4,1.0,5.0,6.0,2025-05-09 16:08:30
Sylas,1,0,2,9,2,0.0,0.44,2.0,9.0,2.0,2025-05-09 16:08:30
Teemo,2,0,6,10,4,0.0,1.0,3.0,5.0,2.0,2025-05-09 16:08:30
Fiora,4,0,30,16,20,0.0,3.12,7.5,4.0,5.0,2025-05-09 16:08:30
Yasuo,3,3,7,2,6,100.0,6.5,2.33,0.67,2.0,2025-05-09 16:08:30
Varus,2,1,11,14,21,50.0,2.29,5.5,7.0,10.5,2025-05-09 16:08:30
Nidalee,7,0,10,44,18,0.0,0.64,1.43,6.29,2.57,2025-05-09 16:08:30
Jayce,6,4,22,38,36,66.67,1.53,3.67,6.33,6.0,2025-05-09 16:08:30
KSante,3,3,6,6,3,100.0,1.5,2.0,2.0,1.0,2025-05-09 16:08:30
Singed,2,2,23,9,25,100.0,5.33,11.5,4.5,12.5,2025-05-09 16:08:30
Yone,2,0,4,10,4,0.0,0.8,2.0,5.0,2.0,2025-05-09 16:08:30
Irelia,4,2,16,24,16,50.0,1.33,4.0,6.0,4.0,2025-05-09 16:08:30
Tryndamere,1,1,3,4,4,100.0,1.75,3.0,4.0,4.0,2025-05-09 16:08:30
Rengar,1,0,3,6,0,0.0,0.5,3.0,6.0,0.0,2025-05-09 16:08:30
Zed,2,0,14,8,14,0.0,3.5,7.0,4.0,7.0,2025-05-09 16:08:30
Poppy,1,1,2,1,0,100.0,2.0,2.0,1.0,0.0,2025-05-09 16:08:30
Garen,1,0,1,4,0,0.0,0.25,1.0,4.0,0.0,2025-05-09 16:08:30
Neeko,2,0,4,13,3,0.0,0.54,2.0,6.5,1.5,2025-05-09 16:08:30
Kayle,1,1,1,4,5,100.0,1.5,1.0,4.0,5.0,2025-05-09 16:08:30
