opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Sion,6,6,33,23,23,100.0,2.43,5.5,3.83,3.83,2025-05-09 16:08:30
Lillia,8,4,52,51,41,50.0,1.82,6.5,6.38,5.12,2025-05-09 16:08:30
Nocturne,3,0,10,27,8,0.0,0.67,3.33,9.0,2.67,2025-05-09 16:08:30
Wukong,2,2,14,7,16,100.0,4.29,7.0,3.5,8.0,2025-05-09 16:08:30
Zyra,3,1,21,22,33,33.33,2.45,7.0,7.33,11.0,2025-05-09 16:08:30
Talon,5,2,41,23,22,40.0,2.74,8.2,4.6,4.4,2025-05-09 16:08:30
Pantheon,15,8,90,89,102,53.33,2.16,6.0,5.93,6.8,2025-05-09 16:08:30
Viego,11,8,75,43,77,72.73,3.53,6.82,3.91,7.0,2025-05-09 16:08:30
Corki,2,2,0,0,0,100.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Nunu & Willump,11,2,95,66,77,18.18,2.61,8.64,6.0,7.0,2025-05-09 16:08:30
Diana,4,1,12,25,10,25.0,0.88,3.0,6.25,2.5,2025-05-09 16:08:30
Master Yi,4,1,31,20,29,25.0,3.0,7.75,5.0,7.25,2025-05-09 16:08:30
Naafiri,9,5,61,41,34,55.56,2.32,6.78,4.56,3.78,2025-05-09 16:08:30
Shaco,4,0,46,24,30,0.0,3.17,11.5,6.0,7.5,2025-05-09 16:08:30
Sejuani,6,6,55,27,60,100.0,4.26,9.17,4.5,10.0,2025-05-09 16:08:30
Xin Zhao,10,7,108,53,68,70.0,3.32,10.8,5.3,6.8,2025-05-09 16:08:30
Kayn,6,3,47,35,46,50.0,2.66,7.83,5.83,7.67,2025-05-09 16:08:30
Vi,9,7,68,42,79,77.78,3.5,7.56,4.67,8.78,2025-05-09 16:08:30
Jayce,8,4,38,41,37,50.0,1.83,4.75,5.12,4.62,2025-05-09 16:08:30
Ivern,3,3,39,1,26,100.0,65.0,13.0,0.33,8.67,2025-05-09 16:08:30
Gragas,3,1,14,20,20,33.33,1.7,4.67,6.67,6.67,2025-05-09 16:08:30
KhaZix,6,5,37,19,26,83.33,3.32,6.17,3.17,4.33,2025-05-09 16:08:30
Ambessa,4,3,28,15,29,75.0,3.8,7.0,3.75,7.25,2025-05-09 16:08:30
Karthus,3,3,32,11,15,100.0,4.27,10.67,3.67,5.0,2025-05-09 16:08:30
Udyr,6,2,35,20,25,33.33,3.0,5.83,3.33,4.17,2025-05-09 16:08:30
Annie,2,2,18,6,4,100.0,3.67,9.0,3.0,2.0,2025-05-09 16:08:30
Hwei,2,0,6,6,8,0.0,2.33,3.0,3.0,4.0,2025-05-09 16:08:30
Kindred,1,1,5,5,9,100.0,2.8,5.0,5.0,9.0,2025-05-09 16:08:30
Taliyah,1,0,5,7,9,0.0,2.0,5.0,7.0,9.0,2025-05-09 16:08:30
Zed,5,5,47,11,31,100.0,7.09,9.4,2.2,6.2,2025-05-09 16:08:30
Lee Sin,8,7,82,32,37,87.5,3.72,10.25,4.0,4.62,2025-05-09 16:08:30
Volibear,4,3,23,27,29,75.0,1.93,5.75,6.75,7.25,2025-05-09 16:08:30
Sett,1,1,7,5,5,100.0,2.4,7.0,5.0,5.0,2025-05-09 16:08:30
Urgot,3,1,10,16,12,33.33,1.38,3.33,5.33,4.0,2025-05-09 16:08:30
Ornn,3,0,16,17,21,0.0,2.18,5.33,5.67,7.0,2025-05-09 16:08:30
Kayle,1,1,0,0,0,100.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Shen,8,4,38,33,30,50.0,2.06,4.75,4.12,3.75,2025-05-09 16:08:30
Ekko,4,2,35,13,16,50.0,3.92,8.75,3.25,4.0,2025-05-09 16:08:30
Fiddlesticks,3,0,19,17,16,0.0,2.06,6.33,5.67,5.33,2025-05-09 16:08:30
Fiora,3,2,8,10,0,66.67,0.8,2.67,3.33,0.0,2025-05-09 16:08:30
Morgana,2,0,22,10,8,0.0,3.0,11.0,5.0,4.0,2025-05-09 16:08:30
Jax,3,2,21,22,17,66.67,1.73,7.0,7.33,5.67,2025-05-09 16:08:30
Skarner,1,0,7,6,0,0.0,1.17,7.0,6.0,0.0,2025-05-09 16:08:30
Yasuo,5,1,11,38,19,20.0,0.79,2.2,7.6,3.8,2025-05-09 16:08:30
Rumble,2,1,11,15,13,50.0,1.6,5.5,7.5,6.5,2025-05-09 16:08:30
Poppy,1,0,7,8,7,0.0,1.75,7.0,8.0,7.0,2025-05-09 16:08:30
Ryze,5,2,31,40,12,40.0,1.07,6.2,8.0,2.4,2025-05-09 16:08:30
Sylas,2,2,20,0,10,100.0,30.0,10.0,0.0,5.0,2025-05-09 16:08:30
Rengar,1,0,2,4,1,0.0,0.75,2.0,4.0,1.0,2025-05-09 16:08:30
Nidalee,5,3,24,21,6,60.0,1.43,4.8,4.2,1.2,2025-05-09 16:08:30
Singed,2,2,17,16,12,100.0,1.81,8.5,8.0,6.0,2025-05-09 16:08:30
Zac,2,0,0,6,0,0.0,0.0,0.0,3.0,0.0,2025-05-09 16:08:30
Braum,1,0,2,10,5,0.0,0.7,2.0,10.0,5.0,2025-05-09 16:08:30
Riven,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Katarina,1,1,5,5,9,100.0,2.8,5.0,5.0,9.0,2025-05-09 16:08:30
Evelynn,1,0,2,2,1,0.0,1.5,2.0,2.0,1.0,2025-05-09 16:08:30
Quinn,1,0,4,9,6,0.0,1.11,4.0,9.0,6.0,2025-05-09 16:08:30
Hecarim,3,2,22,12,15,66.67,3.08,7.33,4.0,5.0,2025-05-09 16:08:30
Darius,2,1,17,10,13,50.0,3.0,8.5,5.0,6.5,2025-05-09 16:08:30
Mordekaiser,2,1,10,10,13,50.0,2.3,5.0,5.0,6.5,2025-05-09 16:08:30
Irelia,2,1,6,13,11,50.0,1.31,3.0,6.5,5.5,2025-05-09 16:08:30
Graves,1,1,10,3,7,100.0,5.67,10.0,3.0,7.0,2025-05-09 16:08:30
Briar,1,0,9,10,15,0.0,2.4,9.0,10.0,15.0,2025-05-09 16:08:30
Olaf,1,1,13,1,3,100.0,16.0,13.0,1.0,3.0,2025-05-09 16:08:30
Yone,1,0,4,8,5,0.0,1.12,4.0,8.0,5.0,2025-05-09 16:08:30
