opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Syndra,2,2,6,0,10,100.0,16.0,3.0,0.0,5.0,2025-05-09 16:08:30
Naafiri,7,4,9,24,105,57.14,4.75,1.29,3.43,15.0,2025-05-09 16:08:30
Sejuani,2,0,2,10,38,0.0,4.0,1.0,5.0,19.0,2025-05-09 16:08:30
Poppy,2,0,2,16,26,0.0,1.75,1.0,8.0,13.0,2025-05-09 16:08:30
Gwen,3,0,6,8,27,0.0,4.12,2.0,2.67,9.0,2025-05-09 16:08:30
Lillia,5,2,11,17,75,40.0,5.06,2.2,3.4,15.0,2025-05-09 16:08:30
Malphite,2,0,4,8,6,0.0,1.25,2.0,4.0,3.0,2025-05-09 16:08:30
KhaZix,5,1,20,21,54,20.0,3.52,4.0,4.2,10.8,2025-05-09 16:08:30
Shen,2,1,5,5,25,50.0,6.0,2.5,2.5,12.5,2025-05-09 16:08:30
Xin Zhao,6,4,22,12,126,66.67,12.33,3.67,2.0,21.0,2025-05-09 16:08:30
Orianna,2,2,4,4,42,100.0,11.5,2.0,2.0,21.0,2025-05-09 16:08:30
Fiddlesticks,3,0,10,17,18,0.0,1.65,3.33,5.67,6.0,2025-05-09 16:08:30
Aurora,2,0,4,16,24,0.0,1.75,2.0,8.0,12.0,2025-05-09 16:08:30
Yorick,1,1,9,2,10,100.0,9.5,9.0,2.0,10.0,2025-05-09 16:08:30
Pantheon,2,2,15,4,38,100.0,13.25,7.5,2.0,19.0,2025-05-09 16:08:30
Wukong,3,1,12,15,36,33.33,3.2,4.0,5.0,12.0,2025-05-09 16:08:30
Zed,9,6,33,30,108,66.67,4.7,3.67,3.33,12.0,2025-05-09 16:08:30
Zyra,5,4,12,23,79,80.0,3.96,2.4,4.6,15.8,2025-05-09 16:08:30
Talon,5,4,17,15,50,80.0,4.47,3.4,3.0,10.0,2025-05-09 16:08:30
Udyr,5,3,21,11,41,60.0,5.64,4.2,2.2,8.2,2025-05-09 16:08:30
Ekko,3,1,5,12,24,33.33,2.42,1.67,4.0,8.0,2025-05-09 16:08:30
Hecarim,6,5,31,10,68,83.33,9.9,5.17,1.67,11.33,2025-05-09 16:08:30
Elise,1,0,1,4,12,0.0,3.25,1.0,4.0,12.0,2025-05-09 16:08:30
Volibear,5,3,21,14,62,60.0,5.93,4.2,2.8,12.4,2025-05-09 16:08:30
Vi,3,1,21,11,33,33.33,4.91,7.0,3.67,11.0,2025-05-09 16:08:30
Viego,2,2,9,6,50,100.0,9.83,4.5,3.0,25.0,2025-05-09 16:08:30
Master Yi,3,0,10,20,35,0.0,2.25,3.33,6.67,11.67,2025-05-09 16:08:30
Belveth,1,1,2,4,14,100.0,4.0,2.0,4.0,14.0,2025-05-09 16:08:30
Nunu & Willump,3,0,9,15,42,0.0,3.4,3.0,5.0,14.0,2025-05-09 16:08:30
Shaco,1,1,4,2,28,100.0,16.0,4.0,2.0,28.0,2025-05-09 16:08:30
Viktor,1,1,5,8,11,100.0,2.0,5.0,8.0,11.0,2025-05-09 16:08:30
Karthus,2,1,12,4,28,50.0,10.0,6.0,2.0,14.0,2025-05-09 16:08:30
Taliyah,3,2,17,10,37,66.67,5.4,5.67,3.33,12.33,2025-05-09 16:08:30
Nidalee,1,1,2,4,19,100.0,5.25,2.0,4.0,19.0,2025-05-09 16:08:30
Briar,1,1,3,6,25,100.0,4.67,3.0,6.0,25.0,2025-05-09 16:08:30
Dr. Mundo,2,0,2,4,26,0.0,7.0,1.0,2.0,13.0,2025-05-09 16:08:30
Reksai,1,0,2,4,7,0.0,2.25,2.0,4.0,7.0,2025-05-09 16:08:30
Graves,1,1,13,3,9,100.0,7.33,13.0,3.0,9.0,2025-05-09 16:08:30
Qiyana,5,3,21,19,40,60.0,3.21,4.2,3.8,8.0,2025-05-09 16:08:30
Jarvan Iv,1,1,8,2,14,100.0,11.0,8.0,2.0,14.0,2025-05-09 16:08:30
Kindred,1,0,2,4,12,0.0,3.5,2.0,4.0,12.0,2025-05-09 16:08:30
Nasus,1,1,3,2,9,100.0,6.0,3.0,2.0,9.0,2025-05-09 16:08:30
Brand,2,2,10,11,41,100.0,4.64,5.0,5.5,20.5,2025-05-09 16:08:30
Kayn,1,1,0,0,0,100.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
