opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Lucian,6,5,40,49,43,83.33,1.69,6.67,8.17,7.17,2025-05-09 16:08:30
Fiora,2,0,0,12,2,0.0,0.17,0.0,6.0,1.0,2025-05-09 16:08:30
Xayah,1,0,10,9,7,0.0,1.89,10.0,9.0,7.0,2025-05-09 16:08:30
Ashe,4,3,49,23,29,75.0,3.39,12.25,5.75,7.25,2025-05-09 16:08:30
Viktor,2,0,0,4,0,0.0,0.0,0.0,2.0,0.0,2025-05-09 16:08:30
Mel,2,0,12,10,16,0.0,2.8,6.0,5.0,8.0,2025-05-09 16:08:30
Jhin,8,4,69,65,79,50.0,2.28,8.62,8.12,9.88,2025-05-09 16:08:30
Sivir,1,1,9,5,10,100.0,3.8,9.0,5.0,10.0,2025-05-09 16:08:30
Azir,1,1,11,8,8,100.0,2.38,11.0,8.0,8.0,2025-05-09 16:08:30
LeBlanc,1,1,1,2,1,100.0,1.0,1.0,2.0,1.0,2025-05-09 16:08:30
Jayce,1,0,4,5,4,0.0,1.6,4.0,5.0,4.0,2025-05-09 16:08:30
Irelia,2,2,14,18,22,100.0,2.0,7.0,9.0,11.0,2025-05-09 16:08:30
Varus,4,3,24,7,19,75.0,6.14,6.0,1.75,4.75,2025-05-09 16:08:30
Jinx,6,2,38,28,36,33.33,2.64,6.33,4.67,6.0,2025-05-09 16:08:30
Miss Fortune,3,2,24,18,16,66.67,2.22,8.0,6.0,5.33,2025-05-09 16:08:30
Ezreal,4,2,14,30,15,50.0,0.97,3.5,7.5,3.75,2025-05-09 16:08:30
Ryze,2,0,4,6,8,0.0,2.0,2.0,3.0,4.0,2025-05-09 16:08:30
Nilah,2,1,16,14,12,50.0,2.0,8.0,7.0,6.0,2025-05-09 16:08:30
Aphelios,1,0,1,6,4,0.0,0.83,1.0,6.0,4.0,2025-05-09 16:08:30
Quinn,1,0,15,11,3,0.0,1.64,15.0,11.0,3.0,2025-05-09 16:08:30
Kayle,1,0,6,7,4,0.0,1.43,6.0,7.0,4.0,2025-05-09 16:08:30
Zed,1,1,5,7,4,100.0,1.29,5.0,7.0,4.0,2025-05-09 16:08:30
Yone,1,1,22,6,8,100.0,5.0,22.0,6.0,8.0,2025-05-09 16:08:30
Zilean,1,0,7,9,10,0.0,1.89,7.0,9.0,10.0,2025-05-09 16:08:30
Yasuo,1,1,6,1,6,100.0,12.0,6.0,1.0,6.0,2025-05-09 16:08:30
Hwei,1,0,8,11,3,0.0,1.0,8.0,11.0,3.0,2025-05-09 16:08:30
Qiyana,1,0,12,8,10,0.0,2.75,12.0,8.0,10.0,2025-05-09 16:08:30
