opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Qiyana,2,0,0,20,4,0.0,0.2,0.0,10.0,2.0,2025-05-09 16:08:30
Azir,1,0,4,7,4,0.0,1.14,4.0,7.0,4.0,2025-05-09 16:08:30
Lux,2,0,2,14,4,0.0,0.43,1.0,7.0,2.0,2025-05-09 16:08:30
Aurora,1,0,4,8,12,0.0,2.0,4.0,8.0,12.0,2025-05-09 16:08:30
Gragas,1,1,2,6,4,100.0,1.0,2.0,6.0,4.0,2025-05-09 16:08:30
Yone,1,0,10,9,22,0.0,3.56,10.0,9.0,22.0,2025-05-09 16:08:30
Ornn,1,1,8,5,12,100.0,4.0,8.0,5.0,12.0,2025-05-09 16:08:30
Yasuo,1,0,4,4,3,0.0,1.75,4.0,4.0,3.0,2025-05-09 16:08:30
Annie,3,1,13,22,14,33.33,1.23,4.33,7.33,4.67,2025-05-09 16:08:30
Kaisa,1,1,9,2,11,100.0,10.0,9.0,2.0,11.0,2025-05-09 16:08:30
Ryze,1,0,2,6,8,0.0,1.67,2.0,6.0,8.0,2025-05-09 16:08:30
Zed,1,1,13,5,7,100.0,4.0,13.0,5.0,7.0,2025-05-09 16:08:30
Sylas,2,0,2,10,1,0.0,0.3,1.0,5.0,0.5,2025-05-09 16:08:30
Mel,2,2,4,6,12,100.0,2.67,2.0,3.0,6.0,2025-05-09 16:08:30
Vladimir,1,1,4,1,3,100.0,7.0,4.0,1.0,3.0,2025-05-09 16:08:30
Wukong,2,0,4,17,16,0.0,1.18,2.0,8.5,8.0,2025-05-09 16:08:30
Veigar,1,0,1,6,2,0.0,0.5,1.0,6.0,2.0,2025-05-09 16:08:30
