opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nautilus,9,4,4,33,127,44.44,3.97,0.44,3.67,14.11,2025-05-09 16:08:30
Rakan,5,3,1,18,74,60.0,4.17,0.2,3.6,14.8,2025-05-09 16:08:30
Xerath,1,0,0,3,15,0.0,5.0,0.0,3.0,15.0,2025-05-09 16:08:30
Karma,5,3,1,30,89,60.0,3.0,0.2,6.0,17.8,2025-05-09 16:08:30
Bard,6,1,11,20,84,16.67,4.75,1.83,3.33,14.0,2025-05-09 16:08:30
Nidalee,5,0,9,27,66,0.0,2.78,1.8,5.4,13.2,2025-05-09 16:08:30
Nami,7,3,3,31,102,42.86,3.39,0.43,4.43,14.57,2025-05-09 16:08:30
Neeko,6,2,5,15,79,33.33,5.6,0.83,2.5,13.17,2025-05-09 16:08:30
Sona,6,2,2,22,70,33.33,3.27,0.33,3.67,11.67,2025-05-09 16:08:30
Soraka,2,0,0,14,4,0.0,0.29,0.0,7.0,2.0,2025-05-09 16:08:30
Thresh,4,4,1,4,50,100.0,12.75,0.25,1.0,12.5,2025-05-09 16:08:30
Yuumi,3,2,0,12,49,66.67,4.08,0.0,4.0,16.33,2025-05-09 16:08:30
Tahm Kench,2,0,4,16,66,0.0,4.38,2.0,8.0,33.0,2025-05-09 16:08:30
Zyra,2,0,0,10,6,0.0,0.6,0.0,5.0,3.0,2025-05-09 16:08:30
Blitzcrank,1,1,0,6,29,100.0,4.83,0.0,6.0,29.0,2025-05-09 16:08:30
Mel,2,2,2,6,28,100.0,5.0,1.0,3.0,14.0,2025-05-09 16:08:30
Pantheon,2,0,0,0,4,0.0,4.0,0.0,0.0,2.0,2025-05-09 16:08:30
Braum,2,2,2,3,18,100.0,6.67,1.0,1.5,9.0,2025-05-09 16:08:30
Urgot,2,2,0,2,22,100.0,11.0,0.0,1.0,11.0,2025-05-09 16:08:30
Alistar,4,0,0,17,52,0.0,3.06,0.0,4.25,13.0,2025-05-09 16:08:30
Rell,1,0,1,5,6,0.0,1.4,1.0,5.0,6.0,2025-05-09 16:08:30
Senna,1,1,1,3,13,100.0,4.67,1.0,3.0,13.0,2025-05-09 16:08:30
Lux,1,1,1,2,17,100.0,9.0,1.0,2.0,17.0,2025-05-09 16:08:30
Fiddlesticks,3,0,1,12,26,0.0,2.25,0.33,4.0,8.67,2025-05-09 16:08:30
Lulu,7,1,8,31,89,14.29,3.13,1.14,4.43,12.71,2025-05-09 16:08:30
Pyke,1,0,0,8,4,0.0,0.5,0.0,8.0,4.0,2025-05-09 16:08:30
Shen,1,1,0,7,36,100.0,5.14,0.0,7.0,36.0,2025-05-09 16:08:30
