opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Corki,1,1,11,3,2,100.0,4.33,11.0,3.0,2.0,2025-05-09 16:08:30
Rumble,4,2,18,18,4,50.0,1.22,4.5,4.5,1.0,2025-05-09 16:08:30
Fiora,2,2,2,0,0,100.0,2.0,1.0,0.0,0.0,2025-05-09 16:08:30
Jax,3,1,13,16,7,33.33,1.25,4.33,5.33,2.33,2025-05-09 16:08:30
Yorick,2,0,10,14,4,0.0,1.0,5.0,7.0,2.0,2025-05-09 16:08:30
Wukong,1,1,1,4,2,100.0,0.75,1.0,4.0,2.0,2025-05-09 16:08:30
Aatrox,1,0,7,9,8,0.0,1.67,7.0,9.0,8.0,2025-05-09 16:08:30
Zed,1,0,7,7,3,0.0,1.43,7.0,7.0,3.0,2025-05-09 16:08:30
Shen,2,1,17,7,7,50.0,3.43,8.5,3.5,3.5,2025-05-09 16:08:30
Dr. Mundo,1,1,5,6,11,100.0,2.67,5.0,6.0,11.0,2025-05-09 16:08:30
Urgot,4,2,34,19,21,50.0,2.89,8.5,4.75,5.25,2025-05-09 16:08:30
Zac,1,0,3,3,1,0.0,1.33,3.0,3.0,1.0,2025-05-09 16:08:30
Zeri,1,1,8,3,9,100.0,5.67,8.0,3.0,9.0,2025-05-09 16:08:30
Naafiri,1,0,16,10,12,0.0,2.8,16.0,10.0,12.0,2025-05-09 16:08:30
Irelia,1,0,9,11,3,0.0,1.09,9.0,11.0,3.0,2025-05-09 16:08:30
Trundle,1,0,2,11,1,0.0,0.27,2.0,11.0,1.0,2025-05-09 16:08:30
Vi,2,0,6,16,2,0.0,0.5,3.0,8.0,1.0,2025-05-09 16:08:30
Jayce,1,1,8,4,3,100.0,2.75,8.0,4.0,3.0,2025-05-09 16:08:30
Rengar,1,0,4,3,1,0.0,1.67,4.0,3.0,1.0,2025-05-09 16:08:30
Ambessa,1,0,7,4,3,0.0,2.5,7.0,4.0,3.0,2025-05-09 16:08:30
Sejuani,1,1,9,8,12,100.0,2.62,9.0,8.0,12.0,2025-05-09 16:08:30
Riven,1,1,6,8,8,100.0,1.75,6.0,8.0,8.0,2025-05-09 16:08:30
Gwen,1,0,4,8,2,0.0,0.75,4.0,8.0,2.0,2025-05-09 16:08:30
