opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Renekton,2,0,2,10,18,0.0,2.0,1.0,5.0,9.0,2025-05-09 16:08:30
Shen,2,1,2,10,11,50.0,1.3,1.0,5.0,5.5,2025-05-09 16:08:30
Riven,3,0,3,13,14,0.0,1.31,1.0,4.33,4.67,2025-05-09 16:08:30
Vayne,1,0,1,5,22,0.0,4.6,1.0,5.0,22.0,2025-05-09 16:08:30
Yorick,1,0,3,4,6,0.0,2.25,3.0,4.0,6.0,2025-05-09 16:08:30
Azir,2,0,3,11,19,0.0,2.0,1.5,5.5,9.5,2025-05-09 16:08:30
Teemo,4,1,7,22,19,25.0,1.18,1.75,5.5,4.75,2025-05-09 16:08:30
Ambessa,2,1,5,10,13,50.0,1.8,2.5,5.0,6.5,2025-05-09 16:08:30
Sion,1,1,9,2,21,100.0,15.0,9.0,2.0,21.0,2025-05-09 16:08:30
Aatrox,2,1,7,7,24,50.0,4.43,3.5,3.5,12.0,2025-05-09 16:08:30
Camille,2,2,6,4,28,100.0,8.5,3.0,2.0,14.0,2025-05-09 16:08:30
Gwen,3,3,10,17,33,100.0,2.53,3.33,5.67,11.0,2025-05-09 16:08:30
Yasuo,4,2,13,15,26,50.0,2.6,3.25,3.75,6.5,2025-05-09 16:08:30
Tristana,2,2,14,4,6,100.0,5.0,7.0,2.0,3.0,2025-05-09 16:08:30
Jax,1,0,1,4,4,0.0,1.25,1.0,4.0,4.0,2025-05-09 16:08:30
Fiora,1,0,3,3,1,0.0,1.33,3.0,3.0,1.0,2025-05-09 16:08:30
Karthus,1,1,12,4,3,100.0,3.75,12.0,4.0,3.0,2025-05-09 16:08:30
Jayce,1,1,2,5,8,100.0,2.0,2.0,5.0,8.0,2025-05-09 16:08:30
Irelia,3,1,7,14,26,33.33,2.36,2.33,4.67,8.67,2025-05-09 16:08:30
Dr. Mundo,3,2,9,12,28,66.67,3.08,3.0,4.0,9.33,2025-05-09 16:08:30
Malzahar,1,0,4,7,10,0.0,2.0,4.0,7.0,10.0,2025-05-09 16:08:30
Poppy,1,0,1,4,1,0.0,0.5,1.0,4.0,1.0,2025-05-09 16:08:30
Vladimir,1,1,2,4,10,100.0,3.0,2.0,4.0,10.0,2025-05-09 16:08:30
Nidalee,3,3,9,17,23,100.0,1.88,3.0,5.67,7.67,2025-05-09 16:08:30
KSante,2,0,4,16,18,0.0,1.38,2.0,8.0,9.0,2025-05-09 16:08:30
Quinn,1,0,3,6,2,0.0,0.83,3.0,6.0,2.0,2025-05-09 16:08:30
Neeko,1,1,0,4,5,100.0,1.25,0.0,4.0,5.0,2025-05-09 16:08:30
Sett,1,0,1,4,7,0.0,2.0,1.0,4.0,7.0,2025-05-09 16:08:30
Zac,1,0,2,9,3,0.0,0.56,2.0,9.0,3.0,2025-05-09 16:08:30
Tryndamere,2,1,14,12,19,50.0,2.75,7.0,6.0,9.5,2025-05-09 16:08:30
