opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Naafiri,6,4,60,22,53,66.67,5.14,10.0,3.67,8.83,2025-05-09 16:08:30
Pantheon,2,0,13,14,16,0.0,2.07,6.5,7.0,8.0,2025-05-09 16:08:30
Ambessa,2,2,18,10,30,100.0,4.8,9.0,5.0,15.0,2025-05-09 16:08:30
Vi,1,0,3,3,3,0.0,2.0,3.0,3.0,3.0,2025-05-09 16:08:30
Morgana,1,1,8,1,4,100.0,12.0,8.0,1.0,4.0,2025-05-09 16:08:30
Viego,3,3,21,3,12,100.0,11.0,7.0,1.0,4.0,2025-05-09 16:08:30
Udyr,2,2,14,5,23,100.0,7.4,7.0,2.5,11.5,2025-05-09 16:08:30
Brand,1,1,5,2,12,100.0,8.5,5.0,2.0,12.0,2025-05-09 16:08:30
Master Yi,1,0,6,6,6,0.0,2.0,6.0,6.0,6.0,2025-05-09 16:08:30
Xin Zhao,3,1,28,5,33,33.33,12.2,9.33,1.67,11.0,2025-05-09 16:08:30
Yorick,2,2,24,5,24,100.0,9.6,12.0,2.5,12.0,2025-05-09 16:08:30
Lillia,2,1,11,13,12,50.0,1.77,5.5,6.5,6.0,2025-05-09 16:08:30
Volibear,2,1,13,11,9,50.0,2.0,6.5,5.5,4.5,2025-05-09 16:08:30
Kayn,3,1,19,10,24,33.33,4.3,6.33,3.33,8.0,2025-05-09 16:08:30
Hecarim,1,1,11,4,11,100.0,5.5,11.0,4.0,11.0,2025-05-09 16:08:30
Fiddlesticks,1,0,3,8,5,0.0,1.0,3.0,8.0,5.0,2025-05-09 16:08:30
Graves,1,0,8,2,4,0.0,6.0,8.0,2.0,4.0,2025-05-09 16:08:30
Ivern,1,1,0,6,6,100.0,1.0,0.0,6.0,6.0,2025-05-09 16:08:30
Zed,1,1,12,2,5,100.0,8.5,12.0,2.0,5.0,2025-05-09 16:08:30
Lee Sin,1,1,8,3,6,100.0,4.67,8.0,3.0,6.0,2025-05-09 16:08:30
Skarner,1,1,15,3,9,100.0,8.0,15.0,3.0,9.0,2025-05-09 16:08:30
Zyra,1,0,4,3,3,0.0,2.33,4.0,3.0,3.0,2025-05-09 16:08:30
Neeko,1,0,10,5,5,0.0,3.0,10.0,5.0,5.0,2025-05-09 16:08:30
Talon,1,1,11,2,9,100.0,10.0,11.0,2.0,9.0,2025-05-09 16:08:30
Karthus,1,1,13,3,9,100.0,7.33,13.0,3.0,9.0,2025-05-09 16:08:30
