opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Jax,13,5,43,59,62,38.46,1.78,3.31,4.54,4.77,2025-05-09 16:08:30
Ornn,2,2,8,6,14,100.0,3.67,4.0,3.0,7.0,2025-05-09 16:08:30
Irelia,3,2,22,15,22,66.67,2.93,7.33,5.0,7.33,2025-05-09 16:08:30
Yasuo,9,4,52,25,34,44.44,3.44,5.78,2.78,3.78,2025-05-09 16:08:30
Riven,21,6,105,119,143,28.57,2.08,5.0,5.67,6.81,2025-05-09 16:08:30
Dr. Mundo,2,0,2,14,16,0.0,1.29,1.0,7.0,8.0,2025-05-09 16:08:30
Ambessa,31,15,166,158,137,48.39,1.92,5.35,5.1,4.42,2025-05-09 16:08:30
Viktor,2,0,4,18,0,0.0,0.22,2.0,9.0,0.0,2025-05-09 16:08:30
Garen,3,2,10,3,2,66.67,4.0,3.33,1.0,0.67,2025-05-09 16:08:30
Jayce,8,5,42,38,56,62.5,2.58,5.25,4.75,7.0,2025-05-09 16:08:30
Sett,2,1,9,10,12,50.0,2.1,4.5,5.0,6.0,2025-05-09 16:08:30
Gragas,6,6,24,28,38,100.0,2.21,4.0,4.67,6.33,2025-05-09 16:08:30
Urgot,5,4,25,18,35,80.0,3.33,5.0,3.6,7.0,2025-05-09 16:08:30
Shen,4,1,16,25,32,25.0,1.92,4.0,6.25,8.0,2025-05-09 16:08:30
Gnar,5,4,27,14,19,80.0,3.29,5.4,2.8,3.8,2025-05-09 16:08:30
KSante,4,2,14,12,13,50.0,2.25,3.5,3.0,3.25,2025-05-09 16:08:30
Annie,1,1,6,1,6,100.0,12.0,6.0,1.0,6.0,2025-05-09 16:08:30
Sion,2,0,8,16,4,0.0,0.75,4.0,8.0,2.0,2025-05-09 16:08:30
Mordekaiser,1,1,3,4,6,100.0,2.25,3.0,4.0,6.0,2025-05-09 16:08:30
Yorick,9,7,40,26,57,77.78,3.73,4.44,2.89,6.33,2025-05-09 16:08:30
Yone,4,2,30,21,17,50.0,2.24,7.5,5.25,4.25,2025-05-09 16:08:30
Kennen,1,1,5,2,7,100.0,6.0,5.0,2.0,7.0,2025-05-09 16:08:30
Sylas,3,0,16,8,18,0.0,4.25,5.33,2.67,6.0,2025-05-09 16:08:30
Aatrox,4,1,20,22,8,25.0,1.27,5.0,5.5,2.0,2025-05-09 16:08:30
Karthus,1,1,12,0,11,100.0,23.0,12.0,0.0,11.0,2025-05-09 16:08:30
Kled,2,2,9,9,4,100.0,1.44,4.5,4.5,2.0,2025-05-09 16:08:30
Varus,1,1,5,1,2,100.0,7.0,5.0,1.0,2.0,2025-05-09 16:08:30
Warwick,1,1,1,7,10,100.0,1.57,1.0,7.0,10.0,2025-05-09 16:08:30
Zed,2,2,16,6,6,100.0,3.67,8.0,3.0,3.0,2025-05-09 16:08:30
Zilean,1,1,3,6,6,100.0,1.5,3.0,6.0,6.0,2025-05-09 16:08:30
Volibear,1,1,6,2,10,100.0,8.0,6.0,2.0,10.0,2025-05-09 16:08:30
Darius,2,1,12,12,19,50.0,2.58,6.0,6.0,9.5,2025-05-09 16:08:30
Camille,5,1,18,34,28,20.0,1.35,3.6,6.8,5.6,2025-05-09 16:08:30
Katarina,1,1,6,10,13,100.0,1.9,6.0,10.0,13.0,2025-05-09 16:08:30
Sejuani,1,1,9,5,10,100.0,3.8,9.0,5.0,10.0,2025-05-09 16:08:30
Nocturne,1,0,5,6,3,0.0,1.33,5.0,6.0,3.0,2025-05-09 16:08:30
Neeko,2,0,3,9,5,0.0,0.89,1.5,4.5,2.5,2025-05-09 16:08:30
Tryndamere,1,0,6,10,7,0.0,1.3,6.0,10.0,7.0,2025-05-09 16:08:30
Trundle,1,0,7,6,2,0.0,1.5,7.0,6.0,2.0,2025-05-09 16:08:30
Singed,1,0,1,9,2,0.0,0.33,1.0,9.0,2.0,2025-05-09 16:08:30
