opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ambessa,13,6,66,83,67,46.15,1.6,5.08,6.38,5.15,2025-05-09 16:08:30
Gragas,3,2,7,10,22,66.67,2.9,2.33,3.33,7.33,2025-05-09 16:08:30
Jayce,11,3,50,51,75,27.27,2.45,4.55,4.64,6.82,2025-05-09 16:08:30
Aurora,3,2,14,21,32,66.67,2.19,4.67,7.0,10.67,2025-05-09 16:08:30
Riven,12,5,30,54,64,41.67,1.74,2.5,4.5,5.33,2025-05-09 16:08:30
Vladimir,1,1,5,8,18,100.0,2.88,5.0,8.0,18.0,2025-05-09 16:08:30
Volibear,2,0,6,8,10,0.0,2.0,3.0,4.0,5.0,2025-05-09 16:08:30
Urgot,8,5,33,29,37,62.5,2.41,4.12,3.62,4.62,2025-05-09 16:08:30
Shen,5,4,45,27,50,80.0,3.52,9.0,5.4,10.0,2025-05-09 16:08:30
Olaf,4,2,20,12,28,50.0,4.0,5.0,3.0,7.0,2025-05-09 16:08:30
Vayne,1,0,10,9,8,0.0,2.0,10.0,9.0,8.0,2025-05-09 16:08:30
Fiora,7,6,50,16,37,85.71,5.44,7.14,2.29,5.29,2025-05-09 16:08:30
Azir,3,2,10,14,31,66.67,2.93,3.33,4.67,10.33,2025-05-09 16:08:30
Sion,3,3,25,14,15,100.0,2.86,8.33,4.67,5.0,2025-05-09 16:08:30
Lee Sin,1,0,3,5,4,0.0,1.4,3.0,5.0,4.0,2025-05-09 16:08:30
Yorick,5,0,23,29,28,0.0,1.76,4.6,5.8,5.6,2025-05-09 16:08:30
Gangplank,3,0,5,22,8,0.0,0.59,1.67,7.33,2.67,2025-05-09 16:08:30
Yone,1,0,6,6,10,0.0,2.67,6.0,6.0,10.0,2025-05-09 16:08:30
Viktor,1,0,7,5,10,0.0,3.4,7.0,5.0,10.0,2025-05-09 16:08:30
Wukong,2,1,8,12,10,50.0,1.5,4.0,6.0,5.0,2025-05-09 16:08:30
Caitlyn,1,0,6,6,4,0.0,1.67,6.0,6.0,4.0,2025-05-09 16:08:30
Irelia,5,2,13,25,17,40.0,1.2,2.6,5.0,3.4,2025-05-09 16:08:30
Garen,2,0,2,2,2,0.0,2.0,1.0,1.0,1.0,2025-05-09 16:08:30
Gwen,2,1,9,12,12,50.0,1.75,4.5,6.0,6.0,2025-05-09 16:08:30
Pantheon,1,1,12,3,13,100.0,8.33,12.0,3.0,13.0,2025-05-09 16:08:30
Darius,2,2,14,8,12,100.0,3.25,7.0,4.0,6.0,2025-05-09 16:08:30
Tryndamere,2,1,7,17,7,50.0,0.82,3.5,8.5,3.5,2025-05-09 16:08:30
KSante,2,2,8,4,32,100.0,10.0,4.0,2.0,16.0,2025-05-09 16:08:30
Varus,1,1,5,3,8,100.0,4.33,5.0,3.0,8.0,2025-05-09 16:08:30
Aatrox,4,3,13,12,24,75.0,3.08,3.25,3.0,6.0,2025-05-09 16:08:30
Sett,1,0,4,6,2,0.0,1.0,4.0,6.0,2.0,2025-05-09 16:08:30
Karma,2,1,11,10,20,50.0,3.1,5.5,5.0,10.0,2025-05-09 16:08:30
Quinn,1,1,7,2,9,100.0,8.0,7.0,2.0,9.0,2025-05-09 16:08:30
Ryze,2,1,5,9,6,50.0,1.22,2.5,4.5,3.0,2025-05-09 16:08:30
Teemo,1,0,2,1,6,0.0,8.0,2.0,1.0,6.0,2025-05-09 16:08:30
Heimerdinger,1,0,1,8,7,0.0,1.0,1.0,8.0,7.0,2025-05-09 16:08:30
Jax,2,2,14,8,17,100.0,3.88,7.0,4.0,8.5,2025-05-09 16:08:30
Nidalee,5,2,18,30,44,40.0,2.07,3.6,6.0,8.8,2025-05-09 16:08:30
Cassiopeia,1,1,2,1,9,100.0,11.0,2.0,1.0,9.0,2025-05-09 16:08:30
Rengar,2,2,4,2,6,100.0,5.0,2.0,1.0,3.0,2025-05-09 16:08:30
Yasuo,3,1,13,18,27,33.33,2.22,4.33,6.0,9.0,2025-05-09 16:08:30
Qiyana,1,0,8,6,4,0.0,2.0,8.0,6.0,4.0,2025-05-09 16:08:30
Poppy,1,1,4,6,5,100.0,1.5,4.0,6.0,5.0,2025-05-09 16:08:30
Galio,1,1,4,12,22,100.0,2.17,4.0,12.0,22.0,2025-05-09 16:08:30
Zed,1,1,12,8,14,100.0,3.25,12.0,8.0,14.0,2025-05-09 16:08:30
Neeko,3,1,21,18,31,33.33,2.89,7.0,6.0,10.33,2025-05-09 16:08:30
Tristana,1,1,2,4,12,100.0,3.5,2.0,4.0,12.0,2025-05-09 16:08:30
