opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Naafiri,10,4,22,32,64,40.0,2.69,2.2,3.2,6.4,2025-05-09 16:08:30
Pantheon,8,2,22,32,58,25.0,2.5,2.75,4.0,7.25,2025-05-09 16:08:30
Dr. Mundo,2,0,14,22,8,0.0,1.0,7.0,11.0,4.0,2025-05-09 16:08:30
Corki,2,2,8,4,10,100.0,4.5,4.0,2.0,5.0,2025-05-09 16:08:30
Qiyana,2,0,6,8,26,0.0,4.0,3.0,4.0,13.0,2025-05-09 16:08:30
Lillia,9,6,38,37,93,66.67,3.54,4.22,4.11,10.33,2025-05-09 16:08:30
Sejuani,2,0,4,12,28,0.0,2.67,2.0,6.0,14.0,2025-05-09 16:08:30
Nidalee,5,3,18,28,56,60.0,2.64,3.6,5.6,11.2,2025-05-09 16:08:30
Nunu & Willump,4,0,23,31,37,0.0,1.94,5.75,7.75,9.25,2025-05-09 16:08:30
Karthus,4,4,37,6,35,100.0,12.0,9.25,1.5,8.75,2025-05-09 16:08:30
Xin Zhao,5,2,15,30,63,40.0,2.6,3.0,6.0,12.6,2025-05-09 16:08:30
Reksai,1,0,1,7,6,0.0,1.0,1.0,7.0,6.0,2025-05-09 16:08:30
Morgana,1,1,9,7,15,100.0,3.43,9.0,7.0,15.0,2025-05-09 16:08:30
Viego,2,0,12,14,33,0.0,3.21,6.0,7.0,16.5,2025-05-09 16:08:30
Briar,1,0,2,5,3,0.0,1.0,2.0,5.0,3.0,2025-05-09 16:08:30
Gwen,1,1,3,0,12,100.0,15.0,3.0,0.0,12.0,2025-05-09 16:08:30
Ekko,3,1,10,10,12,33.33,2.2,3.33,3.33,4.0,2025-05-09 16:08:30
Zac,1,1,6,1,15,100.0,21.0,6.0,1.0,15.0,2025-05-09 16:08:30
Vi,6,0,28,39,41,0.0,1.77,4.67,6.5,6.83,2025-05-09 16:08:30
Gragas,1,1,5,1,15,100.0,20.0,5.0,1.0,15.0,2025-05-09 16:08:30
Kindred,2,1,9,10,22,50.0,3.1,4.5,5.0,11.0,2025-05-09 16:08:30
Evelynn,1,0,0,7,3,0.0,0.43,0.0,7.0,3.0,2025-05-09 16:08:30
Talon,1,0,5,3,9,0.0,4.67,5.0,3.0,9.0,2025-05-09 16:08:30
Zyra,2,0,4,6,8,0.0,2.0,2.0,3.0,4.0,2025-05-09 16:08:30
Volibear,2,0,10,6,4,0.0,2.33,5.0,3.0,2.0,2025-05-09 16:08:30
Udyr,2,2,6,6,30,100.0,6.0,3.0,3.0,15.0,2025-05-09 16:08:30
Shen,2,2,10,6,22,100.0,5.33,5.0,3.0,11.0,2025-05-09 16:08:30
Amumu,1,1,7,5,21,100.0,5.6,7.0,5.0,21.0,2025-05-09 16:08:30
Shaco,2,0,6,14,16,0.0,1.57,3.0,7.0,8.0,2025-05-09 16:08:30
Kayn,1,0,4,7,11,0.0,2.14,4.0,7.0,11.0,2025-05-09 16:08:30
Lee Sin,1,0,1,10,6,0.0,0.7,1.0,10.0,6.0,2025-05-09 16:08:30
Kaisa,1,1,6,1,7,100.0,13.0,6.0,1.0,7.0,2025-05-09 16:08:30
Varus,1,1,5,4,10,100.0,3.75,5.0,4.0,10.0,2025-05-09 16:08:30
Zilean,1,1,7,5,16,100.0,4.6,7.0,5.0,16.0,2025-05-09 16:08:30
